panel_id,assay_id,target_id,assay_modality,direction,direction_source,included,exclusion_reason,publication_ids,outcomes_accessed,partition
mavedb-complement-v1,urn:mavedb:00001216-a-1,mavedb-287332153da38b59,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1161/circulationaha.124.069828,False,untouched_holdout
mavedb-complement-v1,urn:mavedb:00001200-a-1,mavedb-32f5d032de97ea22,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1101/2024.04.01.587474,False,development_pilot
mavedb-complement-v1,urn:mavedb:00001200-b-1,mavedb-32f5d032de97ea22,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1101/2024.04.01.587474,False,development_pilot
mavedb-complement-v1,urn:mavedb:00001200-c-1,mavedb-32f5d032de97ea22,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1101/2024.04.01.587474,False,development_pilot
mavedb-complement-v1,urn:mavedb:00001200-d-1,mavedb-32f5d032de97ea22,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1101/2024.04.01.587474,False,development_pilot
mavedb-complement-v1,urn:mavedb:00001200-e-1,mavedb-32f5d032de97ea22,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1101/2024.04.01.587474,False,development_pilot
mavedb-complement-v1,urn:mavedb:00000659-a-1,mavedb-93100c3b9be6e587,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1172/jci168156,False,development_pilot
mavedb-complement-v1,urn:mavedb:00001231-a-2,mavedb-a5ca23fa1e625d66,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1161/circulationaha.124.069828,False,untouched_holdout
mavedb-complement-v1,urn:mavedb:00001235-a-1,mavedb-a5cec053cd1989b7,multiplexed variant effect,-1.0,frozen MaveDB metadata orientation,True,,10.1126/science.aax3649,False,development_pilot
mavedb-complement-v1,urn:mavedb:00000665-a-1,mavedb-aebeb991234cd8a3,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1038/s44320-024-00043-8,False,development_pilot
mavedb-complement-v1,urn:mavedb:00000665-b-1,mavedb-aebeb991234cd8a3,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1038/s44320-024-00043-8,False,development_pilot
mavedb-complement-v1,urn:mavedb:00000665-c-1,mavedb-aebeb991234cd8a3,multiplexed variant effect,-1.0,frozen MaveDB metadata orientation,True,,10.1038/s44320-024-00043-8,False,development_pilot
