mutant_file_id,doi
1A3G_kcatkm57_alpha-Ketoglutarate,10.1021/acscatal.9b01464
1A6K_ee,doi.org/10.1002/anie.201608680
1BXZ_ee,doi.org/10.1002/cbic.201700562
1MLC_2_Kd-wtKd-mut,http://dx.doi.org/10.1038/nbt1336
1NWW_ee,doi.org/10.1021/jacs.7b10278
1XWW_activity,10.1371/journal.pone.0235133
1XWW_kcatkm,10.1371/journal.pone.0235133
1XWW_km,10.1371/journal.pone.0235133
1Z42_ee_1,doi.org/10.1002/adsc.200900644
1Z42_ee_2,doi.org/10.1002/adsc.200900644
1Z42_ee_3,doi.org/10.1002/adsc.200900644
2Q0Q_ee_1,doi.org/10.1021/acscatal.0c01767
2Q0Q_ee_2,doi.org/10.1021/acscatal.0c01767
2YLR_ee,doi.org/10.1021/ja5098034
3FCR_activity-substrate-1,10.1021/acscatal.4c00987
3FCR_activity-substrate-2,10.1021/acscatal.4c00987
3FCR_ee,10.1021/acscatal.4c00987
3WUY_ee,10.1002/anie.202012243
4DF2_ee,10.1021/cs500429k
4O98_kcat,10.1002/bit.26012
4O98_kcatkm,10.1002/bit.26012
4O98_km,10.1002/bit.26012
4OVI_ee_2,doi.org/10.1021/ja5098034
4OVI_ee_3,doi.org/10.1021/ja5098034
4OVI_ee_4_substreate_1a,doi.org/10.1021/ja5098034
4OVI_ee_4_substreate_4b,doi.org/10.1021/ja5098034
4OVI_ee_4_substreate_4c,doi.org/10.1021/ja5098034
4S2P_kcatkm,10.1038/s41929-024-01117-4
5A71_ee,doi.org/10.1021/jacs.9b02709
5A71_kcat,10.1038/s41467-019-11155-3
5A71_kcatkm,10.1038/s41467-019-11155-3
5A71_km,10.1038/s41467-019-11155-3
5T6M_km,10.1021/jacs.8b03490
5Z2X_ee,doi.org/10.1021/jacs.8b08640
6CUK_turnover_rate,10.1038/s41467-024-50698-y
6JXG_activity,10.1186/s13068-021-01973-3
7EMG_ee,10.1039/d1cc04542c
7LOO_activity,10.1021/acs.jafc.4c03715
7YVR_activity,doi.org/10.1021/acscatal.0c05607
7YVR_de,doi.org/10.1021/acscatal.0c05607
8IOZ_activity,10.1016/j.isci.2024.109034
A0A059TC02_activity,10.1105/tpc.114.127399
A0A0H2V871_DGE_activity,10.1021/bi060950i
A0A0H2V871_Ent_activity,10.1021/bi060950i
A0A0I9QGZ2_ee_1,doi.org/10.1039/c4cc08436e
A0A0I9QGZ2_ee_2,doi.org/10.1039/c4cc08436e
A0A0I9QGZ2_kcat,10.1002/anie.201701169
A0A0I9QGZ2_kcatkm,10.1002/anie.201701169
A0A0I9QGZ2_km,10.1002/anie.201701169
A0A0K8P6T7_activity,10.1002/cbic.201800097
A0A0K8P6T7_TPA_activity,10.1002/cbic.201800097
A0A0K8P6T7_yield,10.1002/cbic.201800097
A0A0K8P8E7_activity,10.1038/s41467-019-09326-3
A0A0P0ZBS7_activity,10.1007/s12033-015-9839-4
A0A7I6N400_ee,10.1021/acsomega.0c03070
A0MGZ7_substrate_VII_activity,10.1021/acschembio.6b00841
A0MGZ7_substrate_VI_activity,10.1021/acschembio.6b00841
A0MGZ7_substrate_V_activity,10.1021/acschembio.6b00841
A2QAN3_kcat,?10.1111/febs.14083
A2QAN3_kcatkm,?10.1111/febs.14083
A2RJT9_DCIP_activity,10.1074/jbc.M303767200
A2RJT9_oxygen_activity,10.1074/jbc.M303767200
A4QAA6_activity,doi/10.1021/acs.jafc.3c09589
A4XGA6_M5_Epimerization_activity,10.1016/j.ijbiomac.2019.11.015
A4XGA6_M5_Isomerization_activity,10.1016/j.ijbiomac.2019.11.015
AAD07447_1_activity_product_3-FL,10.1002/bit.25944
AAD07447_1_activity_product_Lex,10.1002/bit.25944
AAD07447_1_kcatkm_substrate_GDP,10.1002/bit.25944
AAD07447_1_kcatkm_substrate_lactose,10.1002/bit.25944
AAD07447_1_kcat_substrate_GDP,10.1002/bit.25944
AAD07447_1_kcat_substrate_lactose,10.1002/bit.25944
AAD07447_1_km_substrate_GDP,10.1002/bit.25944
AAD07447_1_km_substrate_lactose,10.1002/bit.25944
AB333782_activity,10.1016/j.enzmictec.2024.110481
ABS64560_1_activity,10.1007/s00253-015-6527-z
ACCO_ee,10.1038/s44160-024-00536-2
ACY56506_1_km,10.1128/AEM.01817-16
AGQ46835_1_kcat,10.1016/j.enzmictec.2015.12.012
AGQ46835_1_kcatkm,10.1016/j.enzmictec.2015.12.012
AGQ46835_1_km,10.1016/j.enzmictec.2015.12.012
AHW42593_1_activity,10.1016/j.enzmictec.2018.03.001
AHZ56660_1_kcat,10.1111/1751-7915.12168
AHZ56660_1_km,10.1111/1751-7915.12168
ALB07219_1_activity,10.1007/s00449-020-02393-7
ASG2_exp,10.1002/biot.202400347
BAA88830_1_activity,10.1186/s12934-020-01451-9
BAA_activity,10.1021/acs.jafc.4c05070
BsSDR10_R-R-R-2_de,10.1021/jacsau.4c00284
BsSDR10_R-S-S-2_de,10.1021/jacsau.4c00284
BsSDR10_S-R-R-2_de,10.1021/jacsau.4c00284
BsSDR10_S-S-S-2_de,10.1021/jacsau.4c00284
BsSDR10_S7_R-R-R-2_de,10.1021/jacsau.4c00284
BsSDR10_S7_R-S-S-2_de,10.1021/jacsau.4c00284
BsSDR10_S7_S-R-R-2_de,10.1021/jacsau.4c00284
BsSDR10_S7_S-S-S-2_de,10.1021/jacsau.4c00284
C6DAH4_activity,10.1002/cbic.201700609
CCA64021_1_activity,10.1007/s12010-019-03170-3
CQR83192_1_activity,10.1007/s10529-018-2607-3
CQR83192_1_kcat,10.1007/s10529-018-2607-3
D4Z2G1_activity,10.1021/bi026427v
E8RUP5_activity,10.1021/jacs.6b10389
EHK72968_1_ee,10.1016/j.bbrc.2015.11.038
EIJ78397_1_kcatkm,10.1021/acssynbio.8b00481
EU348855_E-value,10.3390/molecules29204864
GAP38373_1_relative_kcat,10.1002/cbic.202300373
I6XD65_NAM_activity,10.1111/j.1742-4658.2007.06241.x
I6XD65_PZA_activity,10.1111/j.1742-4658.2007.06241.x
