assay_id,uniprot_id,pfam_accession,clan_accession,pfam_clan_family_id
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,PF00114,CL0327,clan:CL0327
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,PF07963,,pfam:PF07963
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,PF24304,,pfam:PF24304
A4_HUMAN_Seuma_2022,A4_HUMAN,PF00014,CL0894,clan:CL0894
A4_HUMAN_Seuma_2022,A4_HUMAN,PF02177,,pfam:PF02177
A4_HUMAN_Seuma_2022,A4_HUMAN,PF03494,,pfam:PF03494
A4_HUMAN_Seuma_2022,A4_HUMAN,PF10515,,pfam:PF10515
A4_HUMAN_Seuma_2022,A4_HUMAN,PF12924,,pfam:PF12924
A4_HUMAN_Seuma_2022,A4_HUMAN,PF12925,,pfam:PF12925
AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,PF00583,CL0257,clan:CL0257
ACE2_HUMAN_Chan_2020,ACE2_HUMAN,PF01401,CL0126,clan:CL0126
ACE2_HUMAN_Chan_2020,ACE2_HUMAN,PF16959,CL0960,clan:CL0960
ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,PF00001,CL0192,clan:CL0192
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,PF02845,CL0214,clan:CL0214
AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE,PF00795,,pfam:PF00795
ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI,PF01316,CL0123,clan:CL0123
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST,PF00018,CL0010,clan:CL0010
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,PF08369,CL0671,clan:CL0671
BLAT_ECOLX_Deng_2012,BLAT_ECOLX,PF13354,CL0013,clan:CL0013
BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,PF13354,CL0013,clan:CL0013
BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,PF13354,CL0013,clan:CL0013
BLAT_ECOLX_Stiffler_2015,BLAT_ECOLX,PF13354,CL0013,clan:CL0013
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,PF00097,CL0229,clan:CL0229
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,PF00533,CL0459,clan:CL0459
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,PF12820,,pfam:PF12820
C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,PF00509,,pfam:PF00509
CALM1_HUMAN_Weile_2017,CALM1_HUMAN,PF13499,CL0220,clan:CL0220
CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,PF00740,CL0605,clan:CL0605
CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,PF08398,CL0629,clan:CL0629
CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN,PF00619,CL0041,clan:CL0041
CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,PF00619,CL0041,clan:CL0041
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,PF13395,CL0263,clan:CL0263
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,PF16592,CL0693,clan:CL0693
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,PF16593,,pfam:PF16593
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,PF16595,,pfam:PF16595
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,PF22702,CL0219,clan:CL0219
CASP3_HUMAN_Roychowdhury_2020,CASP3_HUMAN,PF00656,CL0093,clan:CL0093
CASP7_HUMAN_Roychowdhury_2020,CASP7_HUMAN,PF00656,CL0093,clan:CL0093
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE,PF13499,CL0220,clan:CL0220
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN,PF02244,CL0570,clan:CL0570
CBS_HUMAN_Sun_2020,CBS_HUMAN,PF00291,CL0063,clan:CL0063
CBS_HUMAN_Sun_2020,CBS_HUMAN,PF00571,,pfam:PF00571
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,PF00385,CL0010,clan:CL0010
CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,PF01845,CL0010,clan:CL0010
CCR5_HUMAN_Gill_2023,CCR5_HUMAN,PF00001,CL0192,clan:CL0192
CD19_HUMAN_Klesmith_2019_FMC_singles,CD19_HUMAN,PF28825,,pfam:PF28825
CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN,PF00067,,pfam:PF00067
CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN,PF00067,,pfam:PF00067
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,PF01399,CL0123,clan:CL0123
CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST,PF02845,CL0214,clan:CL0214
D7PM05_CLYGR_Somermeyer_2022,D7PM05_CLYGR,PF01353,CL0069,clan:CL0069
DLG4_HUMAN_Faure_2021,DLG4_HUMAN,PF00018,CL0010,clan:CL0010
DLG4_HUMAN_Faure_2021,DLG4_HUMAN,PF00595,CL0466,clan:CL0466
DLG4_HUMAN_Faure_2021,DLG4_HUMAN,PF00625,CL0023,clan:CL0023
DLG4_HUMAN_Faure_2021,DLG4_HUMAN,PF10600,,pfam:PF10600
DLG4_HUMAN_Faure_2021,DLG4_HUMAN,PF10608,,pfam:PF10608
DLG4_RAT_McLaughlin_2012,DLG4_RAT,PF00018,CL0010,clan:CL0010
DLG4_RAT_McLaughlin_2012,DLG4_RAT,PF00595,CL0466,clan:CL0466
DLG4_RAT_McLaughlin_2012,DLG4_RAT,PF00625,CL0023,clan:CL0023
DLG4_RAT_McLaughlin_2012,DLG4_RAT,PF10600,,pfam:PF10600
DLG4_RAT_McLaughlin_2012,DLG4_RAT,PF10608,,pfam:PF10608
DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,PF02294,CL0010,clan:CL0010
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,PF00226,CL0392,clan:CL0392
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,PF00018,CL0010,clan:CL0010
DYR_ECOLI_Nguyen_2023,DYR_ECOLI,PF00186,CL0387,clan:CL0387
DYR_ECOLI_Thompson_2019,DYR_ECOLI,PF00186,CL0387,clan:CL0387
ENVZ_ECOLI_Ghose_2023,ENVZ_ECOLI,PF00512,CL0025,clan:CL0025
ENV_HV1BR_Haddox_2016,ENV_HV1BR,PF00516,,pfam:PF00516
ENV_HV1BR_Haddox_2016,ENV_HV1BR,PF00517,,pfam:PF00517
EPHB2_HUMAN_Tsuboyama_2023_1F0M,EPHB2_HUMAN,PF00536,CL0003,clan:CL0003
ESTA_BACSU_Nutschel_2020,ESTA_BACSU,PF01674,CL0028,clan:CL0028
FECA_ECOLI_Tsuboyama_2023_2D1U,FECA_ECOLI,PF07660,CL0751,clan:CL0751
FKBP3_HUMAN_Tsuboyama_2023_2KFV,FKBP3_HUMAN,PF18410,CL0306,clan:CL0306
GAL4_YEAST_Kitzman_2015,GAL4_YEAST,PF00172,CL0914,clan:CL0914
GAL4_YEAST_Kitzman_2015,GAL4_YEAST,PF03902,,pfam:PF03902
GAL4_YEAST_Kitzman_2015,GAL4_YEAST,PF04082,CL0507,clan:CL0507
GDIA_HUMAN_Silverstein_2021,GDIA_HUMAN,PF00996,CL0063,clan:CL0063
GFP_AEQVI_Sarkisyan_2016,GFP_AEQVI,PF01353,CL0069,clan:CL0069
GRB2_HUMAN_Faure_2021,GRB2_HUMAN,PF00017,CL0541,clan:CL0541
GRB2_HUMAN_Faure_2021,GRB2_HUMAN,PF00018,CL0010,clan:CL0010
HCP_LAMBD_Tsuboyama_2023_2L6Q,HCP_LAMBD,PF02831,,pfam:PF02831
HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN,PF06701,CL0010,clan:CL0010
HEM3_HUMAN_Loggerenberg_2023,HEM3_HUMAN,PF01379,CL0177,clan:CL0177
HEM3_HUMAN_Loggerenberg_2023,HEM3_HUMAN,PF03900,,pfam:PF03900
HMDH_HUMAN_Jiang_2019,HMDH_HUMAN,PF00368,,pfam:PF00368
HMDH_HUMAN_Jiang_2019,HMDH_HUMAN,PF12349,CL0322,clan:CL0322
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST,PF00183,,pfam:PF00183
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST,PF13589,CL0025,clan:CL0025
HSP82_YEAST_Flynn_2019,HSP82_YEAST,PF00183,,pfam:PF00183
HSP82_YEAST_Flynn_2019,HSP82_YEAST,PF13589,CL0025,clan:CL0025
HSP82_YEAST_Mishra_2016,HSP82_YEAST,PF00183,,pfam:PF00183
HSP82_YEAST_Mishra_2016,HSP82_YEAST,PF13589,CL0025,clan:CL0025
HXK4_HUMAN_Gersing_2022_activity,HXK4_HUMAN,PF00349,CL0108,clan:CL0108
HXK4_HUMAN_Gersing_2022_activity,HXK4_HUMAN,PF03727,CL0108,clan:CL0108
HXK4_HUMAN_Gersing_2023_abundance,HXK4_HUMAN,PF00349,CL0108,clan:CL0108
HXK4_HUMAN_Gersing_2023_abundance,HXK4_HUMAN,PF03727,CL0108,clan:CL0108
I6TAH8_I68A0_Doud_2015,I6TAH8_I68A0,PF00506,,pfam:PF00506
IF1_ECOLI_Kelsic_2016,IF1_ECOLI,PF01176,CL0021,clan:CL0021
ILF3_HUMAN_Tsuboyama_2023_2L33,ILF3_HUMAN,PF00035,CL0196,clan:CL0196
ISDH_STAAW_Tsuboyama_2023_2LHR,ISDH_STAAW,PF20861,,pfam:PF20861
KCNE1_HUMAN_Muhammad_2023_expression,KCNE1_HUMAN,PF02060,,pfam:PF02060
KCNE1_HUMAN_Muhammad_2023_function,KCNE1_HUMAN,PF02060,,pfam:PF02060
KCNJ2_MOUSE_Coyote-Maestas_2022_function,KCNJ2_MOUSE,PF01007,CL0030,clan:CL0030
KCNJ2_MOUSE_Coyote-Maestas_2022_function,KCNJ2_MOUSE,PF08466,,pfam:PF08466
KCNJ2_MOUSE_Coyote-Maestas_2022_function,KCNJ2_MOUSE,PF17655,CL0159,clan:CL0159
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,KCNJ2_MOUSE,PF01007,CL0030,clan:CL0030
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,KCNJ2_MOUSE,PF08466,,pfam:PF08466
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,KCNJ2_MOUSE,PF17655,CL0159,clan:CL0159
KKA2_KLEPN_Melnikov_2014,KKA2_KLEPN,PF01636,CL0016,clan:CL0016
LGK_LIPST_Klesmith_2015,LGK_LIPST,PF03702,CL0108,clan:CL0108
MAFG_MOUSE_Tsuboyama_2023_1K1V,MAFG_MOUSE,PF03131,CL0018,clan:CL0018
