uniprot_id,structure_family_id,structure_sha256
A0A140D2T1_ZIKV,foldseek-family-8a1b4f2a42ba,43d9cb42b1a57ca29dc1931dcfcb70d8726c1f03d0abe9141f8797fb5aaabe92
A0A192B1T2_9HIV1,foldseek-family-df03f7e2fb21,a5de1e27d9fa288c5cff3b470a254b0b47a6545af82939754d93a6cbaebce2c5
A0A1I9GEU1_NEIME,foldseek-family-82adf1e2b81b,f49375f0e6c2f83c84229d48b17435d10502301258c5fbfe7bf7f1dc8f788206
A0A247D711_LISMN,foldseek-family-f05b266d2ffa,3366eac7fe070a9b0a76b5bc4164d0003a2bbb9d7da6d79796122771047f79d2
A0A2Z5U3Z0_9INFA,foldseek-family-0f3d4c2915c6,7ad4e20a26bbf74408d46268e7cb3c9529c7d60ac7c2d2e9a7c6c9edb47ed3ee
A4D664_9INFA,foldseek-family-aed912241c3c,5af14859ee4c5466ea555928b14487d6832ee1682128c34cc470f2c17366a780
A4GRB6_PSEAI,foldseek-family-2c54cb340a16,0aa7f8875b42228b50655cd404acda57525ef13d378f330e70e058fed351fe02
A4_HUMAN,foldseek-family-ad3ad14bcd83,a9ed9520c97d0abea10d1513ae29e4378b2ffdb9f2d83e53d5127df5c0319fe6
AACC1_PSEAI,foldseek-family-3139c165ec92,d572e1ddd3d1b0bdb30a7ee21761e3ad9e73223b29d7e257c0c65745d9f044ef
ACE2_HUMAN,foldseek-family-b474e59be281,4fa8680b5c5beb2f9c2061c4586f52caa81638a9c71cda0eb1f8b07089e7be83
ADRB2_HUMAN,foldseek-family-d4f4b3694e3f,b2ba51c148be0bd4a48107b44a545ab26af12217b8974d5444d9abe58db07e29
AMFR_HUMAN,foldseek-family-856596f88cd0,6403b88f47df332dcc4a54d37bedfca47439853c78616baa8402f91b72e3bcc2
AMIE_PSEAE,foldseek-family-ae758b45b698,eaac66ad0242ac068ee6624c8dbe6ab7390b8bd2fb4e92768ebcf1fd76bf1b9b
ANCSZ,foldseek-family-0705fc4d56dd,b9f543f3722a278ae6500700f8320ddef90889ce83ffd1141f27c7bd64c03bd0
ARGR_ECOLI,foldseek-family-0c6255779f3e,4decd9ac6934db8f75d4f9470d6071e65688df96ee53d24dc0fade80a62d7a69
BBC1_YEAST,foldseek-family-8842538ce269,f037880e5b134ac7c62fd5c13300f54b90addf5d313bbaab130ed5d954bc9d84
BCHB_CHLTE,foldseek-family-19f44d948b28,03b7ddaaa7286aedc66b7e689fe664b6641d9668de6177b83e7b17e0976c5943
BLAT_ECOLX,foldseek-family-e6e104c620cd,4513552152f3d1f40ef9890b82f325256830ca9d166587c3952d78807b064213
BRCA1_HUMAN,foldseek-family-d9015277688f,bb4fbcd6e48d171e2da1136c841b8bdb2a1c1e65a3bc761c0d1b7b440ffc113c
C6KNH7_9INFA,foldseek-family-0f3d4c2915c6,7760f5378ededc351c84042cbad15115f8b116b873aa4c665d63b1cde68081c8
CALM1_HUMAN,foldseek-family-e3db3364ca7f,ab364048a14bf8edfc7570c3d0ecc2fe3ac7c9691d0eadeaa5774f7c185b8875
CAPSD_AAV2S,foldseek-family-c2002e72c148,3b479b7781f77e3a422e4a2df9b29571375f9d5ceeba2a4ebb5522e17aa070c6
CAR11_HUMAN,foldseek-family-cd5c3d243687,8fab449945a12f73d4b1a902cce3e6e31dbd2471d48206f138ac303883fc17d1
CAS9_STRP1,foldseek-family-a6a6c4d20f75,0d461a1ca3dd199aabc698c85dd9c941674ba55da3532bc1fce4a1f388b08c53
CASP3_HUMAN,foldseek-family-2f301c9181f3,9109d4d4b280ce1717d190decd4e00ff993f08229a83847f5b538257eb37d1c9
CASP7_HUMAN,foldseek-family-2f301c9181f3,81c32731289b017b38296bb7cd50154328defb1e422fca71434a9927741fbd61
CATR_CHLRE,foldseek-family-c7a672322d4c,af6b2db8ac59b60a3012a7036f2e7a8a9e19cc5652ca9c66adfd89729308dcb8
CBPA2_HUMAN,foldseek-family-2b8b5aea22bd,ae30b6a3cd970285b174207d7b82de13ed87d1f4a37bdb90dcdc04b25130bd2a
CBS_HUMAN,foldseek-family-2df658dfe985,21e5661dc5b828364148ee2c9acf5e21e36096a00eda8a9f2ace28379910c2e6
CBX4_HUMAN,foldseek-family-0fa14c7c72c8,bd3d346fab261e5c85c39ee48091cb81d95224b5c8921bf160c713cdefa68f44
CCDB_ECOLI,foldseek-family-ab2d5e4c303d,b6707dc4340e272b25843afb35476699fb3955dfaf6ff4dfefe798c971ec2337
CCR5_HUMAN,foldseek-family-054f64444106,2053518a782c1b6936cf9cfd62b53d63dc831ebbbcea5aa03441addf0c6c07ae
CD19_HUMAN,foldseek-family-3a1db4b8bcac,a12b2ac49ba206edd7256fdac0a90622a8f392830ee20c0074139753d51e552e
CP2C9_HUMAN,foldseek-family-cbe6b8abc23c,7f2646f8a660e78450fd8e24e305f63d55937d90eef05e6d32826ee374af16e0
CSN4_MOUSE,foldseek-family-f62b0650c082,b34d6cff1714aeb282e388b4f9c78f3a936e29effd4f4c85f853a092171cb039
CUE1_YEAST,foldseek-family-e780e22e4ddf,9ca15f6efd2efda5e3bf675ab2c1d8afcba696be6d7d371bb24be41b19b756ce
D7PM05_CLYGR,foldseek-family-1998dceb5aa6,575e20a17b3b0c171e512d0834dcd43026b90c03a2daa8ce22da8ffd8eb75e72
DLG4_HUMAN,foldseek-family-7db69255b341,4299a4aa2f024835cd320f8262e1cc62c38e1b591f9592abd9803e3b5df00f9d
DLG4_RAT,foldseek-family-0d0feb9b6f47,4455e12727b4ca662e994cb384d548b92eae426634c67854ae1d27e14ae39c25
DN7A_SACS2,foldseek-family-c2aff618d435,be5e250d27ce5f046d7aeed1d8d0bf93a70463e498c6521f59ca3e2525d80c66
DNJA1_HUMAN,foldseek-family-1dff15767f11,1afc6a0469d9a005ec85b9be958b79bb20b1c91564504028c3d55cc68b00b08c
DOCK1_MOUSE,foldseek-family-8842538ce269,1e026ba65fe72b5b620b117fcf2befcba7804b1c852bdb172b90eba62d187197
DYR_ECOLI,foldseek-family-b69b1841783d,4a92457170ad6fc62e723da26f3cbe1ce2ce27b1c37e7c68d471037e4f738b8f
ENVZ_ECOLI,foldseek-family-c9a5ddcfff1d,31c6d4bc27a7c380fbd4108438a235afbf13b0e337279caaa020aac2349c6f41
ENV_HV1BR,foldseek-family-df03f7e2fb21,599cc0429b56235eb765bf4a530deb7af0b3cada23a60c76d5a059a30838052b
EPHB2_HUMAN,foldseek-family-4c49d3340b9a,cb5607f33b62fb74e245245a7f41a54375159fdc8a28ace19c3eb40fb08051cd
ESTA_BACSU,foldseek-family-48bc2da2df42,79812d3ede5e4a3b3a13034863f982939fb34924272634d489327b80886da6b7
FECA_ECOLI,foldseek-family-112eb1c7f22a,34a33fc509650a56db73736285bbb9f4d2450f3fc3694846128171ba099f73ae
