structure_id,source,panel_id,target_id,uniprot_id,structure_sha256,structure_family_id
d00000,development,proteingym-v1.3-development,,A0A140D2T1_ZIKV,43d9cb42b1a57ca29dc1931dcfcb70d8726c1f03d0abe9141f8797fb5aaabe92,foldseek-family-8a1b4f2a42ba
d00001,development,proteingym-v1.3-development,,A0A192B1T2_9HIV1,a5de1e27d9fa288c5cff3b470a254b0b47a6545af82939754d93a6cbaebce2c5,foldseek-family-df03f7e2fb21
d00002,development,proteingym-v1.3-development,,A0A1I9GEU1_NEIME,f49375f0e6c2f83c84229d48b17435d10502301258c5fbfe7bf7f1dc8f788206,foldseek-family-82adf1e2b81b
d00003,development,proteingym-v1.3-development,,A0A247D711_LISMN,3366eac7fe070a9b0a76b5bc4164d0003a2bbb9d7da6d79796122771047f79d2,foldseek-family-f05b266d2ffa
d00004,development,proteingym-v1.3-development,,A0A2Z5U3Z0_9INFA,7ad4e20a26bbf74408d46268e7cb3c9529c7d60ac7c2d2e9a7c6c9edb47ed3ee,foldseek-family-0f3d4c2915c6
d00005,development,proteingym-v1.3-development,,A4D664_9INFA,5af14859ee4c5466ea555928b14487d6832ee1682128c34cc470f2c17366a780,foldseek-family-aed912241c3c
d00006,development,proteingym-v1.3-development,,A4GRB6_PSEAI,0aa7f8875b42228b50655cd404acda57525ef13d378f330e70e058fed351fe02,foldseek-family-2c54cb340a16
d00007,development,proteingym-v1.3-development,,A4_HUMAN,a9ed9520c97d0abea10d1513ae29e4378b2ffdb9f2d83e53d5127df5c0319fe6,foldseek-family-ad3ad14bcd83
d00008,development,proteingym-v1.3-development,,AACC1_PSEAI,d572e1ddd3d1b0bdb30a7ee21761e3ad9e73223b29d7e257c0c65745d9f044ef,foldseek-family-3139c165ec92
d00009,development,proteingym-v1.3-development,,ACE2_HUMAN,4fa8680b5c5beb2f9c2061c4586f52caa81638a9c71cda0eb1f8b07089e7be83,foldseek-family-b474e59be281
d00010,development,proteingym-v1.3-development,,ADRB2_HUMAN,b2ba51c148be0bd4a48107b44a545ab26af12217b8974d5444d9abe58db07e29,foldseek-family-d4f4b3694e3f
d00011,development,proteingym-v1.3-development,,AMFR_HUMAN,6403b88f47df332dcc4a54d37bedfca47439853c78616baa8402f91b72e3bcc2,foldseek-family-856596f88cd0
d00012,development,proteingym-v1.3-development,,AMIE_PSEAE,eaac66ad0242ac068ee6624c8dbe6ab7390b8bd2fb4e92768ebcf1fd76bf1b9b,foldseek-family-ae758b45b698
d00013,development,proteingym-v1.3-development,,ANCSZ,b9f543f3722a278ae6500700f8320ddef90889ce83ffd1141f27c7bd64c03bd0,foldseek-family-0705fc4d56dd
d00014,development,proteingym-v1.3-development,,ARGR_ECOLI,4decd9ac6934db8f75d4f9470d6071e65688df96ee53d24dc0fade80a62d7a69,foldseek-family-0c6255779f3e
d00015,development,proteingym-v1.3-development,,BBC1_YEAST,f037880e5b134ac7c62fd5c13300f54b90addf5d313bbaab130ed5d954bc9d84,foldseek-family-8842538ce269
d00016,development,proteingym-v1.3-development,,BCHB_CHLTE,03b7ddaaa7286aedc66b7e689fe664b6641d9668de6177b83e7b17e0976c5943,foldseek-family-19f44d948b28
d00017,development,proteingym-v1.3-development,,BLAT_ECOLX,4513552152f3d1f40ef9890b82f325256830ca9d166587c3952d78807b064213,foldseek-family-e6e104c620cd
d00018,development,proteingym-v1.3-development,,BRCA1_HUMAN,bb4fbcd6e48d171e2da1136c841b8bdb2a1c1e65a3bc761c0d1b7b440ffc113c,foldseek-family-d9015277688f
d00019,development,proteingym-v1.3-development,,C6KNH7_9INFA,7760f5378ededc351c84042cbad15115f8b116b873aa4c665d63b1cde68081c8,foldseek-family-0f3d4c2915c6
d00020,development,proteingym-v1.3-development,,CALM1_HUMAN,ab364048a14bf8edfc7570c3d0ecc2fe3ac7c9691d0eadeaa5774f7c185b8875,foldseek-family-e3db3364ca7f
d00021,development,proteingym-v1.3-development,,CAPSD_AAV2S,3b479b7781f77e3a422e4a2df9b29571375f9d5ceeba2a4ebb5522e17aa070c6,foldseek-family-c2002e72c148
d00022,development,proteingym-v1.3-development,,CAR11_HUMAN,8fab449945a12f73d4b1a902cce3e6e31dbd2471d48206f138ac303883fc17d1,foldseek-family-cd5c3d243687
d00023,development,proteingym-v1.3-development,,CAS9_STRP1,0d461a1ca3dd199aabc698c85dd9c941674ba55da3532bc1fce4a1f388b08c53,foldseek-family-a6a6c4d20f75
d00024,development,proteingym-v1.3-development,,CASP3_HUMAN,9109d4d4b280ce1717d190decd4e00ff993f08229a83847f5b538257eb37d1c9,foldseek-family-2f301c9181f3
d00025,development,proteingym-v1.3-development,,CASP7_HUMAN,81c32731289b017b38296bb7cd50154328defb1e422fca71434a9927741fbd61,foldseek-family-2f301c9181f3
d00026,development,proteingym-v1.3-development,,CATR_CHLRE,af6b2db8ac59b60a3012a7036f2e7a8a9e19cc5652ca9c66adfd89729308dcb8,foldseek-family-c7a672322d4c
d00027,development,proteingym-v1.3-development,,CBPA2_HUMAN,ae30b6a3cd970285b174207d7b82de13ed87d1f4a37bdb90dcdc04b25130bd2a,foldseek-family-2b8b5aea22bd
d00028,development,proteingym-v1.3-development,,CBS_HUMAN,21e5661dc5b828364148ee2c9acf5e21e36096a00eda8a9f2ace28379910c2e6,foldseek-family-2df658dfe985
d00029,development,proteingym-v1.3-development,,CBX4_HUMAN,bd3d346fab261e5c85c39ee48091cb81d95224b5c8921bf160c713cdefa68f44,foldseek-family-0fa14c7c72c8
d00030,development,proteingym-v1.3-development,,CCDB_ECOLI,b6707dc4340e272b25843afb35476699fb3955dfaf6ff4dfefe798c971ec2337,foldseek-family-ab2d5e4c303d
d00031,development,proteingym-v1.3-development,,CCR5_HUMAN,2053518a782c1b6936cf9cfd62b53d63dc831ebbbcea5aa03441addf0c6c07ae,foldseek-family-054f64444106
d00032,development,proteingym-v1.3-development,,CD19_HUMAN,a12b2ac49ba206edd7256fdac0a90622a8f392830ee20c0074139753d51e552e,foldseek-family-3a1db4b8bcac
d00033,development,proteingym-v1.3-development,,CP2C9_HUMAN,7f2646f8a660e78450fd8e24e305f63d55937d90eef05e6d32826ee374af16e0,foldseek-family-cbe6b8abc23c
d00034,development,proteingym-v1.3-development,,CSN4_MOUSE,b34d6cff1714aeb282e388b4f9c78f3a936e29effd4f4c85f853a092171cb039,foldseek-family-f62b0650c082
d00035,development,proteingym-v1.3-development,,CUE1_YEAST,9ca15f6efd2efda5e3bf675ab2c1d8afcba696be6d7d371bb24be41b19b756ce,foldseek-family-e780e22e4ddf
d00036,development,proteingym-v1.3-development,,D7PM05_CLYGR,575e20a17b3b0c171e512d0834dcd43026b90c03a2daa8ce22da8ffd8eb75e72,foldseek-family-1998dceb5aa6
d00037,development,proteingym-v1.3-development,,DLG4_HUMAN,4299a4aa2f024835cd320f8262e1cc62c38e1b591f9592abd9803e3b5df00f9d,foldseek-family-7db69255b341
d00038,development,proteingym-v1.3-development,,DLG4_RAT,4455e12727b4ca662e994cb384d548b92eae426634c67854ae1d27e14ae39c25,foldseek-family-0d0feb9b6f47
d00039,development,proteingym-v1.3-development,,DN7A_SACS2,be5e250d27ce5f046d7aeed1d8d0bf93a70463e498c6521f59ca3e2525d80c66,foldseek-family-c2aff618d435
d00040,development,proteingym-v1.3-development,,DNJA1_HUMAN,1afc6a0469d9a005ec85b9be958b79bb20b1c91564504028c3d55cc68b00b08c,foldseek-family-1dff15767f11
d00041,development,proteingym-v1.3-development,,DOCK1_MOUSE,1e026ba65fe72b5b620b117fcf2befcba7804b1c852bdb172b90eba62d187197,foldseek-family-8842538ce269
d00042,development,proteingym-v1.3-development,,DYR_ECOLI,4a92457170ad6fc62e723da26f3cbe1ce2ce27b1c37e7c68d471037e4f738b8f,foldseek-family-b69b1841783d
d00043,development,proteingym-v1.3-development,,ENVZ_ECOLI,31c6d4bc27a7c380fbd4108438a235afbf13b0e337279caaa020aac2349c6f41,foldseek-family-c9a5ddcfff1d
d00044,development,proteingym-v1.3-development,,ENV_HV1BR,599cc0429b56235eb765bf4a530deb7af0b3cada23a60c76d5a059a30838052b,foldseek-family-df03f7e2fb21
d00045,development,proteingym-v1.3-development,,EPHB2_HUMAN,cb5607f33b62fb74e245245a7f41a54375159fdc8a28ace19c3eb40fb08051cd,foldseek-family-4c49d3340b9a
d00046,development,proteingym-v1.3-development,,ESTA_BACSU,79812d3ede5e4a3b3a13034863f982939fb34924272634d489327b80886da6b7,foldseek-family-48bc2da2df42
d00047,development,proteingym-v1.3-development,,FECA_ECOLI,34a33fc509650a56db73736285bbb9f4d2450f3fc3694846128171ba099f73ae,foldseek-family-112eb1c7f22a
d00048,development,proteingym-v1.3-development,,FKBP3_HUMAN,cf4f4dd8ed51a39fea4c5acfd571ae0d1b95c822fd6205bf05f1aaf376a6e3eb,foldseek-family-5531777bd117
d00049,development,proteingym-v1.3-development,,GAL4_YEAST,4adc4954f5f262ce5b18564fcce3e3fa41ff3d0aa9202f890e5e8dca689347a4,foldseek-family-3574b5e1479b
d00050,development,proteingym-v1.3-development,,GDIA_HUMAN,87fdcbe329f4996ccfc169f1880f804f87ac67fd8e2e055402269e1143418a02,foldseek-family-210242fa619d
d00051,development,proteingym-v1.3-development,,GFP_AEQVI,70bf9c39c1cc353d330fb37aba49d448caf03693b35196f3adc7375ef434fcc5,foldseek-family-1998dceb5aa6
d00052,development,proteingym-v1.3-development,,GRB2_HUMAN,478e808342e9a06257dc29b2eb70775bdd1c5f6dadbc3753417f9c16dd0e9db6,foldseek-family-4d78c9b7ec39
d00053,development,proteingym-v1.3-development,,HCP_LAMBD,a84c90281b1af9403c50257aa7087aa3bab0230927f0a03467beb9bc0fca929a,foldseek-family-f970a970418c
d00054,development,proteingym-v1.3-development,,HECD1_HUMAN,d2268cc89c6912b3ffcb57d6a9d021c45f057fb575388eecbf47d46e58313441,foldseek-family-3d5d100f1fc1
d00055,development,proteingym-v1.3-development,,HEM3_HUMAN,821b6de21f98a6992502f372963a8c23e0fda6d3721a1e1db300b626fb5e38b1,foldseek-family-94149e8423d6
d00056,development,proteingym-v1.3-development,,HMDH_HUMAN,00aee90491d11cc50ae59f569479980d797c4709b844d21ddbb8b150ee6e48b0,foldseek-family-99c7ed7702bb
d00057,development,proteingym-v1.3-development,,HSP82_YEAST,ffc6f7d2cbd95187391307fbc7d971c73085fc37f7293514a3d81cf164f0fc32,foldseek-family-48592aa44511
d00058,development,proteingym-v1.3-development,,HXK4_HUMAN,a39f64d82f7132652df9320bf4f87995bb01a4ea8002f6ebc68eadb5614c7b69,foldseek-family-bde881d118ba
d00059,development,proteingym-v1.3-development,,I6TAH8_I68A0,d2e6f09df66c310b3d96ec515c13d42f4442fbdc4d6cfcea5fee3fa2c86615d1,foldseek-family-f108919ee99e
d00060,development,proteingym-v1.3-development,,IF1_ECOLI,c921aadaa0ebb02d31d4cf77dc1aafe0c3cfa33d75dead6b573f360601821b58,foldseek-family-9153b6327749
d00061,development,proteingym-v1.3-development,,ILF3_HUMAN,d19797aff7257ffecbe2682724031d08436ab38db0b6f58fbcba33f8ebea1a94,foldseek-family-e9ecc65ecf3b
d00062,development,proteingym-v1.3-development,,ISDH_STAAW,7fa5259cc1a37955c8ed5ed0d373d3315338267d0460f5dbb07167f335b16946,foldseek-family-ff098f66d62f
d00063,development,proteingym-v1.3-development,,KCNE1_HUMAN,3b1e72788462295b24b35908d8a6518a7755488e68ba5f09e270f5cd0e4e2d2a,foldseek-family-d8644ca4d133
d00064,development,proteingym-v1.3-development,,KCNJ2_MOUSE,b2b39b02a4698c76f5388c4ace03247ad08ef645b2c3e0f699ce34c183281719,foldseek-family-481afd79da45
d00065,development,proteingym-v1.3-development,,KKA2_KLEPN,4a0d9ff9ef1bfdb37c7f261fb00a60392aad40a48472181d61773b11b3a88eb8,foldseek-family-15ae0525bd35
d00066,development,proteingym-v1.3-development,,LGK_LIPST,22b254549a90bf06049202cae218847e6cfaa5676388a27c659029ec221d2d50,foldseek-family-ac1ca3f811c6
d00067,development,proteingym-v1.3-development,,MAFG_MOUSE,d7b3113f011b7f03a760ff6f67c29df5c3c7e08b8ab8bb29285e0c392d0ca2bc,foldseek-family-61623755f53d
d00068,development,proteingym-v1.3-development,,MBD11_ARATH,ff8ac306daa1980603573265dc9ac0ebc2290bb76ec1c46b274808a2098a8c58,foldseek-family-e502749744db
d00069,development,proteingym-v1.3-development,,MET_HUMAN,ee921a58956f2b3e7d23a9dae03e8f2b01d0b51123eb7dda7177a136c57264e9,foldseek-family-6ad758b04f4e
d00070,development,proteingym-v1.3-development,,MK01_HUMAN,f4e73d38322754b881b56a9471e551809aa6769fd2ec7a533390f2c825ed97cc,foldseek-family-a4075e563464
d00071,development,proteingym-v1.3-development,,MLAC_ECOLI,d77e306e842f7b015a4e69a6b37400ca0e9654f58539992dd7287d7d88e206de,foldseek-family-e366bd8fccaf
d00072,development,proteingym-v1.3-development,,MSH2_HUMAN,dbbee449c8717c8a06fba5cc8fc9c5c66432f3040444bef1e302f014b76fb7d2,foldseek-family-faabdc881760
d00073,development,proteingym-v1.3-development,,MTH3_HAEAE,492a10786aa26e230376b6813b566498bb1b03753d32e81f1bfaa32a7eed4884,foldseek-family-a746de0dd704
d00074,development,proteingym-v1.3-development,,MTHR_HUMAN,17f085e9450f4392923ba7216d29116ef4a669ae1ff02d81eeb1a7142f848df0,foldseek-family-9709b5dfb462
d00075,development,proteingym-v1.3-development,,MYO3_YEAST,8c6067da01f218256135ffb33427ff1cec29216c771f26a9a9e19ed00c7df787,foldseek-family-8842538ce269
d00076,development,proteingym-v1.3-development,,NCAP_I34A1,4277e0b2eae0f0af994f8ee97144914090f1c0ecf81c421705165689de2913b5,foldseek-family-f108919ee99e
d00077,development,proteingym-v1.3-development,,NKX31_HUMAN,092b35ded11e72a7d16b2ed063f623c79598d617fef8cfc7ec3dfa60d31d3e87,foldseek-family-8fdcdcc01614
d00078,development,proteingym-v1.3-development,,NPC1_HUMAN,7b67e92e61c03bcd0e11d707f56198191e0b0845122612f8ab0c0e6e7d01a75a,foldseek-family-2e6156fd2076
d00079,development,proteingym-v1.3-development,,NUD15_HUMAN,6a9cfb3c510c5018e45a6f7b897b9cb129e4b00d3c6178cc93e0f72528001816,foldseek-family-92c0c23cb402
d00080,development,proteingym-v1.3-development,,NUSA_ECOLI,3d199b0e42afc891ffc133ee86018678c38963072ba89148c3198bfcc2bd8641,foldseek-family-bfd8179ea47f
d00081,development,proteingym-v1.3-development,,NUSG_MYCTU,631e614bc8c2ce5a4eb30ea69df57fb7028fe42dd3c2b5aaf82c99c49217a679,foldseek-family-0b8a262a4075
d00082,development,proteingym-v1.3-development,,OBSCN_HUMAN,bdd0ef6ab781d10d58fe21af01840b638fce7d0194aed0873c5d8561d6eb0f21,foldseek-family-8842538ce269
d00083,development,proteingym-v1.3-development,,ODP2_GEOSE,276d44f56d6303b97bb9c6389fb83163b8ee0371dd5d4d0a3f78769b3d5d7623,foldseek-family-3899668f7e4d
d00084,development,proteingym-v1.3-development,,OTC_HUMAN,5df8b48faed6159956c34d289273cfae7f201678a51fa7f236b2bb841e14b2de,foldseek-family-9d9b8050834a
d00085,development,proteingym-v1.3-development,,OTU7A_HUMAN,474ee21ee73e525015ef2cd9e96dff064a67006a812f94aec1b9f868aab9c6a5,foldseek-family-b17f3da2e271
d00086,development,proteingym-v1.3-development,,OXDA_RHOTO,5a86cb9618c54ea4fb69780469c593c36e63474807b042162b09c1b3402b35bb,foldseek-family-6e5176c45b93
d00087,development,proteingym-v1.3-development,,P53_HUMAN,023c761b2f96b8a85e7d7d74f15b4a5f74687367d6e7442701292173108dec8b,foldseek-family-68636f15fb21
d00088,development,proteingym-v1.3-development,,P84126_THETH,7755f9ddd63851ae30c9c2ae832418f4f532549007ed6da02cfbda8dacf125d5,foldseek-family-496ed02f46e5
d00089,development,proteingym-v1.3-development,,PABP_YEAST,1768fe74df0da7b93789c0fec61d84f646497cd705b2301c0872ef244e8b7edf,foldseek-family-212e1bd7e2f1
d00090,development,proteingym-v1.3-development,,PAI1_HUMAN,c66129c53fba7c9b06078cafc8f515d6e5fbd8dbf50057463ef6cc40840234ca,foldseek-family-e66e88998639
d00091,development,proteingym-v1.3-development,,PA_I34A1,1202d29a6dad15921b823217ca198fb332222f372b3e580ffefa62f1b271219e,foldseek-family-6e3db7110d2d
d00092,development,proteingym-v1.3-development,,PHOT_CHLRE,9533c2b325cff85e71b9e96786169cc98d9f218367623c5bf145b0887bdfc22a,foldseek-family-418878150f87
d00093,development,proteingym-v1.3-development,,PIN1_HUMAN,dc3b545ead483a17f19ea2d01d3ff235fcd3c50b5709763322ebef65e543b487,foldseek-family-40a9153e0863
d00094,development,proteingym-v1.3-development,,PITX2_HUMAN,7853a7373b9b0845c01de3c504fb086d165434711a84abe57e469ce0a43c6cc5,foldseek-family-8fdcdcc01614
d00095,development,proteingym-v1.3-development,,PKN1_HUMAN,3fa533b6603e9af7458e7ef3fa2656952241c45a25ed981d29a173f17878d23e,foldseek-family-5dc324ec6f0d
d00096,development,proteingym-v1.3-development,,POLG_CXB3N,1fef642bb13334717bb2f9319113072f8f41e39669698624f4fdf4b540760fbb,foldseek-family-ebed42a1c8e1
d00097,development,proteingym-v1.3-development,,POLG_DEN26,9cd289f38dd986757d390bbfd0ee467b2660b6ac142f4e20b4144aa60774f0bb,foldseek-family-7950e17dbd3c
d00098,development,proteingym-v1.3-development,,POLG_HCVJF,235125599c678db750b6668aea2d20412f9f89ffa87685b119b5d0bfe9277cb8,foldseek-family-519a69b1f761
d00099,development,proteingym-v1.3-development,,POLG_PESV,9bbf382e4d7f8d3c3a95fc3d0819847f8d23253325f38ef8943f1d436fdb63fd,foldseek-family-d6dd25ba3d24
d00100,development,proteingym-v1.3-development,,PPARG_HUMAN,47f4981ba01912080d1900cba079dd1ca60e611f3d4d1338c538473084a04874,foldseek-family-e15e63346c7e
d00101,development,proteingym-v1.3-development,,PPM1D_HUMAN,e9cd00ee5def40872b639d382f1917ec5bd5f9df704fc3ba882de136dbc27198,foldseek-family-7ac4147288a1
d00102,development,proteingym-v1.3-development,,PR40A_HUMAN,6cb1f962065bd9dd161f79a1c3204059a290abb080f13ea1d0c27944c2b740df,foldseek-family-6c7cc5cc429c
d00103,development,proteingym-v1.3-development,,PRKN_HUMAN,63f4f9526e701da62bda57609aaeb82e281aa951a29e1b8f00a83d0a95de06db,foldseek-family-2b355d79c2f0
d00104,development,proteingym-v1.3-development,,PSAE_PICP2,2913f9f44c235af039f9da16bc3db13be892292f518ad3e1d217dd90746bd6af,foldseek-family-004246e4fcf5
d00105,development,proteingym-v1.3-development,,PTEN_HUMAN,9e3e9345079866531f588bbac861171d63fc20a52b0ab5d1599010c1ea16d7a8,foldseek-family-8634af42a53f
d00106,development,proteingym-v1.3-development,,Q2N0S5_9HIV1,66ab207a13189437b635f74e89519bbdd2830aee39358a13ede96d3181a461f6,foldseek-family-df03f7e2fb21
d00107,development,proteingym-v1.3-development,,Q53Z42_HUMAN,e521db5ea9d6f8ae0de09884853cc1be766e96eece1352129f3823c724290afa,foldseek-family-bfb47aa1e2cb
d00108,development,proteingym-v1.3-development,,Q59976_STRSQ,64bf56cd17deda8a7fffc8f1b47aaeddf2339eb93ecb6d6ba24648ca5ba4a406,foldseek-family-7034a38fa7f7
d00109,development,proteingym-v1.3-development,,Q6WV12_9MAXI,c4eedf86a926b67a8ed1d4ce2089418f69de6f09075dfb97fa5aa3e5e4ea0131,foldseek-family-1998dceb5aa6
d00110,development,proteingym-v1.3-development,,Q837P4_ENTFA,92dc0b8ee4c95ff0af0ab7c5f9fdf77c16bc4b3494805d1da0e73b60ea05beab,foldseek-family-936978171353
d00111,development,proteingym-v1.3-development,,Q837P5_ENTFA,718a4df0eac90552e0dc8552859bf0bd3e8780c6cd248ac362248a4cc9114491,foldseek-family-936978171353
d00112,development,proteingym-v1.3-development,,Q8WTC7_9CNID,366b7dbd435486e3b06d29058ca43787ecd679f3887f1e70595e8cf718f63faa,foldseek-family-1998dceb5aa6
d00113,development,proteingym-v1.3-development,,R1AB_SARS2,f0c28885744c5fa6278590dca83018ac5160a545ce355fda44ff20e939bd3fd1,foldseek-family-c5180cc3a90b
d00114,development,proteingym-v1.3-development,,RAD_ANTMA,45450d861b08c83ca299097c2dc9edadb60dac3b21bb31bba925c0d88226c6f3,foldseek-family-b9d7186d8578
d00115,development,proteingym-v1.3-development,,RASH_HUMAN,4fcb156783699f2e42f0cb2b53d8b152f97aaf213b144554e97cc5910aa6df24,foldseek-family-98eead5240dd
d00116,development,proteingym-v1.3-development,,RASK_HUMAN,129b61778ab9d4d2c9bf752bf9996406bdc223138e980fa7d19180955e991a8c,foldseek-family-98eead5240dd
d00117,development,proteingym-v1.3-development,,RBP1_HUMAN,9cd03f6d8042c74f3aaf39d3d726a148c65d6c91c50ff648cfe2908994c2f395,foldseek-family-2ec1f75725d4
d00118,development,proteingym-v1.3-development,,RCD1_ARATH,5733890cc63e19702e69b22bdea0d2de310b10071fbf875a05f0ab1fe90a6287,foldseek-family-ecd0a4e1abce
d00119,development,proteingym-v1.3-development,,RCRO_LAMBD,c5613bf86c5c39b1e17feb2fd1d7375c0e314391b9e7cd512759a7aba53f958d,foldseek-family-a22594c652fe
d00120,development,proteingym-v1.3-development,,RD23A_HUMAN,375eae6c2e8c9d5142f96b57a11a8524467cbd05e90e77f7bc0130011b3b7a88,foldseek-family-b17f3da2e271
d00121,development,proteingym-v1.3-development,,RDRP_I33A0,a77d7595883abacf55256a72c522b00636a2f35f2e282364148cad7b97ea91ae,foldseek-family-0b6d056f1484
d00122,development,proteingym-v1.3-development,,REV_HV1H2,e9121e7841cd83c8d7231d3161576904f9e2045f10f6c7cb0eba477954890e62,foldseek-family-1ca6b4b08d74
d00123,development,proteingym-v1.3-development,,RFAH_ECOLI,dc1844a9e960e96edde103e12167e45bde49cf5cee6c8ae4f69ee91bb346809f,foldseek-family-0b8a262a4075
d00124,development,proteingym-v1.3-development,,RL20_AQUAE,ac6cd3de706d00cbe012c65052398dc92971580be1a33babbadf3d63b8693c55,foldseek-family-0e68d5a2acc0
d00125,development,proteingym-v1.3-development,,RL40A_YEAST,575b528ff0a3d70a9c5f9096993235ad73e509594144bb28617bf9c7e96189da,foldseek-family-74736df55ca4
d00126,development,proteingym-v1.3-development,,RNC_ECOLI,ac99453117411246e58f1bc3f5154148784c1cfd347b20eb32b7ee647a2b565b,foldseek-family-7fdb46c4c122
d00127,development,proteingym-v1.3-development,,RPC1_BP434,334a2ca3fde0932a9a3d084dcca49c09a39952055746b7ccacb00fcd7559c805,foldseek-family-731a637b66c0
d00128,development,proteingym-v1.3-development,,RS15_GEOSE,445f3bd009ece2bb21a790f8c6bd5c41a5e0ef41cc3b6365d8282c6705b08c75,foldseek-family-d8ce76e1780f
d00129,development,proteingym-v1.3-development,,S22A1_HUMAN,e3f23d173d723f05f20715cadde2b55470df3f4cfe1f6344c51c83f08b04cb0c,foldseek-family-519cb423e667
d00130,development,proteingym-v1.3-development,,SAV1_MOUSE,d7faa7e6c429b7d639805c2ab7ddc1a5008ea644ac8bb0f1372dfb260f791d09,foldseek-family-0bd04fe9d2fe
d00131,development,proteingym-v1.3-development,,SBI_STAAM,c234b55316551aaa780f5a3998194ce7a2b53d0baa877b40b0003ddeb32e3b6d,foldseek-family-a5c58f193c95
