model_id,source_column,family,modalities,source_url,license_name,license_status,evidence_type,execution_status,mutation_coverage,targets_at_95pct_coverage,official_score_eligible,exclusion_reason,official_eligible_model_count,official_family_count,official_shared_target_count,official_shared_targets_sha256,official_score_gate_passed,executable_model_gate_passed
domainome_esm1v_domain,ESM1v_domain,masked-protein-language-model,domain_sequence,https://doi.org/10.5281/zenodo.14356805,CC-BY-4.0,permitted,official_precomputed_scores,not_executed_by_variantshift,0.999987213965759,426,True,,9,7,344,51711aa7cd098e234cf7358f835756e3674ab117e423cff8d6031ff136a06040,True,False
domainome_rasp,RaSP,learned-structure-stability-model,sequence;structure,https://doi.org/10.5281/zenodo.14356805,CC-BY-4.0,permitted,official_precomputed_scores,not_executed_by_variantshift,0.9983378155486701,425,True,,9,7,344,51711aa7cd098e234cf7358f835756e3674ab117e423cff8d6031ff136a06040,True,False
domainome_ddmut,ddmut,learned-structure-stability-model,sequence;structure,https://doi.org/10.5281/zenodo.14356805,CC-BY-4.0,permitted,official_precomputed_scores,not_executed_by_variantshift,0.9567746802425937,399,True,,9,7,344,51711aa7cd098e234cf7358f835756e3674ab117e423cff8d6031ff136a06040,True,False
domainome_foldx,FoldX,physics-based-energy-model,structure,https://doi.org/10.5281/zenodo.14356805,CC-BY-4.0,permitted,official_precomputed_scores,not_executed_by_variantshift,0.9635193133047211,358,True,,9,7,344,51711aa7cd098e234cf7358f835756e3674ab117e423cff8d6031ff136a06040,True,False
domainome_popeve,popEVE,evolutionary-generative-model,sequence;msa,https://doi.org/10.5281/zenodo.14356805,CC-BY-4.0,permitted,official_precomputed_scores,not_executed_by_variantshift,0.8717667315913072,243,False,sub_95pct_or_license_gate,9,7,344,51711aa7cd098e234cf7358f835756e3674ab117e423cff8d6031ff136a06040,True,False
domainome_eve,EVE,evolutionary-generative-model,sequence;msa,https://doi.org/10.5281/zenodo.14356805,CC-BY-4.0,permitted,official_precomputed_scores,not_executed_by_variantshift,0.865531408893113,241,False,sub_95pct_or_license_gate,9,7,344,51711aa7cd098e234cf7358f835756e3674ab117e423cff8d6031ff136a06040,True,False
domainome_tranception,Tranception,autoregressive-protein-language-model,sequence,https://doi.org/10.5281/zenodo.14356805,CC-BY-4.0,permitted,official_precomputed_scores,not_executed_by_variantshift,0.7833385187805533,216,False,sub_95pct_or_license_gate,9,7,344,51711aa7cd098e234cf7358f835756e3674ab117e423cff8d6031ff136a06040,True,False
domainome_eve_domain,EVE_domain,evolutionary-generative-model,domain_sequence;msa,https://doi.org/10.5281/zenodo.14356805,CC-BY-4.0,permitted,official_precomputed_scores,not_executed_by_variantshift,1.0,426,True,,9,7,344,51711aa7cd098e234cf7358f835756e3674ab117e423cff8d6031ff136a06040,True,False
domainome_rsasa,rsasa,structure-derived-baseline,structure,https://doi.org/10.5281/zenodo.14356805,CC-BY-4.0,permitted,official_precomputed_scores,not_executed_by_variantshift,1.0,426,True,,9,7,344,51711aa7cd098e234cf7358f835756e3674ab117e423cff8d6031ff136a06040,True,False
domainome_thermompnn,thermoMPNN,inverse-folding-model,sequence;structure,https://doi.org/10.5281/zenodo.14356805,CC-BY-4.0,permitted,official_precomputed_scores,not_executed_by_variantshift,0.9960320673738764,424,True,,9,7,344,51711aa7cd098e234cf7358f835756e3674ab117e423cff8d6031ff136a06040,True,False
domainome_alphamissense,AlphaMissense,sequence-structure-pathogenicity-model,sequence;structure;msa,https://doi.org/10.5281/zenodo.14356805,CC-BY-4.0,permitted,official_precomputed_scores,not_executed_by_variantshift,0.9983399465543769,425,True,,9,7,344,51711aa7cd098e234cf7358f835756e3674ab117e423cff8d6031ff136a06040,True,False
domainome_esm1v_full_length,ESM1v_full-length,masked-protein-language-model,full_length_sequence,https://doi.org/10.5281/zenodo.14356805,CC-BY-4.0,permitted,official_precomputed_scores,not_executed_by_variantshift,0.9982589683375173,425,True,,9,7,344,51711aa7cd098e234cf7358f835756e3674ab117e423cff8d6031ff136a06040,True,False
