policy,coverage,retained_tasks,failure_rate,mean_selection_regret_sd,mean_selection_gain_sd
conservative_auditor_v2,0.1,24,0.0,0.02292494961137903,0.6840872844891092
always_vespag_expected_random_abstention,0.1,24,0.004329004329004329,0.07716381085457019,0.5999663925520041
conservative_auditor_v2,0.2,47,0.0,0.03685522140669515,0.609663324273827
always_vespag_expected_random_abstention,0.2,47,0.004329004329004329,0.07716381085457019,0.5999663925520041
conservative_auditor_v2,0.3,70,0.0,0.0476099236723408,0.6045465614082695
always_vespag_expected_random_abstention,0.3,70,0.004329004329004329,0.07716381085457019,0.5999663925520041
conservative_auditor_v2,0.4,93,0.0,0.04749377334972381,0.5969105593484973
always_vespag_expected_random_abstention,0.4,93,0.004329004329004329,0.07716381085457019,0.5999663925520041
conservative_auditor_v2,0.5,116,0.0,0.05401118038920619,0.6038727755535279
always_vespag_expected_random_abstention,0.5,116,0.004329004329004329,0.07716381085457019,0.5999663925520041
conservative_auditor_v2,0.6,139,0.0,0.05547853273041652,0.601858155491934
always_vespag_expected_random_abstention,0.6,139,0.004329004329004329,0.07716381085457019,0.5999663925520041
conservative_auditor_v2,0.7,162,0.0,0.05723018801694145,0.5956749213457648
always_vespag_expected_random_abstention,0.7,162,0.004329004329004329,0.07716381085457019,0.5999663925520041
conservative_auditor_v2,0.8,185,0.0,0.057239013225151576,0.5954097023432701
always_vespag_expected_random_abstention,0.8,185,0.004329004329004329,0.07716381085457019,0.5999663925520041
conservative_auditor_v2,0.9,208,0.0,0.05829969143978276,0.597376800863245
always_vespag_expected_random_abstention,0.9,208,0.004329004329004329,0.07716381085457019,0.5999663925520041
conservative_auditor_v2,1.0,231,0.004329004329004329,0.07716381085457019,0.5999663925520041
always_vespag_expected_random_abstention,1.0,231,0.004329004329004329,0.07716381085457019,0.5999663925520041
