policy,coverage,retained_tasks,failure_rate,mean_selection_gain_sd,median_selection_gain_sd,mean_selection_regret_sd,median_selection_regret_sd,worst_quintile_mean_gain_sd,confidence_threshold
variantshift,0.1,20,0.0,0.6062640541283059,0.5939322894724208,0.08844826469553604,0.025124698280614366,0.38052656794378487,1.4808173150951667
variantshift,0.2,39,0.0,0.6531833203839843,0.6656482112106865,0.06433135051519476,0.004559681802905197,0.36154312519219056,0.9775088432078575
variantshift,0.30000000000000004,59,0.0,0.6403162335492851,0.6346781431518891,0.06110482297378233,0.01269362503598287,0.357072273773079,0.6312963727081025
variantshift,0.4,78,0.0,0.63015320151308,0.6213616470351011,0.05902622805651635,0.0038728210629844634,0.35520660698789364,0.30418308582322306
variantshift,0.5,98,0.0,0.6369337784350727,0.6213616470351011,0.05904362132883612,0.0038728210629844634,0.3525681717750966,0.0762310614120906
variantshift,0.6,117,0.0,0.6304012251077414,0.6198061469422603,0.05675818031851136,0.004559681802905197,0.35966421561806716,-0.13122252492403472
variantshift,0.7000000000000001,137,0.0,0.622012824766467,0.5973687934281768,0.05986213168753278,0.014679835307282008,0.35199107450570716,-0.45903409167648995
variantshift,0.8,156,0.0,0.6212735142385828,0.5981614705027819,0.062198586464474244,0.016910866092042037,0.34794878593755857,-0.8677484304826888
variantshift,0.9,176,0.0,0.6126642455266147,0.6035099326936525,0.06429953313473608,0.01820361982134444,0.3239624287619759,-1.5342359679216746
variantshift,1.0,195,0.0,0.6052748416931559,0.5946574085536022,0.06214751775200589,0.017969786096939222,0.32001427577023794,-3.7368976435179553
decision_only,0.1,20,0.0,0.6170334412170351,0.6328605855434921,0.10921878964985413,0.06511083066247492,0.46034840022319906,0.7600426002811632
decision_only,0.2,39,0.0,0.5942885047571468,0.6195518054156627,0.09024954266412084,0.037992179229206724,0.3573352634833203,0.7296624067883508
decision_only,0.30000000000000004,59,0.0,0.5984602806549654,0.6229171471279418,0.08068680072341435,0.02950841159633455,0.3469424898448786,0.6919279889048737
decision_only,0.4,78,0.0,0.6103593943164424,0.6287976451399154,0.07191221436963839,0.02114927166251826,0.3441536458739396,0.6624301683964865
decision_only,0.5,98,0.0,0.6058943537597572,0.6213616470351011,0.06814654593787219,0.02114927166251826,0.3408673836199353,0.6282437564066796
decision_only,0.6,117,0.0,0.6081779372248346,0.6198061469422603,0.06951673335199417,0.02328864080761417,0.34261142826739927,0.601118885277659
decision_only,0.7000000000000001,137,0.0,0.6186262246451967,0.6229171471279418,0.0694605395181101,0.02328864080761417,0.3530837662259411,0.5732801666246978
decision_only,0.8,156,0.0,0.6213833806876786,0.6149117617549471,0.06455235261669445,0.01756947862990707,0.36085347151129,0.5478138600271836
decision_only,0.9,176,0.0,0.6175371367714008,0.609769291385819,0.06370233934900618,0.01756947862990707,0.3381543992710534,0.49025657720851107
decision_only,1.0,195,0.0,0.6052748416931559,0.5946574085536022,0.06214751775200591,0.017969786096939222,0.32001427577023794,0.3563960084104713
uncalibrated,0.1,20,0.0,0.5900115951056369,0.5798735061124112,0.10167943695501673,0.05326584652401878,0.43007183312253977,0.7856918767736067
uncalibrated,0.2,39,0.0,0.6102062923500035,0.6461693656713214,0.08806947085274208,0.05545966737337382,0.3432005865011436,0.7414901860768973
uncalibrated,0.30000000000000004,59,0.0,0.6014787936475969,0.6198061469422603,0.08672861098986374,0.04806567751299706,0.34303602276032835,0.7076127261686924
uncalibrated,0.4,78,0.0,0.611122866094773,0.6213616470351011,0.07809891185479394,0.046714552088718775,0.3522673531407038,0.6711408909909395
uncalibrated,0.5,98,0.0,0.6079484989783049,0.6213616470351011,0.07600290827097063,0.03308988126265844,0.32049694108677496,0.6420353618093892
uncalibrated,0.6,117,0.0,0.602511881803911,0.6105478642156442,0.07588706008049424,0.02950841159633455,0.318935625704388,0.6134070002487931
uncalibrated,0.7000000000000001,137,0.0,0.6047508036972012,0.608990718555994,0.07031369025660154,0.02730760142472477,0.32114905619147927,0.5834669084920422
uncalibrated,0.8,156,0.0,0.6212390240098734,0.6185490449998967,0.06881641243505143,0.02437389511214888,0.32445418645571,0.5534314029572193
uncalibrated,0.9,176,0.0,0.6107195710131971,0.5968057780654945,0.07394450084110873,0.020555843620290698,0.315795322554431,0.5117777002791868
uncalibrated,1.0,195,0.0,0.5956375819846645,0.5780993209419584,0.07178477746049727,0.01900990251742235,0.2941505900409125,0.3671799496206655
elastic_net,0.1,20,0.0,0.6792680604245438,0.6842085935807363,0.05482615055735669,0.020781629376016963,0.3529441767994524,0.7740347798004976
elastic_net,0.2,39,0.0,0.6525045005174838,0.6989332849117392,0.06926772314575409,0.022092203920585307,0.35985035338288635,0.7031628517031618
elastic_net,0.30000000000000004,59,0.0,0.62096034837817,0.6374681305309337,0.07485169479191645,0.03277222214519526,0.3492166206154741,0.6584398491945782
elastic_net,0.4,78,0.0,0.6039902215630376,0.5953115062918826,0.07306919807799586,0.03824378429157113,0.3468633295574925,0.6173505458874611
elastic_net,0.5,98,0.0,0.6168201417978295,0.616696363907353,0.07788541389856422,0.04276810178142457,0.3296366658595113,0.5939067569526384
elastic_net,0.6,117,0.0,0.6125341510586039,0.6192756592942499,0.0849592116887758,0.04976713743386102,0.32419153509765175,0.5765864731655215
elastic_net,0.7000000000000001,137,0.0,0.61291643286565,0.6192756592942499,0.07971972913792023,0.04721050492590151,0.32462040351838245,0.5386295202794931
elastic_net,0.8,156,0.0,0.607097217348806,0.6136891458347558,0.08048684715740761,0.046747053447684095,0.3137682452869182,0.5047163558012638
elastic_net,0.9,176,0.0,0.6015728178637301,0.5966671987291698,0.07437484498209895,0.039735187235124925,0.3178899390780193,0.4377974359252727
elastic_net,1.0,195,0.02564102564102564,0.5759256226039177,0.5929562006692969,0.09149673684124418,0.03942653896871706,0.22126648677817584,0.18264469326046018
always_best,0.1,20,0.0,0.5776757409956105,0.5235688628203299,0.07428408092243391,0.0,0.21944199666991068,0.0
always_best,0.2,39,0.0,0.5734725251524476,0.5444273349218336,0.06827049677418276,0.016652561021209156,0.24850902407462983,0.0
always_best,0.30000000000000004,59,0.0,0.5912847828144336,0.5583762330427523,0.06037824770184075,0.01269362503598287,0.2747208693898152,0.0
always_best,0.4,78,0.0,0.5757716838975028,0.5413081466605216,0.059382540697788574,0.017969934556667566,0.2823549761754147,0.0
