urn,target_name,protein_id,model,variants,mutated_positions,spearman,top_fraction,top_recall,selected_target_mean,selection_gain_sd,best_variant_regret_sd
urn:mavedb:00001217-a-3,SOD1,SOD1,masked_marginal,2632,152,0.1309824199516543,0.1,0.10606060606060606,0.6719778637038656,0.1726307079983514,0.6114071225181352
urn:mavedb:00001217-a-3,SOD1,SOD1,wild_type_marginal,2632,152,0.12419627396242756,0.1,0.0946969696969697,0.6315211669944699,0.09137365605853648,0.6114071225181352
urn:mavedb:00001217-a-4,SOD1,SOD1,masked_marginal,2655,152,0.01545484910781267,0.1,0.07894736842105263,0.6055760845033766,-0.17771995756663253,0.8975785734785834
urn:mavedb:00001217-a-4,SOD1,SOD1,wild_type_marginal,2655,152,0.015946160463438403,0.1,0.07894736842105263,0.597667067477978,-0.19489988067621328,0.8975785734785834
urn:mavedb:00001222-a-2,BRCA1,BRCA1,masked_marginal,1359,191,0.05583904620768223,0.1,0.03676470588235294,-0.534387233180147,-0.23222832692017736,0.6361342294300497
urn:mavedb:00001222-a-2,BRCA1,BRCA1,wild_type_marginal,1359,191,0.04636779474539868,0.1,0.04411764705882353,-0.49358898602573525,-0.1608027687464552,0.6361342294300497
urn:mavedb:00001222-b-2,BRCA1,BRCA1,masked_marginal,2150,286,0.026563038636651673,0.1,0.09302325581395349,-0.3265286553546512,-0.07897507484197618,0.5640309136881305
urn:mavedb:00001222-b-2,BRCA1,BRCA1,wild_type_marginal,2150,286,0.029931341737676302,0.1,0.10232558139534884,-0.3288156915406977,-0.08294601709169862,0.5640309136881305
urn:mavedb:00001252-a-1,LetA,LetA,masked_marginal,8065,427,0.17464973199991396,0.1,0.11648079306071871,-0.13709805893432467,0.059965947255858056,0.301786221093189
urn:mavedb:00001252-a-1,LetA,LetA,wild_type_marginal,8065,427,0.1736160716592813,0.1,0.10780669144981413,-0.15706220009913258,0.013142943480982078,0.301786221093189
urn:mavedb:00001252-a-2,LetA,LetA,masked_marginal,8080,427,0.18411175239319538,0.1,0.12995049504950495,-0.1439054606930693,0.05856700918506094,0.447399014483661
urn:mavedb:00001252-a-2,LetA,LetA,wild_type_marginal,8080,427,0.18942911672086796,0.1,0.12128712871287128,-0.1612775591584158,0.008326378485123907,0.447399014483661
urn:mavedb:00001266-0-1,G6PD,G6PD,masked_marginal,8570,507,0.024268182115425765,0.1,0.09801633605600933,0.4981705359719954,-0.03657690226476658,0.09087719719882464
urn:mavedb:00001266-0-1,G6PD,G6PD,wild_type_marginal,8570,507,0.03637889933880195,0.1,0.11201866977829639,0.5232355147607936,0.02655591341701858,0.09087719719882464
urn:mavedb:00001266-a-1,G6PD,G6PD,masked_marginal,8217,505,0.01651133252751048,0.1,0.09854014598540146,0.49273329095377133,-0.03238874945646388,0.10098849514256562
urn:mavedb:00001266-a-1,G6PD,G6PD,wild_type_marginal,8217,505,0.028234764324545462,0.1,0.10827250608272507,0.5194657471399027,0.03210273740953141,0.10098849514256562
urn:mavedb:00001266-b-1,G6PD,G6PD,masked_marginal,9676,511,0.09109955802257824,0.1,0.09504132231404959,0.8006921735072314,-0.01080956058562382,0.33860055100091235
urn:mavedb:00001266-b-1,G6PD,G6PD,wild_type_marginal,9676,511,0.10311522159241136,0.1,0.09400826446280992,0.8182177875330578,0.03982328456682708,0.2317602715674265
urn:mavedb:00001266-c-1,G6PD,G6PD,masked_marginal,8227,508,-0.0012879391635836532,0.1,0.08019441069258809,0.644442913216282,-0.05429049040594949,0.38540591565933724
urn:mavedb:00001266-c-1,G6PD,G6PD,wild_type_marginal,8227,508,0.011309014190563429,0.1,0.0899149453219927,0.6653563470048603,-0.000343679741114038,0.38540591565933724
urn:mavedb:00001267-0-2,TSC2,TSC2,masked_marginal,8946,493,0.052808227018565176,0.1,0.1418994413407821,0.7690305790733071,0.03623941150329832,0.5390984993382256
urn:mavedb:00001267-0-2,TSC2,TSC2,wild_type_marginal,8946,493,0.049106477163216145,0.1,0.14972067039106146,0.7713941783846849,0.04303806073953907,0.5390984993382256
urn:mavedb:00001267-a-2,TSC2 Tuberin,TSC2,masked_marginal,3531,199,0.005481159316428597,0.1,0.096045197740113,0.6222602906550224,-0.14542545403263077,0.025212556358750533
urn:mavedb:00001267-a-2,TSC2 Tuberin,TSC2,wild_type_marginal,3531,199,0.0062445714555630265,0.1,0.09887005649717515,0.6246924337130542,-0.13838975172649773,0.025212556358750533
urn:mavedb:00001267-b-2,TSC2 RapGAP,TSC2,masked_marginal,5415,294,0.012911468620840359,0.1,0.14391143911439114,0.8852781833800702,0.2194086840058528,0.5546723738286683
urn:mavedb:00001267-b-2,TSC2 RapGAP,TSC2,wild_type_marginal,5415,294,0.004052978123767751,0.1,0.15313653136531366,0.8813887044696922,0.20789780167871355,0.5546723738286683
urn:mavedb:00001269-a-1,LDLR,LDLR,masked_marginal,15507,858,0.26347540130127217,0.1,0.1154094132817537,0.8736862967556415,0.27136048654879524,0.26671690920830143
urn:mavedb:00001269-a-1,LDLR,LDLR,wild_type_marginal,15507,858,0.25352528686230513,0.1,0.12121212121212122,0.8755051882707929,0.27618278074617514,0.26671690920830143
urn:mavedb:00001269-b-1,LDLR,LDLR,masked_marginal,15011,858,0.10110930563547131,0.1,0.09986684420772303,0.8857645845239679,0.15489443365926164,0.0
urn:mavedb:00001269-b-1,LDLR,LDLR,wild_type_marginal,15011,858,0.09850197503453557,0.1,0.10319573901464714,0.8904397436351531,0.16851442903544753,0.0
urn:mavedb:00001269-c-1,LDLR,LDLR,masked_marginal,6752,371,0.3754646848075522,0.1,0.10355029585798817,0.7654676065517751,0.2797864528823272,0.322221723167222
urn:mavedb:00001269-c-1,LDLR,LDLR,wild_type_marginal,6752,371,0.36219622641337884,0.1,0.10650887573964497,0.7636183356597633,0.27547340363567474,0.322221723167222
urn:mavedb:00001273-a-1,PqiC,PqiC,masked_marginal,3548,187,0.061450924796969654,0.1,0.14084507042253522,-0.07231127531549295,0.13469972404677888,2.2828305008024867
urn:mavedb:00001273-a-1,PqiC,PqiC,wild_type_marginal,3548,187,0.06922109914451799,0.1,0.14647887323943662,-0.07580585569014084,0.12220033991903441,2.0110408687468775
urn:mavedb:00001278-a-1,PALB2,PALB2,masked_marginal,6718,359,0.13831695042530717,0.1,0.11011904761904762,0.0005963898809523806,0.12687128996241226,1.9793125538171168
urn:mavedb:00001278-a-1,PALB2,PALB2,wild_type_marginal,6718,359,0.13595981517138978,0.1,0.1056547619047619,-0.001080184523809522,0.12248518031610192,1.9793125538171168
urn:mavedb:00001280-a-1,CHEK2,CHEK2,masked_marginal,3187,543,0.3200278289690302,0.1,0.13479623824451412,-0.42898101114106585,0.32794324295135896,1.5810580629869158
urn:mavedb:00001280-a-1,CHEK2,CHEK2,wild_type_marginal,3187,543,0.29560198843247887,0.1,0.13479623824451412,-0.4541840646896551,0.3112828309351909,0.0
urn:mavedb:00001282-a-1,CPOX,CPOX,masked_marginal,7446,453,-0.05551105611161345,0.1,0.07651006711409396,0.7372429368630872,0.051998025804125235,1.4282512874491207
urn:mavedb:00001282-a-1,CPOX,CPOX,wild_type_marginal,7446,453,-0.053101600748903174,0.1,0.07785234899328859,0.7254898923449664,0.02340623198512861,1.4282512874491207
urn:mavedb:00001282-a-2,CPOX,CPOX,masked_marginal,6512,451,-0.07544303285620484,0.1,0.06595092024539877,0.7315920813834356,0.049322569838450646,1.1826405254444587
urn:mavedb:00001282-a-2,CPOX,CPOX,wild_type_marginal,6512,451,-0.06860797952974107,0.1,0.06748466257668712,0.7215678407515337,0.028189247911940895,1.1826405254444587
