sequence_sha256,sequence_length,mutated_positions,unique_variants,model,strategies,window_size,window_overlap,batch_size,device,torch_version,fair_esm_version,checkpoint_bytes,checkpoint_sha256
0725c9221fe1fd935ede4a747d0678459ca0e367b238a1dea22fc4874335cf8f,515,514,9686,esm2_t6_8M_UR50D,masked-marginal;wild-type-marginal,1022,256,8,mps,2.2.2,2.0.0,30099493,46f002a9870c9bdecd0ea887acb1f9a38a6b561e8f8bf8a6990b679b9d31b928
35163d0e13e4a150d298ccca639143caff776af6606f5cb9121d365dec99e9f6,187,187,3548,esm2_t6_8M_UR50D,masked-marginal;wild-type-marginal,1022,256,8,mps,2.2.2,2.0.0,30099493,46f002a9870c9bdecd0ea887acb1f9a38a6b561e8f8bf8a6990b679b9d31b928
36a68c5510827c435b046def3dd5413c4715085cfdc1fdcb4b05a83e805ef3a2,860,858,15936,esm2_t6_8M_UR50D,masked-marginal;wild-type-marginal,1022,256,8,mps,2.2.2,2.0.0,30099493,46f002a9870c9bdecd0ea887acb1f9a38a6b561e8f8bf8a6990b679b9d31b928
45e732e55a1549ce8ef2697cd0a8cbc14173192bac722f916ca7e7f3bd06d2e6,287,286,2150,esm2_t6_8M_UR50D,masked-marginal;wild-type-marginal,1022,256,8,mps,2.2.2,2.0.0,30099493,46f002a9870c9bdecd0ea887acb1f9a38a6b561e8f8bf8a6990b679b9d31b928
46f47e2a4e958f92f35d38442fe4eca1d49f15d7878736efece0c185964c813b,191,191,1359,esm2_t6_8M_UR50D,masked-marginal;wild-type-marginal,1022,256,8,mps,2.2.2,2.0.0,30099493,46f002a9870c9bdecd0ea887acb1f9a38a6b561e8f8bf8a6990b679b9d31b928
6c6795ffc0f62a83401b3f75c82c49bdd4e0f17500834047f393531c2a00b402,1807,493,8946,esm2_t6_8M_UR50D,masked-marginal;wild-type-marginal,1022,256,8,mps,2.2.2,2.0.0,30099493,46f002a9870c9bdecd0ea887acb1f9a38a6b561e8f8bf8a6990b679b9d31b928
848e1c837f05f81497688db39709751dda67d0c3c1044aad526d4341d64e5f6e,1186,359,6718,esm2_t6_8M_UR50D,masked-marginal;wild-type-marginal,1022,256,8,mps,2.2.2,2.0.0,30099493,46f002a9870c9bdecd0ea887acb1f9a38a6b561e8f8bf8a6990b679b9d31b928
c56903dca972575883387736442f68a5206604d08604ddeb8dbc2e3f25a9f76d,154,152,2792,esm2_t6_8M_UR50D,masked-marginal;wild-type-marginal,1022,256,8,mps,2.2.2,2.0.0,30099493,46f002a9870c9bdecd0ea887acb1f9a38a6b561e8f8bf8a6990b679b9d31b928
c7e1a72a053db5994b1db068f6f22f1899a398cbf997ca47c8c660b063ddb2ea,204,199,3531,esm2_t6_8M_UR50D,masked-marginal;wild-type-marginal,1022,256,8,mps,2.2.2,2.0.0,30099493,46f002a9870c9bdecd0ea887acb1f9a38a6b561e8f8bf8a6990b679b9d31b928
cd4c4a5265b6324b7639487f6a6550ec0ca34ca209542ad5559ad8dc0dc5bba3,427,427,8085,esm2_t6_8M_UR50D,masked-marginal;wild-type-marginal,1022,256,8,mps,2.2.2,2.0.0,30099493,46f002a9870c9bdecd0ea887acb1f9a38a6b561e8f8bf8a6990b679b9d31b928
e28823e05f815e180de7285869186899339af929822f1d43d2a9bf0d540ebb9c,294,294,5415,esm2_t6_8M_UR50D,masked-marginal;wild-type-marginal,1022,256,8,mps,2.2.2,2.0.0,30099493,46f002a9870c9bdecd0ea887acb1f9a38a6b561e8f8bf8a6990b679b9d31b928
e81f5dcd44302c3c277b4599449c71b5f2a7b3eb761bc2c584db236d9fbb8632,543,543,3187,esm2_t6_8M_UR50D,masked-marginal;wild-type-marginal,1022,256,8,mps,2.2.2,2.0.0,30099493,46f002a9870c9bdecd0ea887acb1f9a38a6b561e8f8bf8a6990b679b9d31b928
eb29387ba7d732851ac442149fd14f7333324f258bf7a1c88bf5294f843839d1,454,453,7629,esm2_t6_8M_UR50D,masked-marginal;wild-type-marginal,1022,256,8,mps,2.2.2,2.0.0,30099493,46f002a9870c9bdecd0ea887acb1f9a38a6b561e8f8bf8a6990b679b9d31b928
