protein_id,model,spearman,top_recall,selection_gain_sd,best_variant_regret_sd
BRCA1,masked_marginal,0.04120104242216695,0.06489398084815322,-0.15560170088107678,0.6000825715590901
CHEK2,masked_marginal,0.3200278289690302,0.13479623824451412,0.32794324295135896,1.5810580629869158
CPOX,masked_marginal,-0.06547704448390915,0.07123049367974636,0.05066029782128794,1.3054459064467898
G6PD,masked_marginal,0.03264778337548271,0.09294805376201212,-0.03351642567820094,0.22896803975040997
LDLR,masked_marginal,0.24668313058143188,0.1062755177824883,0.23534712436346136,0.1963128774585078
LetA,masked_marginal,0.17938074219655467,0.12321564405511183,0.059266478220459495,0.374592617788425
PALB2,masked_marginal,0.13831695042530717,0.11011904761904762,0.12687128996241226,1.9793125538171168
PqiC,masked_marginal,0.061450924796969654,0.14084507042253522,0.13469972404677888,2.2828305008024867
SOD1,masked_marginal,0.07321863452973348,0.09250398724082934,-0.0025446247841405673,0.7544928479983593
TSC2,masked_marginal,0.023733618318611375,0.12728535939842875,0.03674088049217345,0.37299447650854817
BRCA1,wild_type_marginal,0.03814956824153749,0.07322161422708619,-0.1218743929190769,0.6000825715590901
CHEK2,wild_type_marginal,0.29560198843247887,0.13479623824451412,0.3112828309351909,0.0
CPOX,wild_type_marginal,-0.06085479013932212,0.07266850578498785,0.02579773994853475,1.3054459064467898
G6PD,wild_type_marginal,0.04475947486158055,0.10105359641145602,0.024534563913065757,0.2022579698920385
LDLR,wild_type_marginal,0.2380744961034065,0.11030557865547112,0.24005687113909913,0.1963128774585078
LetA,wild_type_marginal,0.18152259419007463,0.11454691008134271,0.010734660983052993,0.374592617788425
PALB2,wild_type_marginal,0.13595981517138978,0.1056547619047619,0.12248518031610192,1.9793125538171168
PqiC,wild_type_marginal,0.06922109914451799,0.14647887323943662,0.12220033991903441,2.0110408687468775
SOD1,wild_type_marginal,0.07007121721293298,0.08682216905901116,-0.0517631123088384,0.7544928479983593
TSC2,wild_type_marginal,0.019801342247515643,0.13390908608451677,0.03751537023058497,0.37299447650854817
