model_id,dms_id,target_id,shared_variants,reference_variants,parity_spearman,minimum_variants_pass,correlation_pass,parity_pass
carp_640m,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,922,922,0.9999988517135051,True,True,True
carp_640m,DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,1008,1008,0.9999993673058236,True,True,True
carp_640m,MET_HUMAN_Estevam_2023,MET_HUMAN,5393,5393,0.9999996720803073,True,True,True
carp_640m,MLAC_ECOLI_MacRae_2023,MLAC_ECOLI,4007,4007,0.9999997278220444,True,True,True
carp_640m,SCIN_STAAR_Tsuboyama_2023_2QFF,SCIN_STAAR,1212,1212,0.9999995079643816,True,True,True
carp_640m,SOX30_HUMAN_Tsuboyama_2023_7JJK,SOX30_HUMAN,1010,1010,0.9999982063476485,True,True,True
carp_640m,TPMT_HUMAN_Matreyek_2018,TPMT_HUMAN,3648,3648,0.9999996638325205,True,True,True
carp_640m,VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7,1047,1047,0.9999993622192128,True,True,True
vespag,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,922,922,0.9999926203454581,True,True,True
vespag,DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,1008,1008,0.9999957351725892,True,True,True
vespag,MET_HUMAN_Estevam_2023,MET_HUMAN,5393,5393,0.9999987497356438,True,True,True
vespag,MLAC_ECOLI_MacRae_2023,MLAC_ECOLI,4007,4007,0.9999975040017799,True,True,True
vespag,SCIN_STAAR_Tsuboyama_2023_2QFF,SCIN_STAAR,1212,1212,0.9999954031740866,True,True,True
vespag,SOX30_HUMAN_Tsuboyama_2023_7JJK,SOX30_HUMAN,1010,1010,0.9999959002231962,True,True,True
vespag,TPMT_HUMAN_Matreyek_2018,TPMT_HUMAN,3648,3648,0.9999977491609785,True,True,True
vespag,VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7,1047,1047,0.9999953682477262,True,True,True
