model_id,family,coverage_a,coverage_b,coverage_pass,parity_targets,minimum_parity_spearman,median_parity_spearman,parity_pass,repeat_rows,exact_repeat_rows,repeat_spearman,repeat_pass,checkpoint_sha256,checkpoint_pass,container_sha256,container_pass,specification_pass,input_hash_pass,code_hash_pass,prediction_hash_pass,hardware_runtime_pass,failures_recorded,failures_a,failures_b,parity_failures,prediction_sha256_a,prediction_sha256_b,prediction_sha256_parity,qualification_status
carp_640m,convolutional-protein-language-model,1.0,1.0,True,8,0.9999982063476484,0.9999994376351028,True,469262,469262,1.0,True,bc500a04b3e4ff1a4bb4129006ecf40f18c552135b23b635117c74ccd3ea604d,True,11373f28857fab398f3f0692f2e05c7523a48abad049980c2b8920f943615077,True,True,True,True,True,True,True,0,0,0,04256fd9fbe07a6f6032cad67547eaddfee6c0686cf10af08594bb285b4463a2,1bff07018b5fafb037061603af9b25f12b68f5a025c9ea54345c792255a31155,2df6d967ff3d9902bb894f234ddd3c12c5b988404010bc32326b221c8ae462a2,passed
esm1v_ensemble,masked-protein-language-model,1.0,1.0,True,8,0.999999988352907,1.0,True,469262,469262,1.0,True,31bcef7fd4ff9db9cf9f7611b3c97fb9547f0d1415abda04c2354b1f4aaaabc8,True,5e0045fdeaa80c4b408b9511dde626afa9f1fe76906707640a3aa66c3b1ec3ef,True,True,True,True,True,True,True,0,0,0,65d70c5ec0e02cef17be0b1e8cde57ff91790e6bbf8eb7ddc2dfc78905683819,75cea40f590da4ea21a4893f4295af8346983a77ffde00f13061a8b2da63b36d,d7a8fb602e70d0a5355bc18a40042d690a6fbe118709e4424d1143ec8f4fb8ff,passed
esm2_150m,masked-protein-language-model,1.0,1.0,True,8,0.9999999992584544,1.0,True,469262,469262,1.0,True,115affebe12d93dec9f3602beb83e2ce9640b9f3ae635bdb29acaa28f039bb22,True,5e0045fdeaa80c4b408b9511dde626afa9f1fe76906707640a3aa66c3b1ec3ef,True,True,True,True,True,True,True,0,0,0,5d13cb52f8e424068801136f8c8cce0459321d23491ef9f5720ae78c2425af4c,0b564dfc63908421b7d65b2f90794836f294d3fa31be33a72f3c5328446f3b02,50ae1b52ea6c1130679913decc2e582316504daf7340e90a5bc1013de127fcd6,passed
esm2_35m,masked-protein-language-model,1.0,1.0,True,8,0.9999999983149463,0.99999999984699,True,469262,469262,1.0,True,46885ea852d81116aff8adf1b7786fd363e857606e8b81f7699ffcd547fc2b61,True,5e0045fdeaa80c4b408b9511dde626afa9f1fe76906707640a3aa66c3b1ec3ef,True,True,True,True,True,True,True,0,0,0,d98bf078d358b4998f83c342842bbdb845497985210ef1de1638132894ac3846,3aecdd10cde390d3fd16b21b8771d8d0585fc5f0bdc15cb04b5b33c26c6d6aab,1e7be8bdec59572d0d8a0a99aff55cd834828fc9b7523363fd783f141ff880b5,passed
esm2_650m,masked-protein-language-model,1.0,1.0,True,8,0.9999999846895136,0.9999999993418656,True,469262,469262,0.9999999999999998,True,f184542b173386b778ec136d686dc80eac4458aedfc248bfb4c39083e0f2b958,True,5e0045fdeaa80c4b408b9511dde626afa9f1fe76906707640a3aa66c3b1ec3ef,True,True,True,True,True,True,True,0,0,0,bf97bdbf58923f7e2d283bf81f928daa72d9249d24d66ff4c3aeb2556e2432e2,b23c2f9bf8d7b58f92357bc2ba5677f356ea64bce9c0090701e5f4297d76488f,647ee41e62d7389d0cce1cadc9c964f6c64fa87c0efa36254d224b2665d06f34,passed
esm2_8m,masked-protein-language-model,1.0,1.0,True,8,0.9999999988876812,1.0,True,469262,469262,1.0,True,03f97b27b564acaf3b075a633046ace8cb923c71e44a22eb8a738f427382fb58,True,5e0045fdeaa80c4b408b9511dde626afa9f1fe76906707640a3aa66c3b1ec3ef,True,True,True,True,True,True,True,0,0,0,5edd8ef59d637ec0d30e70c8ad71c1d68dc0a4037f0446e8bfb931b32e641b5a,0c5a2906fcd6389322a33fa4d1ef06a098d3ec78e99da944c47db29decc59648,d2918d2917c6afb5d2b288e98abdb39b3382c2ee54caaa4cded8e4fbd9d18c11,passed
esm_if1,inverse-folding-model,0.97343914487003,0.97343914487003,True,8,0.999999923447567,0.999999997317081,True,456798,143701,0.999999999996686,True,dff50b16296ba18aea271d7a34a5df7647809067693dfb303c9bdd92eb30ec4e,True,5e0045fdeaa80c4b408b9511dde626afa9f1fe76906707640a3aa66c3b1ec3ef,True,True,True,True,True,True,True,13,13,0,1e7da3177a652694ec76b2d25a1ef368dccc3ed30263ed09d364c62cc8debe7e,10085d6840920af7448a1413326229c70b5966f0cc5ca957482969952f8d03b3,9c72d2cc5e4fed59695380b1e819791ba9b05a5c586542f96aafb39bbdb0e522,passed
saprot_35m,structure-aware-protein-language-model,0.97343914487003,0.97343914487003,True,8,0.999999993259786,0.9999999999617476,True,456798,456798,1.0,True,e8c73a52141ba62b569a37d043014322326f07aeaaa38e659cf3252e4368765b,True,20775869789db6087f13ec5634692b08657fb833c210b3088dae1236be960efc,True,True,True,True,True,True,True,13,13,0,ba99761e8def87bd01e3c784e9d4347fe5f4818a44176a13f66a996559f18391,f15cf3d9fceefa0ede77ed091aa4fd7dab6631ae5e7f80c3d72a6a2c96f9b4db,565f97d3efc629fbf90bd3090e843fe4217bc0e03df5dd43a94c48df80021fdd,passed
tranception_l_no_retrieval,autoregressive-protein-language-model,1.0,1.0,True,8,0.9999999853543012,0.9999999986684782,True,469262,469262,1.0,True,17ad1f0def4524dcb32698ff5849e1fa95c0d48b4c76674ef4477162fbe36362,True,20775869789db6087f13ec5634692b08657fb833c210b3088dae1236be960efc,True,True,True,True,True,True,True,0,0,0,986e35964d3237d0cd6c7a80000bb57323430673fb368fef5059ab5b674e0528,b25e44864d56b250e09c76bed63bc66cdaf6075d7da4c3da130ed6d4a88cf224,eb6ba621f27c1d230854da7cd8430d64dd4b35d0dc76e583270dbcddb8b4fa5c,passed
vespag,distilled-evolutionary-variant-effect-model,1.0,1.0,True,8,0.999992620345458,0.9999958176978928,True,469262,469262,1.0,True,add2d095f6506b2c7359d03c85a695a86b5b22b2312fb8e4a6bf617cd83188d4,True,11373f28857fab398f3f0692f2e05c7523a48abad049980c2b8920f943615077,True,True,True,True,True,True,True,0,0,0,023cf14b418e408173fb33b9843e3c938cb9f678cfaaae54a097ac537a6c8ace,fdcda8da1c60dd11ec91b760b637e8b0fd341625095bb25971f089605695899f,91e120e7e5345a8b869bbcd2d9ca719cd66f9a50a9945e0ac76787dac75aec0b,passed
