protein_id,assay_a,phenotype_a,assay_b,phenotype_b,shared_variants,outcome_spearman,median_predictor_agreement,minimum_predictor_agreement,common_predictors
CP2C9_HUMAN,CP2C9_HUMAN_Amorosi_2021_abundance,abundance,CP2C9_HUMAN_Amorosi_2021_activity,activity/binding,4421,0.7486963986178132,1.0,0.1579851990110015,95
HXK4_HUMAN,HXK4_HUMAN_Gersing_2023_abundance,abundance,HXK4_HUMAN_Gersing_2022_activity,activity,8255,0.21311166611637702,0.999999999760016,0.11961072458372134,95
KCNE1_HUMAN,KCNE1_HUMAN_Muhammad_2023_expression,surface expression,KCNE1_HUMAN_Muhammad_2023_function,channel function,2312,0.05388452266867875,0.9999999999999998,0.36827077424044996,95
KCNJ2_MOUSE,KCNJ2_MOUSE_Coyote-Maestas_2022_surface,surface trafficking,KCNJ2_MOUSE_Coyote-Maestas_2022_function,ion conduction,6789,0.2896062864223979,0.9999999999999999,0.25746577374722573,95
OXDA_RHOTO,OXDA_RHOTO_Vanella_2023_expression,surface expression,OXDA_RHOTO_Vanella_2023_activity,activity,6387,0.245668548592404,0.9999999999999999,0.27468351303844574,95
PTEN_HUMAN,PTEN_HUMAN_Matreyek_2021,abundance,PTEN_HUMAN_Mighell_2018,activity,4839,0.3249763381721793,0.9999999999999999,0.24424912140867938,95
Q53Z42_HUMAN,Q53Z42_HUMAN_McShan_2019_expression,surface expression,Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,binding,3344,0.48216402267920133,1.0,0.22748998575806512,95
RASK_HUMAN,RASK_HUMAN_Weng_2022_abundance,abundance,RASK_HUMAN_Weng_2022_binding-DARPin_K55,binding,2948,0.47772615911268684,0.9999999997658098,0.4923600293205902,95
S22A1_HUMAN,S22A1_HUMAN_Yee_2023_abundance,abundance,S22A1_HUMAN_Yee_2023_activity,activity,9715,0.7506347025320715,1.0,0.15038415677646313,95
SPIKE_SARS2,SPIKE_SARS2_Starr_2020_expression,expression,SPIKE_SARS2_Starr_2020_binding,binding,3797,0.7377423666827181,0.9999999999999998,0.095249605746758,95
VKOR1_HUMAN,VKOR1_HUMAN_Chiasson_2020_abundance,abundance,VKOR1_HUMAN_Chiasson_2020_activity,activity,692,0.25001534751884863,0.9999999999999999,0.3555623643943944,95
