protein_id,assay_id,phenotype,pair_side,variants,eligible_predictors,pcs_80pct,pcs_90pct,pcs_95pct,effective_rank,policy,spearman,selection_gain_sd,top_recall
CP2C9_HUMAN,CP2C9_HUMAN_Amorosi_2021_abundance,abundance,a,6370,95,4,14,31,4.8303202186125676,crossfit_best_single,0.6711766955584273,0.9493904637539596,0.3092621664050236
CP2C9_HUMAN,CP2C9_HUMAN_Amorosi_2021_abundance,abundance,a,6370,95,4,14,31,4.8303202186125676,crossfit_linear_span,0.726124685187128,0.9932303205031318,0.3076923076923077
CP2C9_HUMAN,CP2C9_HUMAN_Amorosi_2021_abundance,abundance,a,6370,95,4,14,31,4.8303202186125676,uniform_panel,0.6784351608310764,0.9973921701224686,0.32339089481946626
CP2C9_HUMAN,CP2C9_HUMAN_Amorosi_2021_activity,activity/binding,b,6142,95,4,15,32,4.967472779388632,crossfit_best_single,0.6897735291852384,1.0606135193230943,0.3853658536585366
CP2C9_HUMAN,CP2C9_HUMAN_Amorosi_2021_activity,activity/binding,b,6142,95,4,15,32,4.967472779388632,crossfit_linear_span,0.779996321688194,1.1895604766312344,0.40487804878048783
CP2C9_HUMAN,CP2C9_HUMAN_Amorosi_2021_activity,activity/binding,b,6142,95,4,15,32,4.967472779388632,uniform_panel,0.7205829259410718,1.150591591242464,0.4016260162601626
HXK4_HUMAN,HXK4_HUMAN_Gersing_2022_activity,activity,b,8570,95,5,16,32,5.6458591880464395,crossfit_best_single,0.5220717702977185,0.663682356423327,0.13418903150525088
HXK4_HUMAN,HXK4_HUMAN_Gersing_2022_activity,activity,b,8570,95,5,16,32,5.6458591880464395,crossfit_linear_span,0.5811894184880485,0.7205409609755543,0.1855309218203034
HXK4_HUMAN,HXK4_HUMAN_Gersing_2022_activity,activity,b,8570,95,5,16,32,5.6458591880464395,uniform_panel,0.5351118943541906,0.6597105081534448,0.14469078179696615
HXK4_HUMAN,HXK4_HUMAN_Gersing_2023_abundance,abundance,a,8396,95,5,16,32,5.516728369632479,crossfit_best_single,0.417961301030557,0.5480593641808488,0.16666666666666666
HXK4_HUMAN,HXK4_HUMAN_Gersing_2023_abundance,abundance,a,8396,95,5,16,32,5.516728369632479,crossfit_linear_span,0.49132308322561496,0.6066308676505143,0.17857142857142858
HXK4_HUMAN,HXK4_HUMAN_Gersing_2023_abundance,abundance,a,8396,95,5,16,32,5.516728369632479,uniform_panel,0.3998823964074873,0.5633281236201468,0.18095238095238095
KCNE1_HUMAN,KCNE1_HUMAN_Muhammad_2023_expression,surface expression,a,2339,95,7,20,35,8.75571442511,crossfit_best_single,0.26652763209674213,0.18055765651255892,0.09829059829059829
KCNE1_HUMAN,KCNE1_HUMAN_Muhammad_2023_expression,surface expression,a,2339,95,7,20,35,8.75571442511,crossfit_linear_span,0.3707321465765245,0.5528312403043492,0.16666666666666666
