assay_id,filename,uniprot_id,taxon,selection_type,coarse_selection_type,protein_length,total_rows,finite_rows,single_variants,multiple_variants,mutated_positions,unique_scores,invalid_mutation_codes,reference_mismatches,mutated_sequence_mismatches,duplicate_single_variants,eligible,exclusion_reasons
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV_Sourisseau_2019.csv,A0A140D2T1_ZIKV,Virus,Growth,OrganismalFitness,3423,9576,9576,9576,0,504,9576,0,0,0,0,True,
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1_Haddox_2018.csv,A0A192B1T2_9HIV1,Virus,Growth,OrganismalFitness,852,12577,12577,12577,0,662,12577,0,0,0,0,True,
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME_Kennouche_2019.csv,A0A1I9GEU1_NEIME,Prokaryote,nan,Activity,161,922,922,922,0,161,842,0,0,0,0,True,
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN_Stadelmann_2021.csv,A0A247D711_LISMN,Prokaryote,Flow cytometry,Activity,87,1653,1653,1653,0,87,1630,0,0,0,0,True,
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA_Doud_2016.csv,A0A2Z5U3Z0_9INFA,Virus,Growth,OrganismalFitness,565,10715,10715,10715,0,564,10715,0,0,0,0,True,
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA_Wu_2014.csv,A0A2Z5U3Z0_9INFA,Virus,Growth,OrganismalFitness,565,2350,2350,2350,0,552,2229,0,0,0,0,True,
A4D664_9INFA_Soh_2019,A4D664_9INFA_Soh_2019.csv,A4D664_9INFA,Virus,Growth,OrganismalFitness,759,14421,14421,14421,0,759,14421,0,0,0,0,True,
A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI_Chen_2020.csv,A4GRB6_PSEAI,Prokaryote,Antibiotics resistance,OrganismalFitness,266,5004,5004,5004,0,266,5003,0,0,0,0,True,
A4_HUMAN_Seuma_2022,A4_HUMAN_Seuma_2022.csv,A4_HUMAN,Human,survival assessment assay,Stability,770,14811,14811,796,14015,42,796,0,0,0,0,True,
AACC1_PSEAI_Dandage_2018,AACC1_PSEAI_Dandage_2018.csv,AACC1_PSEAI,Prokaryote,Antibiotics resistance,OrganismalFitness,177,1801,1801,1801,0,161,1800,0,0,0,0,True,
ACE2_HUMAN_Chan_2020,ACE2_HUMAN_Chan_2020.csv,ACE2_HUMAN,Human,Flow Cytometry Assay,Binding,805,2223,2223,2223,0,117,2223,0,0,0,0,True,
ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN_Jones_2020.csv,ADRB2_HUMAN,Human,Receptor activity,Activity,413,7800,7800,7800,0,412,7800,0,0,0,0,True,
AICDA_HUMAN_Gajula_2014_3cycles,AICDA_HUMAN_Gajula_2014_3cycles.csv,AICDA_HUMAN,Human,bulk RNA-sequencing,Activity,198,209,209,209,0,11,181,0,0,0,0,False,too_few_single_variants;too_few_positions
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN_Tsuboyama_2023_4G3O.csv,AMFR_HUMAN,Human,cDNA display proteolysis,Stability,47,2972,2972,820,2152,47,820,0,0,0,0,True,
AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE_Wrenbeck_2017.csv,AMIE_PSEAE,Prokaryote,Growth,Activity,346,6227,6227,6227,0,341,4023,0,0,0,0,True,
ANCSZ_Hobbs_2022,ANCSZ_Hobbs_2022.csv,ANCSZ,Eukaryote,enzymatic activity,Activity,627,4670,4670,4670,0,274,4667,0,0,0,0,True,
ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI_Tsuboyama_2023_1AOY.csv,ARGR_ECOLI,Prokaryote,cDNA display proteolysis,Stability,69,1287,1287,1287,0,69,1287,0,0,0,0,True,
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,B2L11_HUMAN_Dutta_2010_binding-Mcl-1.csv,B2L11_HUMAN,Human,FACS,Binding,198,170,170,170,0,10,170,0,0,0,0,False,too_few_single_variants;too_few_positions
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST_Tsuboyama_2023_1TG0.csv,BBC1_YEAST,Eukaryote,cDNA display proteolysis,Stability,64,2069,2069,1084,985,64,1084,0,0,0,0,True,
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE_Tsuboyama_2023_2KRU.csv,BCHB_CHLTE,Prokaryote,cDNA display proteolysis,Stability,52,1572,1572,890,682,52,890,0,0,0,0,True,
BLAT_ECOLX_Deng_2012,BLAT_ECOLX_Deng_2012.csv,BLAT_ECOLX,Prokaryote,Amp resistance,OrganismalFitness,286,4996,4996,4996,0,263,3704,0,0,0,0,True,
BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX_Firnberg_2014.csv,BLAT_ECOLX,Prokaryote,Growth,OrganismalFitness,286,4783,4783,4783,0,263,2736,0,0,0,0,True,
BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX_Jacquier_2013.csv,BLAT_ECOLX,Prokaryote,Amoxicillin resistance,OrganismalFitness,286,989,989,989,0,263,84,0,0,0,0,True,
BLAT_ECOLX_Stiffler_2015,BLAT_ECOLX_Stiffler_2015.csv,BLAT_ECOLX,Prokaryote,Growth,OrganismalFitness,286,4996,4996,4996,0,263,4996,0,0,0,0,True,
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN_Findlay_2018.csv,BRCA1_HUMAN,Human,Growth,OrganismalFitness,1863,1837,1837,1837,0,326,1837,0,0,0,0,True,
BRCA2_HUMAN_Erwood_2022_HEK293T,BRCA2_HUMAN_Erwood_2022_HEK293T.csv,BRCA2_HUMAN,Human,Growth,OrganismalFitness,3418,265,265,265,0,53,265,0,0,0,0,False,too_few_single_variants
C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA_Lee_2018.csv,C6KNH7_9INFA,Virus,Growth,OrganismalFitness,566,10754,10754,10754,0,566,10754,0,0,0,0,True,
CALM1_HUMAN_Weile_2017,CALM1_HUMAN_Weile_2017.csv,CALM1_HUMAN,Human,complementation,OrganismalFitness,149,1813,1813,1813,0,148,1802,0,0,0,0,True,
CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S_Sinai_2021.csv,CAPSD_AAV2S,Virus,nan,OrganismalFitness,735,42328,42328,532,41796,28,532,0,0,0,0,True,
CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN_Meitlis_2020_gof.csv,CAR11_HUMAN,Human,survival assessment assay,OrganismalFitness,1154,2374,2374,2374,0,141,2374,0,0,0,0,True,
CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN_Meitlis_2020_lof.csv,CAR11_HUMAN,Human,survival assessment assay,OrganismalFitness,1154,2395,2395,2395,0,141,2395,0,0,0,0,True,
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1_Spencer_2017_positive.csv,CAS9_STRP1,Prokaryote,Flow cytometry,Activity,1368,8117,8117,8117,0,1368,8112,0,0,0,0,True,
CASP3_HUMAN_Roychowdhury_2020,CASP3_HUMAN_Roychowdhury_2020.csv,CASP3_HUMAN,Human,nan,Activity,258,1567,1567,1567,0,257,1567,0,0,0,0,True,
CASP7_HUMAN_Roychowdhury_2020,CASP7_HUMAN_Roychowdhury_2020.csv,CASP7_HUMAN,Human,nan,Activity,281,1680,1680,1680,0,280,1680,0,0,0,0,True,
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE_Tsuboyama_2023_2AMI.csv,CATR_CHLRE,Eukaryote,cDNA display proteolysis,Stability,72,1903,1903,1340,563,72,1340,0,0,0,0,True,
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN_Tsuboyama_2023_1O6X.csv,CBPA2_HUMAN,Human,cDNA display proteolysis,Stability,72,2068,2068,1357,711,72,1357,0,0,0,0,True,
CBS_HUMAN_Sun_2020,CBS_HUMAN_Sun_2020.csv,CBS_HUMAN,Human,Growth,OrganismalFitness,551,7217,7217,7217,0,549,5342,0,0,0,0,True,
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN_Tsuboyama_2023_2K28.csv,CBX4_HUMAN,Human,cDNA display proteolysis,Stability,50,2282,2282,917,1365,50,917,0,0,0,0,True,
CCDB_ECOLI_Adkar_2012,CCDB_ECOLI_Adkar_2012.csv,CCDB_ECOLI,Prokaryote,toxin activity,Activity,101,1176,1176,1176,0,100,49,0,0,0,0,True,
CCDB_ECOLI_Tripathi_2016,CCDB_ECOLI_Tripathi_2016.csv,CCDB_ECOLI,Prokaryote,Growth,OrganismalFitness,101,1663,1663,1663,0,100,8,0,0,0,0,False,too_few_unique_scores
CCR5_HUMAN_Gill_2023,CCR5_HUMAN_Gill_2023.csv,CCR5_HUMAN,Human,FACS,Binding,352,6137,6137,6137,0,323,955,0,0,0,0,True,
CD19_HUMAN_Klesmith_2019_FMC_singles,CD19_HUMAN_Klesmith_2019_FMC_singles.csv,CD19_HUMAN,Human,FACS,Binding,556,3761,3761,3761,0,272,1815,0,0,0,0,True,
CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN_Amorosi_2021_abundance.csv,CP2C9_HUMAN,Human,protein abundance,Expression,490,6370,6370,6370,0,486,6370,0,0,0,0,True,
CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN_Amorosi_2021_activity.csv,CP2C9_HUMAN,Human,"Activity, binding",Binding,490,6142,6142,6142,0,477,6135,0,0,0,0,True,
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE_Tsuboyama_2023_1UFM.csv,CSN4_MOUSE,Eukaryote,cDNA display proteolysis,Stability,72,3295,3295,1353,1942,72,1353,0,0,0,0,True,
CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST_Tsuboyama_2023_2MYX.csv,CUE1_YEAST,Eukaryote,cDNA display proteolysis,Stability,52,1580,1580,955,625,52,955,0,0,0,0,True,
D7PM05_CLYGR_Somermeyer_2022,D7PM05_CLYGR_Somermeyer_2022.csv,D7PM05_CLYGR,Eukaryote,FACS,Activity,235,24515,24515,1169,23346,234,1082,0,0,0,0,True,
DLG4_HUMAN_Faure_2021,DLG4_HUMAN_Faure_2021.csv,DLG4_HUMAN,Human,Growth,OrganismalFitness,724,6976,6976,1280,5696,84,1250,0,0,0,0,True,
DLG4_RAT_McLaughlin_2012,DLG4_RAT_McLaughlin_2012.csv,DLG4_RAT,Eukaryote,Binding,Binding,724,1576,1576,1576,0,83,1565,0,0,0,0,True,
DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2_Tsuboyama_2023_1JIC.csv,DN7A_SACS2,Prokaryote,cDNA display proteolysis,Stability,55,1008,1008,1008,0,55,1008,0,0,0,0,True,
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN_Tsuboyama_2023_2LO1.csv,DNJA1_HUMAN,Human,cDNA display proteolysis,Stability,65,2264,2264,1216,1048,65,1216,0,0,0,0,True,
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE_Tsuboyama_2023_2M0Y.csv,DOCK1_MOUSE,Eukaryote,cDNA display proteolysis,Stability,66,2915,2915,1213,1702,66,1213,0,0,0,0,True,
DYR_ECOLI_Nguyen_2023,DYR_ECOLI_Nguyen_2023.csv,DYR_ECOLI,Prokaryote,Growth,OrganismalFitness,159,2916,2916,2916,0,158,145,0,0,0,0,True,
DYR_ECOLI_Thompson_2019,DYR_ECOLI_Thompson_2019.csv,DYR_ECOLI,Prokaryote,Growth,OrganismalFitness,159,2363,2363,2363,0,157,2360,0,0,0,0,True,
ENVZ_ECOLI_Ghose_2023,ENVZ_ECOLI_Ghose_2023.csv,ENVZ_ECOLI,Prokaryote,FACS,Activity,60,1121,1121,1121,0,60,1099,0,0,0,0,True,
ENV_HV1B9_DuenasDecamp_2016,ENV_HV1B9_DuenasDecamp_2016.csv,ENV_HV1B9,Virus,Growth,OrganismalFitness,853,375,375,375,0,20,117,0,0,0,0,False,too_few_single_variants
ENV_HV1BR_Haddox_2016,ENV_HV1BR_Haddox_2016.csv,ENV_HV1BR,Virus,Growth,OrganismalFitness,861,12863,12863,12863,0,677,12863,0,0,0,0,True,
EPHB2_HUMAN_Tsuboyama_2023_1F0M,EPHB2_HUMAN_Tsuboyama_2023_1F0M.csv,EPHB2_HUMAN,Human,cDNA display proteolysis,Stability,66,1960,1960,1239,721,66,1239,0,0,0,0,True,
ERBB2_HUMAN_Elazar_2016,ERBB2_HUMAN_Elazar_2016.csv,ERBB2_HUMAN,Human,TOXCAT-Beta-lactamase (TbL) screen,Expression,1255,326,326,326,0,23,323,0,0,0,0,False,too_few_single_variants
ESTA_BACSU_Nutschel_2020,ESTA_BACSU_Nutschel_2020.csv,ESTA_BACSU,Prokaryote,thermostability,Stability,212,2172,2172,2172,0,168,877,0,0,0,0,True,
F7YBW8_MESOW_Aakre_2015,F7YBW8_MESOW_Aakre_2015.csv,F7YBW8_MESOW,Prokaryote,Growth (antitoxin neutralization of ParE3),OrganismalFitness,93,9192,9192,37,9155,4,37,0,0,0,0,False,too_few_single_variants;too_few_positions
F7YBW8_MESOW_Ding_2023,F7YBW8_MESOW_Ding_2023.csv,F7YBW8_MESOW,Prokaryote,nan,OrganismalFitness,93,7922,7922,80,7842,10,80,0,0,0,0,False,too_few_single_variants;too_few_positions
FECA_ECOLI_Tsuboyama_2023_2D1U,FECA_ECOLI_Tsuboyama_2023_2D1U.csv,FECA_ECOLI,Prokaryote,cDNA display proteolysis,Stability,72,1886,1886,1219,667,72,1219,0,0,0,0,True,
FKBP3_HUMAN_Tsuboyama_2023_2KFV,FKBP3_HUMAN_Tsuboyama_2023_2KFV.csv,FKBP3_HUMAN,Human,cDNA display proteolysis,Stability,69,1237,1237,1237,0,69,1237,0,0,0,0,True,
GAL4_YEAST_Kitzman_2015,GAL4_YEAST_Kitzman_2015.csv,GAL4_YEAST,Eukaryote,Growth,OrganismalFitness,881,1195,1195,1195,0,64,829,0,0,0,0,True,
GCN4_YEAST_Staller_2018,GCN4_YEAST_Staller_2018.csv,GCN4_YEAST,Eukaryote,FACS,Binding,281,2638,2638,33,2605,21,33,0,0,0,0,False,too_few_single_variants
GDIA_HUMAN_Silverstein_2021,GDIA_HUMAN_Silverstein_2021.csv,GDIA_HUMAN,Human,Growth,OrganismalFitness,447,1154,1154,1154,0,445,1132,0,0,0,0,True,
GFP_AEQVI_Sarkisyan_2016,GFP_AEQVI_Sarkisyan_2016.csv,GFP_AEQVI,Eukaryote,FACS,Activity,238,51714,51714,1084,50630,233,1084,0,0,0,0,True,
GLPA_HUMAN_Elazar_2016,GLPA_HUMAN_Elazar_2016.csv,GLPA_HUMAN,Human,TOXCAT-Beta-lactamase (TbL) screen,Expression,150,245,245,245,0,15,245,0,0,0,0,False,too_few_single_variants;too_few_positions
GRB2_HUMAN_Faure_2021,GRB2_HUMAN_Faure_2021.csv,GRB2_HUMAN,Human,Growth,OrganismalFitness,217,63366,63366,1034,62332,55,1034,0,0,0,0,True,
HCP_LAMBD_Tsuboyama_2023_2L6Q,HCP_LAMBD_Tsuboyama_2023_2L6Q.csv,HCP_LAMBD,Virus,cDNA display proteolysis,Stability,55,1040,1040,1040,0,55,1040,0,0,0,0,True,
HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN_Tsuboyama_2023_3DKM.csv,HECD1_HUMAN,Human,cDNA display proteolysis,Stability,72,5586,5586,1244,4342,72,1244,0,0,0,0,True,
HEM3_HUMAN_Loggerenberg_2023,HEM3_HUMAN_Loggerenberg_2023.csv,HEM3_HUMAN,Human,Yeast complementation,Activity,361,5689,5689,5689,0,342,4552,0,0,0,0,True,
HIS7_YEAST_Pokusaeva_2019,HIS7_YEAST_Pokusaeva_2019.csv,HIS7_YEAST,Eukaryote,Growth,OrganismalFitness,220,496137,496137,168,495969,91,166,0,0,0,0,False,too_few_single_variants
HMDH_HUMAN_Jiang_2019,HMDH_HUMAN_Jiang_2019.csv,HMDH_HUMAN,Human,Resistance to statin inhibition,OrganismalFitness,888,16853,16853,16853,0,887,7907,0,0,0,0,True,
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2.csv,HSP82_YEAST,Eukaryote,nan,OrganismalFitness,709,2252,2252,2252,0,119,2252,0,0,0,0,True,
HSP82_YEAST_Flynn_2019,HSP82_YEAST_Flynn_2019.csv,HSP82_YEAST,Eukaryote,nan,OrganismalFitness,709,13294,13294,13294,0,707,13068,0,0,0,0,True,
HSP82_YEAST_Mishra_2016,HSP82_YEAST_Mishra_2016.csv,HSP82_YEAST,Eukaryote,Growth,OrganismalFitness,709,4323,4323,4323,0,229,4313,0,0,0,0,True,
HXK4_HUMAN_Gersing_2022_activity,HXK4_HUMAN_Gersing_2022_activity.csv,HXK4_HUMAN,Human,enzymatic activity,OrganismalFitness,465,8570,8570,8570,0,464,8570,0,0,0,0,True,
HXK4_HUMAN_Gersing_2023_abundance,HXK4_HUMAN_Gersing_2023_abundance.csv,HXK4_HUMAN,Human,Growth,Expression,465,8396,8396,8396,0,463,8396,0,0,0,0,True,
I6TAH8_I68A0_Doud_2015,I6TAH8_I68A0_Doud_2015.csv,I6TAH8_I68A0,Virus,Growth,OrganismalFitness,498,9462,9462,9462,0,498,9462,0,0,0,0,True,
IF1_ECOLI_Kelsic_2016,IF1_ECOLI_Kelsic_2016.csv,IF1_ECOLI,Prokaryote,Growth,OrganismalFitness,72,1367,1367,1367,0,72,918,0,0,0,0,True,
