assay_id,uniprot_id,source_single_variants,score_single_variants,matched_dms_scores,duplicate_score_variants,dms_score_max_abs_difference,common_finite_scores,common_score_coverage,ESM1v_ensemble_finite_scores,ESM2_8M_finite_scores,ESM2_35M_finite_scores,ESM2_150M_finite_scores,ESM2_650M_finite_scores,ESM2_3B_finite_scores,ESM2_15B_finite_scores,eligible_for_zero_shot,exclusion_reasons
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,9576,9576,9576,0,0.0,9576,1.0,9576,9576,9576,9576,9576,9576,9576,True,
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,12577,12577,12577,0,0.0,12577,1.0,12577,12577,12577,12577,12577,12577,12577,True,
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,922,922,922,0,0.0,922,1.0,922,922,922,922,922,922,922,True,
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,1653,1653,1653,0,0.0,1653,1.0,1653,1653,1653,1653,1653,1653,1653,True,
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,10715,10715,10715,0,0.0,10715,1.0,10715,10715,10715,10715,10715,10715,10715,True,
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,2350,2350,2350,0,0.0,2350,1.0,2350,2350,2350,2350,2350,2350,2350,True,
A4D664_9INFA_Soh_2019,A4D664_9INFA,14421,14421,14421,0,0.0,14421,1.0,14421,14421,14421,14421,14421,14421,14421,True,
A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,5004,5004,5004,0,0.0,5004,1.0,5004,5004,5004,5004,5004,5004,5004,True,
A4_HUMAN_Seuma_2022,A4_HUMAN,796,796,796,0,4.440892098500626e-16,796,1.0,796,796,796,796,796,796,796,True,
AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,1801,1801,1801,0,0.0,1801,1.0,1801,1801,1801,1801,1801,1801,1801,True,
ACE2_HUMAN_Chan_2020,ACE2_HUMAN,2223,2223,2223,0,0.0,2223,1.0,2223,2223,2223,2223,2223,2223,2223,True,
ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,7800,7800,7800,0,0.0,7800,1.0,7800,7800,7800,7800,7800,7800,7800,True,
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,820,820,820,0,8.881784197001252e-16,820,1.0,820,820,820,820,820,820,820,True,
AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE,6227,6227,6227,0,0.0,6227,1.0,6227,6227,6227,6227,6227,6227,6227,True,
ANCSZ_Hobbs_2022,ANCSZ,4670,4670,4670,0,0.0,4670,1.0,4670,4670,4670,4670,4670,4670,4670,True,
ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI,1287,1287,1287,0,4.440892098500626e-16,1287,1.0,1287,1287,1287,1287,1287,1287,1287,True,
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST,1084,1084,1084,0,4.440892098500626e-16,1084,1.0,1084,1084,1084,1084,1084,1084,1084,True,
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,890,890,890,0,4.440892098500626e-16,890,1.0,890,890,890,890,890,890,890,True,
BLAT_ECOLX_Deng_2012,BLAT_ECOLX,4996,4996,4996,0,0.0,4996,1.0,4996,4996,4996,4996,4996,4996,4996,True,
BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,4783,4783,4783,0,0.0,4783,1.0,4783,4783,4783,4783,4783,4783,4783,True,
BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,989,989,989,0,0.0,989,1.0,989,989,989,989,989,989,989,True,
BLAT_ECOLX_Stiffler_2015,BLAT_ECOLX,4996,4996,4996,0,0.0,4996,1.0,4996,4996,4996,4996,4996,4996,4996,True,
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,1837,1837,1837,0,0.0,1837,1.0,1837,1837,1837,1837,1837,1837,1837,True,
C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,10754,10754,10754,0,0.0,10754,1.0,10754,10754,10754,10754,10754,10754,10754,True,
CALM1_HUMAN_Weile_2017,CALM1_HUMAN,1813,1813,1813,0,0.0,1813,1.0,1813,1813,1813,1813,1813,1813,1813,True,
