model,calibration_method,metric,n_proteins,n_bootstrap_groups,heldout_pfam_family_mean,heldout_pfam_family_ci_low,heldout_pfam_family_ci_high,heldout_pfam_clan_mean,heldout_pfam_clan_ci_low,heldout_pfam_clan_ci_high,heldout_pfam_clan_minus_heldout_pfam_family,delta_ci_low,delta_ci_high,bootstrap_unit,bootstrap_repeats
cross_protein_histgb,mondrian_substitution,observed_coverage,169,97,0.8007348083750332,0.7833099099007617,0.8151047279042384,0.8089656375238778,0.7926802703699947,0.8224364689976841,0.008230829148844654,0.005653240404649468,0.01123716149252794,heldout_pfam_clan:family_id,10000
cross_protein_histgb,mondrian_substitution,position_coverage_mean,169,97,0.7978577083059504,0.779074271713279,0.8128064421869685,0.8061048468355291,0.7883714929210425,0.8203248899497909,0.008247138529578701,0.005714441239484827,0.011234597173283572,heldout_pfam_clan:family_id,10000
cross_protein_histgb,mondrian_substitution,selection_gain_sd,169,97,0.7181914076020167,0.6676194617700715,0.7635684807501621,0.7152121784574269,0.6642285225093132,0.7598147208806355,-0.0029792291445898123,-0.008496968649348572,0.0024352554063166287,heldout_pfam_clan:family_id,10000
cross_protein_histgb,mondrian_substitution,spearman,169,97,0.5331650893368651,0.49701091448565987,0.5635556707642072,0.530949611262749,0.49503336043755247,0.5614730905724782,-0.0022154780741161506,-0.003985758673020393,4.687332901203588e-06,heldout_pfam_clan:family_id,10000
cross_protein_histgb,mondrian_substitution,top_recall,169,97,0.21309506143334642,0.1996172899384845,0.22581843010760547,0.21338317030924225,0.200088633509604,0.22550870055353575,0.0002881088758958372,-0.0024178309079030567,0.002772088864894532,heldout_pfam_clan:family_id,10000
cross_protein_histgb,standard_split,observed_coverage,169,97,0.8014033012766869,0.7836904824927922,0.8159695955458165,0.8094573754875813,0.7931393135931901,0.8231259858913037,0.008054074210894435,0.005368263960685161,0.011277975888352254,heldout_pfam_clan:family_id,10000
cross_protein_histgb,standard_split,position_coverage_mean,169,97,0.7984250380283276,0.7792449530254748,0.8137608217016604,0.8065315656730528,0.7885142915596,0.8210598243286865,0.008106527644725192,0.005452557754991938,0.011302952004940303,heldout_pfam_clan:family_id,10000
cross_protein_histgb,standard_split,selection_gain_sd,169,97,0.7181914076020167,0.666458018640805,0.7632886977782306,0.7152121784574269,0.6633827697818192,0.7593244333981868,-0.0029792291445898123,-0.00848689575188609,0.002364611827060597,heldout_pfam_clan:family_id,10000
cross_protein_histgb,standard_split,spearman,169,97,0.5331650893368651,0.4964390926253089,0.5642658444142458,0.530949611262749,0.4948444509489139,0.561858370152683,-0.0022154780741161506,-0.003969295094097927,3.892188810234106e-05,heldout_pfam_clan:family_id,10000
cross_protein_histgb,standard_split,top_recall,169,97,0.21309506143334642,0.1995171643915741,0.22586973196126472,0.21338317030924225,0.19988646594707485,0.2256016356193914,0.0002881088758958372,-0.002422998954435348,0.0028108482663443245,heldout_pfam_clan:family_id,10000
cross_protein_ridge,mondrian_substitution,observed_coverage,169,97,0.7992502958148541,0.78520095718033,0.8113250028785529,0.8055993867553994,0.7920584187367308,0.8175039599545405,0.0063490909405453655,0.004567870073790029,0.008635658291706923,heldout_pfam_clan:family_id,10000
cross_protein_ridge,mondrian_substitution,position_coverage_mean,169,97,0.7957357672824308,0.7805263372139555,0.8084233613093608,0.8020212940537704,0.7872980309418258,0.8146932965927407,0.0062855267713396445,0.004477408332986879,0.00860205922082054,heldout_pfam_clan:family_id,10000
cross_protein_ridge,mondrian_substitution,selection_gain_sd,169,97,0.6777914593542707,0.6161377103951846,0.7299359260266755,0.6758194632549572,0.6148361127616813,0.7276761299519886,-0.0019719960993134222,-0.005912359993634489,0.001789595345914549,heldout_pfam_clan:family_id,10000
cross_protein_ridge,mondrian_substitution,spearman,169,97,0.5126318100822226,0.47477674299849965,0.5440201747022012,0.5121739712253413,0.47439512859411215,0.5436241372727689,-0.00045783885688133186,-0.0018601834630975421,0.0008701349987310729,heldout_pfam_clan:family_id,10000
cross_protein_ridge,mondrian_substitution,top_recall,169,97,0.2092684692927782,0.19484467235857184,0.2223800509683338,0.2098767766071541,0.19518193882616106,0.2229235956325938,0.0006083073143758888,-0.0012566745770000616,0.0022838570890471427,heldout_pfam_clan:family_id,10000
cross_protein_ridge,standard_split,observed_coverage,169,97,0.79980550721429,0.785519701403337,0.8120958330799252,0.805745244713238,0.7922438963412883,0.8181283408294487,0.00593973749894805,0.0040037137085248975,0.008434732091186269,heldout_pfam_clan:family_id,10000
cross_protein_ridge,standard_split,position_coverage_mean,169,97,0.7959976191785209,0.7807697052130284,0.8089087790289049,0.801938340937822,0.7871598493538297,0.8148527215059471,0.00594072175930116,0.003979415353386218,0.008475935855135371,heldout_pfam_clan:family_id,10000
cross_protein_ridge,standard_split,selection_gain_sd,169,97,0.6777914593542707,0.615627342800574,0.7303808100991279,0.6758194632549572,0.6145395628970204,0.728321084172094,-0.0019719960993134222,-0.005929957294249202,0.0018219250484989733,heldout_pfam_clan:family_id,10000
cross_protein_ridge,standard_split,spearman,169,97,0.5126318100822226,0.4747148888315825,0.5440718912817604,0.5121739712253413,0.47433264959690574,0.5436891218561838,-0.00045783885688133186,-0.001858482847995252,0.000854930840170051,heldout_pfam_clan:family_id,10000
cross_protein_ridge,standard_split,top_recall,169,97,0.2092684692927782,0.19465613422934314,0.2224717015270108,0.2098767766071541,0.19492203083945991,0.2230871636845314,0.0006083073143758888,-0.001231588889903623,0.0022359215694773313,heldout_pfam_clan:family_id,10000
