fold,repeat,assay_id,uniprot_id,model,calibration_method,evaluation_type,nominal_coverage,spearman,rmse,mae,r2,top_fraction,top_recall,selected_target_mean,selection_gain_sd,best_variant_regret_sd,observed_coverage,mean_interval_width,median_interval_width,position_coverage_mean,position_coverage_p10,position_coverage_min,covered_positions,test_rows,fit_proteins,calibration_proteins,test_proteins,family_id,fit_families,calibration_families,test_families
0,0,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,cross_protein_histgb,mondrian_substitution,held_out_curated_sequence_structure_family,0.8,0.37502264439784816,0.27025117185254927,0.2292175409925211,0.12357077291865937,0.1,0.27,0.7063600000000001,0.7131203150525054,0.006928206694379728,0.781,0.6896582550834836,0.6902070996365299,0.7807539682539683,0.5,0.0,504,1000,92,26,51,cssc_a5d49b9502ef,61,16,20
0,0,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,cross_protein_histgb,mondrian_substitution,held_out_curated_sequence_structure_family,0.8,0.37302454902454907,0.2778184443960253,0.2334363871003693,0.07380201724248825,0.1,0.23,0.75708,0.8888196368219743,0.027712826777518913,0.746,0.6875617977205944,0.6902070996365298,0.7469788519637462,0.0,0.0,662,1000,92,26,51,cssc_1bf288bd319a,61,16,20
0,0,A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,cross_protein_histgb,mondrian_substitution,held_out_curated_sequence_structure_family,0.8,0.5998367998367999,0.24636311246758172,0.2088211006865503,0.27166187344530146,0.1,0.37,0.8052999999999999,1.0558587002234692,0.0,0.831,0.6876792149177045,0.6902070996365298,0.8306737588652482,0.5,0.0,564,1000,92,26,51,cssc_97ae43962602,61,16,20
0,0,A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,cross_protein_histgb,mondrian_substitution,held_out_curated_sequence_structure_family,0.8,0.5086989781866539,0.2575984938076923,0.21665496199369397,0.20361588249819584,0.1,0.2,0.701615,0.6967266761628167,0.031178878181465104,0.793,0.68227512042885,0.6902070996365297,0.7962287104622872,0.5,0.0,548,1000,92,26,51,cssc_97ae43962602,61,16,20
0,0,BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST,cross_protein_histgb,mondrian_substitution,held_out_curated_sequence_structure_family,0.8,0.6576597336597337,0.2213260173786724,0.18059105618816176,0.41217694055248766,0.1,0.28,0.7809599999999999,0.9715424247528682,0.02424872343032905,0.884,0.6874799348758563,0.6902070996365297,0.8814330940709618,0.5470588235294118,0.3125,64,1000,92,26,51,cssc_563b32cd16bb,61,16,20
0,0,BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,cross_protein_histgb,mondrian_substitution,held_out_curated_sequence_structure_family,0.8,0.5039049298272513,0.26720686040165376,0.22382143268631213,0.14320484337600226,0.1,0.23595505617977527,0.7473803812649917,0.8550051934985966,0.015569005850770987,0.7966292134831461,0.6861160983432846,0.6902070996365297,0.758906363888949,0.2277777777777778,0.0,52,890,92,26,51,cssc_39e5faa59a41,61,16,20
0,0,C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,cross_protein_histgb,mondrian_substitution,held_out_curated_sequence_structure_family,0.8,0.5518408318408319,0.2548074065766365,0.21659090695286143,0.22087744752171157,0.1,0.31,0.7908799999999998,1.0059063299569915,0.013856413388759457,0.806,0.6875468384602533,0.6902070996365298,0.7977031802120141,0.0,0.0,566,1000,92,26,51,cssc_97ae43962602,61,16,20
0,0,CALM1_HUMAN_Weile_2017,CALM1_HUMAN,cross_protein_histgb,mondrian_substitution,held_out_curated_sequence_structure_family,0.8,0.20500928746939895,0.30404343411862944,0.24629859441947774,-0.10931005390128723,0.1,0.08,0.59612,0.3312375660331494,0.03464103388759147,0.73,0.6849869041874561,0.6901902107883522,0.730237948987949,0.5,0.0,148,1000,92,26,51,cssc_16d6e5408850,61,16,20
0,0,CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,cross_protein_histgb,mondrian_substitution,held_out_curated_sequence_structure_family,0.8,0.25969585969585973,0.29241492234785793,0.24235281757365754,-0.026078867819313345,0.1,0.16,0.5861799999999999,0.2968043747872272,0.08313848033255675,0.737,0.6822445900356195,0.6902070996365297,0.737,0.0,0.0,1000,1000,92,26,51,cssc_563b32cd16bb,61,16,20
0,0,CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE,cross_protein_histgb,mondrian_substitution,held_out_curated_sequence_structure_family,0.8,0.6150404148855362,0.22736378486668676,0.18485940518327465,0.3796678916410313,0.1,0.16,0.7294799999999999,0.7932103844395343,0.01732051673594932,0.863,0.6868471986310041,0.6902070996365297,0.8641305453805452,0.6428571428571429,0.14285714285714285,72,1000,92,26,51,cssc_16d6e5408850,61,16,20
0,0,CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,cross_protein_histgb,mondrian_substitution,held_out_curated_sequence_structure_family,0.8,0.7309013319429353,0.2071821445333658,0.16229490361981222,0.4849060952799281,0.1,0.358695652173913,0.8078564316533118,1.0645577719892718,0.022665891002780242,0.8953107960741549,0.6866300478043231,0.6902070996365297,0.8977309941520467,0.6842105263157895,0.15789473684210525,50,917,92,26,51,cssc_563b32cd16bb,61,16,20
0,0,CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,cross_protein_histgb,mondrian_substitution,held_out_curated_sequence_structure_family,0.8,0.4177928912536323,0.26003032875159393,0.21961076615782973,0.18516208764787756,0.1,0.24,0.594925,0.3277921902510486,0.0,0.812,0.6896252455717788,0.6902070996365298,0.8157694527694528,0.33076923076923076,0.0,100,1000,92,26,51,cssc_563b32cd16bb,61,16,20
