model,feature,standardized_coefficient
logistic,zero_score_train_spearman,-1.5110293680809055
logistic,train_rows,0.5745695178077876
logistic,train_positions,-0.4633630818937231
logistic,variants_per_position_cv,-0.4584599661003765
logistic,zero_score_std,-0.3933106511706379
logistic,coarse_selection_type_Stability,0.37716373502797396
logistic,relative_variability_site_means,0.29245722108540434
logistic,target_skew,-0.1686357925700643
logistic,fraction_highly_variable_sites,-0.1613319555073657
logistic,taxon_Eukaryote,-0.15749059675240695
logistic,coarse_selection_type_Expression,-0.15097094346211934
logistic,coarse_selection_type_Activity,-0.13916887898794766
logistic,coarse_selection_type_Binding,-0.13282844889398746
logistic,mean_within_site_sd_scaled,-0.12983625734566934
logistic,coarse_selection_type_OrganismalFitness,-0.1185589729048167
logistic,taxon_Human,0.08862326068653534
logistic,target_iqr,0.08838416104087757
logistic,log_protein_length,0.06562416955454006
logistic,taxon_Virus,0.06408847359414288
logistic,variants_per_position_mean,0.06183707108516709
logistic,mutation_density,0.06183707108516667
logistic,zero_score_train_top_recall,-0.03761220624319532
logistic,target_std,0.014407800102624052
logistic,taxon_Prokaryote,-0.008567945168133688
