uniprot_id,family_id,family_size,family_members,base_family_id,sequence_family_id,structure_added_relationship,assay_count,assayed_sequence_count
MBD11_ARATH,cssc_029b997580c1,1,MBD11_ARATH,ssf_029b997580c1,sf_029b997580c1,False,1,1
AMIE_PSEAE,cssc_0406336ba271,1,AMIE_PSEAE,ssf_0406336ba271,sf_0406336ba271,False,1,1
VILI_CHICK,cssc_0815efaffc38,1,VILI_CHICK,ssf_0815efaffc38,sf_0815efaffc38,False,1,1
DYR_ECOLI,cssc_0932cd92de6e,1,DYR_ECOLI,ssf_0932cd92de6e,sf_0932cd92de6e,False,2,1
MTHR_HUMAN,cssc_09853598f5f0,4,MTHR_HUMAN;P84126_THETH;TRPC_SACS2;TRPC_THEMA,ssf_095a60e097b5,sf_095a60e097b5,False,1,1
P84126_THETH,cssc_09853598f5f0,4,MTHR_HUMAN;P84126_THETH;TRPC_SACS2;TRPC_THEMA,ssf_415fc4c4433b,sf_415fc4c4433b,False,1,1
TRPC_SACS2,cssc_09853598f5f0,4,MTHR_HUMAN;P84126_THETH;TRPC_SACS2;TRPC_THEMA,ssf_415fc4c4433b,sf_415fc4c4433b,False,1,1
TRPC_THEMA,cssc_09853598f5f0,4,MTHR_HUMAN;P84126_THETH;TRPC_SACS2;TRPC_THEMA,ssf_415fc4c4433b,sf_415fc4c4433b,False,1,1
TAT_HV1BR,cssc_0d06a357cd85,1,TAT_HV1BR,ssf_0d06a357cd85,sf_0d06a357cd85,False,1,1
CAR11_HUMAN,cssc_0fc8efec29c6,1,CAR11_HUMAN,ssf_0fc8efec29c6,sf_0fc8efec29c6,False,2,1
NUSG_MYCTU,cssc_12ebdb52f01c,2,NUSG_MYCTU;RFAH_ECOLI,ssf_12ebdb52f01c,sf_8972dd1535ff,True,1,1
RFAH_ECOLI,cssc_12ebdb52f01c,2,NUSG_MYCTU;RFAH_ECOLI,ssf_12ebdb52f01c,sf_cc6a74504a45,True,1,1
CALM1_HUMAN,cssc_16d6e5408850,2,CALM1_HUMAN;CATR_CHLRE,ssf_90261541b92a,sf_90261541b92a,False,1,1
CATR_CHLRE,cssc_16d6e5408850,2,CALM1_HUMAN;CATR_CHLRE,ssf_61777c3573dc,sf_61777c3573dc,False,1,1
EPHB2_HUMAN,cssc_1a40a2a2ccdc,2,EPHB2_HUMAN;TNKS2_HUMAN,ssf_1a40a2a2ccdc,sf_77c475a042b9,True,1,1
