curated_group_id,protein_a,protein_b,protein_a_family_id,protein_b_family_id
CL0003,EPHB2_HUMAN,TNKS2_HUMAN,cssc_1a40a2a2ccdc,cssc_1a40a2a2ccdc
CL0010,BBC1_YEAST,CBX4_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,BBC1_YEAST,CCDB_ECOLI,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,BBC1_YEAST,DLG4_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,BBC1_YEAST,DLG4_RAT,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,BBC1_YEAST,DN7A_SACS2,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,BBC1_YEAST,DOCK1_MOUSE,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,BBC1_YEAST,GRB2_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,BBC1_YEAST,HECD1_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,BBC1_YEAST,MYO3_YEAST,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,BBC1_YEAST,PSAE_PICP2,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,BBC1_YEAST,SR43C_ARATH,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,BBC1_YEAST,SRBS1_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,BBC1_YEAST,SRC_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,CBX4_HUMAN,CCDB_ECOLI,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,CBX4_HUMAN,DLG4_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,CBX4_HUMAN,DLG4_RAT,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,CBX4_HUMAN,DN7A_SACS2,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,CBX4_HUMAN,DOCK1_MOUSE,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,CBX4_HUMAN,GRB2_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,CBX4_HUMAN,HECD1_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,CBX4_HUMAN,MYO3_YEAST,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,CBX4_HUMAN,PSAE_PICP2,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,CBX4_HUMAN,SR43C_ARATH,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,CBX4_HUMAN,SRBS1_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,CBX4_HUMAN,SRC_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,CCDB_ECOLI,DLG4_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,CCDB_ECOLI,DLG4_RAT,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,CCDB_ECOLI,DN7A_SACS2,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,CCDB_ECOLI,DOCK1_MOUSE,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,CCDB_ECOLI,GRB2_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,CCDB_ECOLI,HECD1_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,CCDB_ECOLI,MYO3_YEAST,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,CCDB_ECOLI,PSAE_PICP2,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,CCDB_ECOLI,SR43C_ARATH,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,CCDB_ECOLI,SRBS1_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,CCDB_ECOLI,SRC_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DLG4_HUMAN,DLG4_RAT,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DLG4_HUMAN,DN7A_SACS2,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DLG4_HUMAN,DOCK1_MOUSE,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DLG4_HUMAN,GRB2_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DLG4_HUMAN,HECD1_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DLG4_HUMAN,MYO3_YEAST,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DLG4_HUMAN,PSAE_PICP2,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DLG4_HUMAN,SR43C_ARATH,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DLG4_HUMAN,SRBS1_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DLG4_HUMAN,SRC_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DLG4_RAT,DN7A_SACS2,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DLG4_RAT,DOCK1_MOUSE,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DLG4_RAT,GRB2_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DLG4_RAT,HECD1_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DLG4_RAT,MYO3_YEAST,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DLG4_RAT,PSAE_PICP2,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DLG4_RAT,SR43C_ARATH,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DLG4_RAT,SRBS1_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DLG4_RAT,SRC_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DN7A_SACS2,DOCK1_MOUSE,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DN7A_SACS2,GRB2_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DN7A_SACS2,HECD1_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DN7A_SACS2,MYO3_YEAST,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DN7A_SACS2,PSAE_PICP2,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DN7A_SACS2,SR43C_ARATH,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DN7A_SACS2,SRBS1_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DN7A_SACS2,SRC_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DOCK1_MOUSE,GRB2_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DOCK1_MOUSE,HECD1_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DOCK1_MOUSE,MYO3_YEAST,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DOCK1_MOUSE,PSAE_PICP2,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DOCK1_MOUSE,SR43C_ARATH,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DOCK1_MOUSE,SRBS1_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,DOCK1_MOUSE,SRC_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
