assay_id,uniprot_id,uniprot_accession,target_sequence_sha256,target_length,assay_start,assay_end,assayed_residues,mapped_residues,mapping_coverage,canonical_start,canonical_end
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,,0c9ce63d8defdc8dbafd62943efde4f7af9e48815678019fda84f3b1dafcc0bf,3423,281,804,524,0,0.0,,
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,,589a3d75f09a5e1beeec23d1ed9eb52c3071477a0bb2299faba979098821ec0f,852,1,852,852,0,0.0,,
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,A0A1I9GEU1,1ee1a17e8cd3d6efc8c92229e6a027c48fb9e79636117d0b3c0f8db703c723af,161,1,161,161,161,1.0,1.0,161.0
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,A0A247D711,86740b51441fbb7aa34956797b166824f67ed01a306a214c4f2d6618e92a451e,87,1,87,87,87,1.0,1.0,87.0
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,,dd59e044f454224e885ae3cc5402958f0aa4956a721eb7cbf25a916b83bf2c7e,565,1,565,565,0,0.0,,
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,,dd59e044f454224e885ae3cc5402958f0aa4956a721eb7cbf25a916b83bf2c7e,565,1,565,565,0,0.0,,
A4D664_9INFA_Soh_2019,A4D664_9INFA,,40136fefba3e4d7f0518beb563d53d887d9d6f789a95f79b1aed68d23875b234,759,1,759,759,0,0.0,,
A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,,0b0b51df4e62cf50009b178f94925d0a9b67a07a5aab4aab4b2858a07e9e4524,266,1,266,266,0,0.0,,
A4_HUMAN_Seuma_2022,A4_HUMAN,P05067,0f79dd8c1ea278edbe797ca3ccb235de12e8d482492499a37a977a0692d3e49b,770,1,770,770,770,1.0,1.0,770.0
AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,P23181,ef675d9e8b4dd73f98b0e909e98d30847c9180371e1a038a0ec3ab16c3a26200,177,1,177,177,176,0.9943502824858758,1.0,177.0
ACE2_HUMAN_Chan_2020,ACE2_HUMAN,Q9BYF1,87630d0ccd9e8de7f77cb47c03fd56d745d66fbdceb8a2149b3518b04d71e1ea,805,1,805,805,805,1.0,1.0,805.0
ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,P07550,9abd88979dbbdef02b63e021dea98ae14cb976caa27c39878da46f99f3182fe5,413,1,413,413,413,1.0,1.0,413.0
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,Q9UKV5,ba8bd075361c9c8ffd9036a5afc650f92bfe2bc4f373e67d6c3c0927e49159d6,47,1,47,47,43,0.9148936170212766,456.0,498.0
AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE,P11436,a1d4b2277cb8338e73199e8cca2c82adcde44390a20f687d63ac9b83535d9a10,346,1,346,346,346,1.0,1.0,346.0
ANCSZ_Hobbs_2022,ANCSZ,,f5f3ced5cb23db1b5a2e54d7ee2bc87cb6e092f4df3472b987697b0c8fffdc3e,627,1,627,627,0,0.0,,
ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI,P0A6D0,66e4a5113d2b1fd7f4787a993a0d585f8168b60eb03b8cc6adfb96c3246268ef,69,1,69,69,69,1.0,7.0,75.0
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST,P47068,2525c4c880a947f46b4d75c90e17d85e653fcf632fc7dc9d0c64a75625d36e61,64,1,64,64,64,1.0,5.0,68.0
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,Q9F715,52217b8f546a530e571458023a304c953759d573a4fd0d88ea5fa2c5d02f2ef6,52,1,52,52,52,1.0,485.0,536.0
BLAT_ECOLX_Deng_2012,BLAT_ECOLX,P62593,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468,286,1,286,286,286,1.0,1.0,286.0
BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,P62593,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468,286,1,286,286,286,1.0,1.0,286.0
BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,P62593,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468,286,1,286,286,286,1.0,1.0,286.0
BLAT_ECOLX_Stiffler_2015,BLAT_ECOLX,P62593,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468,286,1,286,286,286,1.0,1.0,286.0
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,P38398,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,1863,1,1863,1863,1863,1.0,1.0,1863.0
C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,C6KNH7,3b98d980444bef3941477dad6f361a3b513d7ba1f3e882d09ed58ae03e1a7289,566,1,566,566,563,0.9946996466431095,1.0,566.0
CALM1_HUMAN_Weile_2017,CALM1_HUMAN,P0DP23,4a9f2f38a0afe61f9cd35d05788764536c1b394551a521687d0e537ad2760ff5,149,1,149,149,149,1.0,1.0,149.0
CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,P03135,3544f4fb2e91766d29fe30811a367b3c8c62676eda35e8e111c3f586d75fa82d,735,1,735,735,735,1.0,1.0,735.0
CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN,Q9BXL7,23f728c9d0c885671d837a1b3d5cbe24609c3cf38f54a65dc6eccf6291f5964f,1154,1,1154,1154,1154,1.0,1.0,1154.0
CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,Q9BXL7,23f728c9d0c885671d837a1b3d5cbe24609c3cf38f54a65dc6eccf6291f5964f,1154,1,1154,1154,1154,1.0,1.0,1154.0
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,Q99ZW2,0b7df5a184af9a6086e68775743c9f88f90fc81cf58931719cfa4b8e48d3f6ef,1368,1,1368,1368,1368,1.0,1.0,1368.0
CASP3_HUMAN_Roychowdhury_2020,CASP3_HUMAN,P42574,db97616a542053832f57e3a6f83b89c1b80a10c679889c6e23b20550d1cd50a1,258,1,258,258,249,0.9651162790697675,29.0,277.0
CASP7_HUMAN_Roychowdhury_2020,CASP7_HUMAN,P55210,213d8a15168ffdd0daf05c2809f9abb65a26baf3ef866577883b57e4897baad0,281,1,281,281,280,0.99644128113879,24.0,303.0
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE,P05434,4a857f87c1521ea1e2f09320d79dce72b4b3e73b0074a1d690cefae199ecaf09,72,1,72,72,72,1.0,21.0,92.0
