uniprot_id,family_id,family_size,family_members,base_family_id,sequence_family_id,structure_added_relationship,assay_count,assayed_sequence_count
MBD11_ARATH,cssf_029b997580c1,1,MBD11_ARATH,ssf_029b997580c1,sf_029b997580c1,False,1,1
AMIE_PSEAE,cssf_0406336ba271,1,AMIE_PSEAE,ssf_0406336ba271,sf_0406336ba271,False,1,1
DN7A_SACS2,cssf_0500559dbf7c,1,DN7A_SACS2,ssf_0500559dbf7c,sf_0500559dbf7c,False,1,1
VILI_CHICK,cssf_0815efaffc38,1,VILI_CHICK,ssf_0815efaffc38,sf_0815efaffc38,False,1,1
OXDA_RHOTO,cssf_08db490a0d52,1,OXDA_RHOTO,ssf_08db490a0d52,sf_08db490a0d52,False,2,1
DYR_ECOLI,cssf_0932cd92de6e,1,DYR_ECOLI,ssf_0932cd92de6e,sf_0932cd92de6e,False,2,1
MTHR_HUMAN,cssf_095a60e097b5,1,MTHR_HUMAN,ssf_095a60e097b5,sf_095a60e097b5,False,1,1
TAT_HV1BR,cssf_0d06a357cd85,1,TAT_HV1BR,ssf_0d06a357cd85,sf_0d06a357cd85,False,1,1
RAD_ANTMA,cssf_0eef6f01f081,1,RAD_ANTMA,ssf_0eef6f01f081,sf_0eef6f01f081,False,1,1
CAR11_HUMAN,cssf_0fc8efec29c6,1,CAR11_HUMAN,ssf_0fc8efec29c6,sf_0fc8efec29c6,False,2,1
NUSG_MYCTU,cssf_12ebdb52f01c,2,NUSG_MYCTU;RFAH_ECOLI,ssf_12ebdb52f01c,sf_8972dd1535ff,True,1,1
RFAH_ECOLI,cssf_12ebdb52f01c,2,NUSG_MYCTU;RFAH_ECOLI,ssf_12ebdb52f01c,sf_cc6a74504a45,True,1,1
CALM1_HUMAN,cssf_16d6e5408850,2,CALM1_HUMAN;CATR_CHLRE,ssf_90261541b92a,sf_90261541b92a,False,1,1
CATR_CHLRE,cssf_16d6e5408850,2,CALM1_HUMAN;CATR_CHLRE,ssf_61777c3573dc,sf_61777c3573dc,False,1,1
FKBP3_HUMAN,cssf_178ecc1910b6,1,FKBP3_HUMAN,ssf_178ecc1910b6,sf_178ecc1910b6,False,1,1
SUMO1_HUMAN,cssf_19622d9f3f73,1,SUMO1_HUMAN,ssf_19622d9f3f73,sf_19622d9f3f73,False,1,1
EPHB2_HUMAN,cssf_1a40a2a2ccdc,2,EPHB2_HUMAN;TNKS2_HUMAN,ssf_1a40a2a2ccdc,sf_77c475a042b9,True,1,1
TNKS2_HUMAN,cssf_1a40a2a2ccdc,2,EPHB2_HUMAN;TNKS2_HUMAN,ssf_1a40a2a2ccdc,sf_1ecb2ce4d2e3,True,1,1
