curated_group_id,protein_a,protein_b,protein_a_family_id,protein_b_family_id
PF00001,ADRB2_HUMAN,CCR5_HUMAN,cssf_516e14d168fd,cssf_516e14d168fd
PF00005,Q837P4_ENTFA,Q837P5_ENTFA,cssf_cdfaa4cd70ca,cssf_cdfaa4cd70ca
PF00017,GRB2_HUMAN,SRC_HUMAN,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,BBC1_YEAST,DLG4_HUMAN,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,BBC1_YEAST,DLG4_RAT,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,BBC1_YEAST,DOCK1_MOUSE,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,BBC1_YEAST,GRB2_HUMAN,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,BBC1_YEAST,MYO3_YEAST,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,BBC1_YEAST,SRBS1_HUMAN,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,BBC1_YEAST,SRC_HUMAN,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,DLG4_HUMAN,DLG4_RAT,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,DLG4_HUMAN,DOCK1_MOUSE,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,DLG4_HUMAN,GRB2_HUMAN,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,DLG4_HUMAN,MYO3_YEAST,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,DLG4_HUMAN,SRBS1_HUMAN,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,DLG4_HUMAN,SRC_HUMAN,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,DLG4_RAT,DOCK1_MOUSE,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,DLG4_RAT,GRB2_HUMAN,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,DLG4_RAT,MYO3_YEAST,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,DLG4_RAT,SRBS1_HUMAN,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,DLG4_RAT,SRC_HUMAN,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,DOCK1_MOUSE,GRB2_HUMAN,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,DOCK1_MOUSE,MYO3_YEAST,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,DOCK1_MOUSE,SRBS1_HUMAN,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,DOCK1_MOUSE,SRC_HUMAN,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,GRB2_HUMAN,MYO3_YEAST,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,GRB2_HUMAN,SRBS1_HUMAN,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,GRB2_HUMAN,SRC_HUMAN,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,MYO3_YEAST,SRBS1_HUMAN,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,MYO3_YEAST,SRC_HUMAN,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00018,SRBS1_HUMAN,SRC_HUMAN,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00035,ILF3_HUMAN,RNC_ECOLI,cssf_a0ac9f2c6c49,cssf_a0ac9f2c6c49
PF00046,NKX31_HUMAN,PITX2_HUMAN,cssf_3de478b56341,cssf_3de478b56341
PF00071,RASH_HUMAN,RASK_HUMAN,cssf_550503ae0437,cssf_550503ae0437
PF00076,PABP_YEAST,TADBP_HUMAN,cssf_99a238bc9e63,cssf_99a238bc9e63
PF00218,P84126_THETH,TRPC_SACS2,cssf_415fc4c4433b,cssf_415fc4c4433b
PF00218,P84126_THETH,TRPC_THEMA,cssf_415fc4c4433b,cssf_415fc4c4433b
PF00218,TRPC_SACS2,TRPC_THEMA,cssf_415fc4c4433b,cssf_415fc4c4433b
PF00240,PRKN_HUMAN,RL40A_YEAST,cssf_40b8ae05fc9a,cssf_40b8ae05fc9a
PF00385,CBX4_HUMAN,SR43C_ARATH,cssf_63a1a4e89751,cssf_63a1a4e89751
PF00397,PIN1_HUMAN,SAV1_MOUSE,cssf_6f0217bf6d08,cssf_6f0217bf6d08
PF00397,PIN1_HUMAN,TCRG1_MOUSE,cssf_6f0217bf6d08,cssf_6f0217bf6d08
PF00397,SAV1_MOUSE,TCRG1_MOUSE,cssf_6f0217bf6d08,cssf_6f0217bf6d08
PF00506,I6TAH8_I68A0,NCAP_I34A1,cssf_ac5654d2afd9,cssf_ac5654d2afd9
PF00595,DLG4_HUMAN,DLG4_RAT,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00625,DLG4_HUMAN,DLG4_RAT,cssf_784e4bfd3195,cssf_784e4bfd3195
PF00656,CASP3_HUMAN,CASP7_HUMAN,cssf_99e3b36fb3c0,cssf_99e3b36fb3c0
PF00658,PABP_YEAST,UBR5_HUMAN,cssf_99a238bc9e63,cssf_99a238bc9e63
PF00664,Q837P4_ENTFA,Q837P5_ENTFA,cssf_cdfaa4cd70ca,cssf_cdfaa4cd70ca
PF01353,D7PM05_CLYGR,GFP_AEQVI,cssf_cba7b508de0e,cssf_cba7b508de0e
PF01353,D7PM05_CLYGR,Q6WV12_9MAXI,cssf_cba7b508de0e,cssf_cba7b508de0e
PF01353,D7PM05_CLYGR,Q8WTC7_9CNID,cssf_cba7b508de0e,cssf_cba7b508de0e
PF01353,GFP_AEQVI,Q6WV12_9MAXI,cssf_cba7b508de0e,cssf_cba7b508de0e
PF01353,GFP_AEQVI,Q8WTC7_9CNID,cssf_cba7b508de0e,cssf_cba7b508de0e
PF01353,Q6WV12_9MAXI,Q8WTC7_9CNID,cssf_cba7b508de0e,cssf_cba7b508de0e
PF01378,SPG1_STRSG,SPG2_STRSG,cssf_b501bf9efe41,cssf_b501bf9efe41
PF02845,AMFR_HUMAN,CUE1_YEAST,cssf_265b55e38391,cssf_265b55e38391
PF04564,UBE4B_HUMAN,UBE4B_MOUSE,cssf_57451dbef5f4,cssf_57451dbef5f4
PF07714,MET_HUMAN,SRC_HUMAN,cssf_784e4bfd3195,cssf_784e4bfd3195
PF10600,DLG4_HUMAN,DLG4_RAT,cssf_784e4bfd3195,cssf_784e4bfd3195
PF10608,DLG4_HUMAN,DLG4_RAT,cssf_784e4bfd3195,cssf_784e4bfd3195
PF12349,HMDH_HUMAN,NPC1_HUMAN,cssf_5e5c54cd042b,cssf_5e5c54cd042b
PF13499,CALM1_HUMAN,CATR_CHLRE,cssf_16d6e5408850,cssf_16d6e5408850
