assay_id,uniprot_id,uniprot_accession,mapping_coverage,canonical_start,canonical_end,pfam_accession,pfam_name,clan_accession,clan_name,domain_start,domain_end,domain_score,overlap_residues,overlap_fraction_of_shorter,qualifies_curated_domain
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,A0A1I9GEU1,1.0,1.0,161.0,PF00114,Pilin (bacterial filament),CL0327,Pilus,29,155,3.2e-23,127,1.0,True
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,A0A1I9GEU1,1.0,1.0,161.0,PF07963,Prokaryotic N-terminal methylation motif,,,1,21,0.26,21,1.0,True
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,A0A247D711,1.0,1.0,87.0,PF24304,Anti-CRISPR Suppressor AcrIIA4,,,1,84,2.2e-14,84,1.0,True
A4_HUMAN_Seuma_2022,A4_HUMAN,P05067,1.0,1.0,770.0,PF00014,Kunitz/Bovine pancreatic trypsin inhibitor domain,CL0894,BPTI,290,341,1.6e-16,52,1.0,True
A4_HUMAN_Seuma_2022,A4_HUMAN,P05067,1.0,1.0,770.0,PF02177,Amyloid A4 N-terminal heparin-binding,,,31,131,9.2e-41,101,1.0,True
A4_HUMAN_Seuma_2022,A4_HUMAN,P05067,1.0,1.0,770.0,PF03494,Beta-amyloid peptide (beta-APP),,,676,713,7.9e-18,38,1.0,True
A4_HUMAN_Seuma_2022,A4_HUMAN,P05067,1.0,1.0,770.0,PF10515,Beta-amyloid precursor protein C-terminus,,,716,766,2.8e-22,51,1.0,True
A4_HUMAN_Seuma_2022,A4_HUMAN,P05067,1.0,1.0,770.0,PF12924,"Copper-binding of amyloid precursor, CuBD",,,132,188,1.1e-22,57,1.0,True
A4_HUMAN_Seuma_2022,A4_HUMAN,P05067,1.0,1.0,770.0,PF12925,E2 domain of amyloid precursor protein,,,367,548,2e-65,182,1.0,True
AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,P23181,0.9943502824858758,1.0,177.0,PF00583,Acetyltransferase (GNAT) family,CL0257,Acetyltrans,61,161,4.7e-13,101,1.0,True
ACE2_HUMAN_Chan_2020,ACE2_HUMAN,Q9BYF1,1.0,1.0,805.0,PF01401,Angiotensin-converting enzyme,CL0126,Peptidase_MA,21,606,0.0,586,1.0,True
ACE2_HUMAN_Chan_2020,ACE2_HUMAN,Q9BYF1,1.0,1.0,805.0,PF16959,Renal amino acid transporter,CL0960,HD_NOTCH-like,617,770,1.9e-69,154,1.0,True
ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,P07550,1.0,1.0,413.0,PF00001,7 transmembrane receptor (rhodopsin family),CL0192,GPCR_A,50,326,1.1e-66,277,1.0,True
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,Q9UKV5,0.9148936170212766,456.0,498.0,PF02845,CUE domain,CL0214,UBA,458,497,2e-06,40,1.0,True
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,Q9UKV5,0.9148936170212766,456.0,498.0,PF13639,Ring finger domain,CL0229,RING,339,379,7e-09,0,0.0,False
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,Q9UKV5,0.9148936170212766,456.0,498.0,PF18442,E3 gp78 Ube2g2-binding region (G2BR),,,574,600,6.1e-11,0,0.0,False
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,Q9UKV5,0.9148936170212766,456.0,498.0,PF25563,"E3 ubiquitin-protein ligase synoviolin-like, TPR repeats",CL0020,TPR,75,315,1.4e-24,0,0.0,False
AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE,P11436,1.0,1.0,346.0,PF00795,Carbon-nitrogen hydrolase,,,15,267,2.1e-53,253,1.0,True
ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI,P0A6D0,1.0,7.0,75.0,PF01316,"Arginine repressor, DNA binding domain",CL0123,HTH,6,74,2.6e-22,68,0.9855072463768116,True
ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI,P0A6D0,1.0,7.0,75.0,PF02863,"Arginine repressor, C-terminal domain",CL0738,Arg_repressor_C,82,148,3.8e-19,0,0.0,False
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST,P47068,1.0,5.0,68.0,PF00018,SH3 domain,CL0010,SH3,11,60,0.00081,50,1.0,True
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST,P47068,1.0,5.0,68.0,PF25459,AIM3/BBC1 Cysteine proteinase-fold domain,CL0125,Peptidase_CA,988,1157,6.4e-23,0,0.0,False
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,Q9F715,1.0,485.0,536.0,PF00148,Nitrogenase component 1 type Oxidoreductase,CL0043,Chelatase,12,424,7.9e-89,0,0.0,False
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,Q9F715,1.0,485.0,536.0,PF08369,Proto-chlorophyllide reductase 57 kD subunit,CL0671,AAA_lid,488,532,2.7e-14,45,1.0,True
BLAT_ECOLX_Deng_2012,BLAT_ECOLX,P62593,1.0,1.0,286.0,PF13354,Beta-lactamase enzyme family,CL0013,Beta-lactamase,32,286,2.9e-40,255,1.0,True
BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,P62593,1.0,1.0,286.0,PF13354,Beta-lactamase enzyme family,CL0013,Beta-lactamase,32,286,2.9e-40,255,1.0,True
BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,P62593,1.0,1.0,286.0,PF13354,Beta-lactamase enzyme family,CL0013,Beta-lactamase,32,286,2.9e-40,255,1.0,True
BLAT_ECOLX_Stiffler_2015,BLAT_ECOLX,P62593,1.0,1.0,286.0,PF13354,Beta-lactamase enzyme family,CL0013,Beta-lactamase,32,286,2.9e-40,255,1.0,True
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,P38398,1.0,1.0,1863.0,PF00097,"Zinc finger, C3HC4 type (RING finger)",CL0229,RING,24,64,1.6e-06,41,1.0,True
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,P38398,1.0,1.0,1863.0,PF00533,BRCA1 C Terminus (BRCT) domain,CL0459,BRCT-like,1645,1723,4.6e-07,79,1.0,True
