uniprot_accession,uniprot_id,canonical_length,canonical_sequence_sha256
A0A1I9GEU1,A0A1I9GEU1_NEIME,161,1ee1a17e8cd3d6efc8c92229e6a027c48fb9e79636117d0b3c0f8db703c723af
A0A247D711,A0A247D711_LISMN,87,86740b51441fbb7aa34956797b166824f67ed01a306a214c4f2d6618e92a451e
P05067,A4_HUMAN,770,0f79dd8c1ea278edbe797ca3ccb235de12e8d482492499a37a977a0692d3e49b
P23181,AACC1_PSEAI,177,155f1e9b1831f39dacdb162d8ec131d5e3da7534dc6b5302d58efe9925e80b73
Q9BYF1,ACE2_HUMAN,805,87630d0ccd9e8de7f77cb47c03fd56d745d66fbdceb8a2149b3518b04d71e1ea
P07550,ADRB2_HUMAN,413,9abd88979dbbdef02b63e021dea98ae14cb976caa27c39878da46f99f3182fe5
Q9UKV5,AMFR_HUMAN,643,aa75de0f227794926334937190f6e61a10fa1b6e21d2177305819def8c6fdf58
P11436,AMIE_PSEAE,346,a1d4b2277cb8338e73199e8cca2c82adcde44390a20f687d63ac9b83535d9a10
P0A6D0,ARGR_ECOLI,156,64ca57bb85f87ac221cccd3a2d330425f848df2d527f351adaf239ff82e798c6
P29374,ARI4A_HUMAN,1257,93cfe8189194eba375ff888c548971a9eb173c819f9e6988ddc12ef22668691a
P47068,BBC1_YEAST,1157,2e98a2f3fbeceb3cf5b28cf2a25eafde47d330a432e3a8d267a0f0130e0e776c
Q9F715,BCHB_CHLTE,537,f83c12068d71915aac2f6ec8326fb5baa45e1626be5143f610082a2a0f0e2f71
P62593,BLAT_ECOLX,286,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468
P38398,BRCA1_HUMAN,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1
C6KNH7,C6KNH7_9INFA,566,37e6d10e78612809b9de19af3f4d571b99f2a831fd90163adc085baaebad91bd
P0DP23,CALM1_HUMAN,149,4a9f2f38a0afe61f9cd35d05788764536c1b394551a521687d0e537ad2760ff5
P03135,CAPSD_AAV2S,735,3544f4fb2e91766d29fe30811a367b3c8c62676eda35e8e111c3f586d75fa82d
Q9BXL7,CAR11_HUMAN,1154,23f728c9d0c885671d837a1b3d5cbe24609c3cf38f54a65dc6eccf6291f5964f
Q99ZW2,CAS9_STRP1,1368,0b7df5a184af9a6086e68775743c9f88f90fc81cf58931719cfa4b8e48d3f6ef
P42574,CASP3_HUMAN,277,81962b47787bfaba76936dd091396e21617e3f444f9efac4085cd2ac133f56d2
P55210,CASP7_HUMAN,303,46ebb6eccca9a8211ae63f0d5f0ce96b03eddc4e5eb65417010464d85df17516
