model,calibration_method,split,retained_fraction,n_proteins,mean_normalized_mae
esm2_residue_ridge_probe,mondrian_substitution,contiguous_position,0.25,169,0.8383453167784378
esm2_residue_ridge_probe,mondrian_substitution,contiguous_position,0.5,169,0.8556026005726162
esm2_residue_ridge_probe,mondrian_substitution,contiguous_position,0.75,169,0.8634619899288662
esm2_residue_ridge_probe,mondrian_substitution,contiguous_position,1.0,169,0.8771339357743314
esm2_residue_ridge_probe,position_distance_scaled,contiguous_position,0.25,169,0.8576797400698427
esm2_residue_ridge_probe,position_distance_scaled,contiguous_position,0.5,169,0.8623412377534065
esm2_residue_ridge_probe,position_distance_scaled,contiguous_position,0.75,169,0.8687327883823067
esm2_residue_ridge_probe,position_distance_scaled,contiguous_position,1.0,169,0.8771339357743314
esm2_residue_ridge_probe,standard_split,contiguous_position,0.25,169,0.8749476485927057
esm2_residue_ridge_probe,standard_split,contiguous_position,0.5,169,0.8825779706714627
esm2_residue_ridge_probe,standard_split,contiguous_position,0.75,169,0.8736299722932986
esm2_residue_ridge_probe,standard_split,contiguous_position,1.0,169,0.8771339357743314
esm2_residue_ridge_probe,mondrian_substitution,modulo_position,0.25,169,0.7197734829704614
esm2_residue_ridge_probe,mondrian_substitution,modulo_position,0.5,169,0.727165632153853
esm2_residue_ridge_probe,mondrian_substitution,modulo_position,0.75,169,0.7334971612720751
esm2_residue_ridge_probe,mondrian_substitution,modulo_position,1.0,169,0.7475599046131062
esm2_residue_ridge_probe,position_distance_scaled,modulo_position,0.25,169,0.7478333322846272
esm2_residue_ridge_probe,position_distance_scaled,modulo_position,0.5,169,0.7458247096671418
esm2_residue_ridge_probe,position_distance_scaled,modulo_position,0.75,169,0.7444753460390726
esm2_residue_ridge_probe,position_distance_scaled,modulo_position,1.0,169,0.7475599046131062
esm2_residue_ridge_probe,standard_split,modulo_position,0.25,169,0.7501925010996363
esm2_residue_ridge_probe,standard_split,modulo_position,0.5,169,0.7476722703902827
esm2_residue_ridge_probe,standard_split,modulo_position,0.75,169,0.7450661553457889
esm2_residue_ridge_probe,standard_split,modulo_position,1.0,169,0.7475599046131062
esm2_residue_ridge_probe,mondrian_substitution,position_holdout,0.25,169,0.7195509818038673
esm2_residue_ridge_probe,mondrian_substitution,position_holdout,0.5,169,0.7369032136270965
esm2_residue_ridge_probe,mondrian_substitution,position_holdout,0.75,169,0.7454767499307231
esm2_residue_ridge_probe,mondrian_substitution,position_holdout,1.0,169,0.7594919130287162
esm2_residue_ridge_probe,position_distance_scaled,position_holdout,0.25,169,0.7560623644850207
esm2_residue_ridge_probe,position_distance_scaled,position_holdout,0.5,169,0.7627058446260474
esm2_residue_ridge_probe,position_distance_scaled,position_holdout,0.75,169,0.7574443732464585
esm2_residue_ridge_probe,position_distance_scaled,position_holdout,1.0,169,0.7594919130287162
esm2_residue_ridge_probe,standard_split,position_holdout,0.25,169,0.7590046430562628
esm2_residue_ridge_probe,standard_split,position_holdout,0.5,169,0.7620636736446147
esm2_residue_ridge_probe,standard_split,position_holdout,0.75,169,0.7582335593121717
esm2_residue_ridge_probe,standard_split,position_holdout,1.0,169,0.7594919130287162
esm2_residue_ridge_probe,mondrian_substitution,random_variant,0.25,169,0.4533406141340391
esm2_residue_ridge_probe,mondrian_substitution,random_variant,0.5,169,0.4757000269507346
esm2_residue_ridge_probe,mondrian_substitution,random_variant,0.75,169,0.484694849188131
esm2_residue_ridge_probe,mondrian_substitution,random_variant,1.0,169,0.5024534853249746
esm2_residue_ridge_probe,position_distance_scaled,random_variant,0.25,169,0.49083580356993955
esm2_residue_ridge_probe,position_distance_scaled,random_variant,0.5,169,0.5018107093547174
esm2_residue_ridge_probe,position_distance_scaled,random_variant,0.75,169,0.49897446415664315
esm2_residue_ridge_probe,position_distance_scaled,random_variant,1.0,169,0.5024534853249746
esm2_residue_ridge_probe,standard_split,random_variant,0.25,169,0.491409551933093
esm2_residue_ridge_probe,standard_split,random_variant,0.5,169,0.5028095248171625
esm2_residue_ridge_probe,standard_split,random_variant,0.75,169,0.4998971544365032
esm2_residue_ridge_probe,standard_split,random_variant,1.0,169,0.5024534853249746
