assay_id,uniprot_id,taxon,coarse_selection_type,seed,fold,split,model,calibration_method,nominal_coverage,spearman,rmse,mae,r2,top_fraction,top_recall,selected_target_mean,selection_gain_sd,best_variant_regret_sd,observed_coverage,mean_interval_width,median_interval_width,position_coverage_mean,position_coverage_p10,position_coverage_min,covered_positions,normalized_mean_interval_width,fit_rows,calibration_rows,test_rows,excluded_rows,exact_variant_overlap,shared_position_count
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,42,0,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.8,-0.02755675334629121,0.42537359622727167,0.29901843922726135,-0.8839695498615212,0.1,0.0625,0.06155771554718963,-0.17091657330781757,11.172534662901251,0.5471599791558103,0.5324521099292249,0.5452887479185428,0.5471599791558103,0.0,0.0,101,1.0962262209603342,6125,1532,1919,0,0,0
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,43,1,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.8,0.21379185513016477,0.49333148844280583,0.2539284225849169,-0.09072821486401139,0.1,0.171875,0.2747722248947992,0.20449235876639843,11.295147241399206,0.6420010422094841,0.49308334186459,0.47722812007653626,0.6420010422094841,0.15789473684210525,0.0,101,1.0976536417660177,6125,1532,1919,0,0,0
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,44,2,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.8,0.03547187386059279,0.4367480629508222,0.26309436723163443,-0.4130802989814919,0.1,0.08333333333333333,0.15060497689859664,-0.03501117779350736,3.743353395728608,0.5752996352266806,0.46401263351339006,0.438410642867499,0.5752996352266806,0.05263157894736842,0.0,101,0.9897632915181706,6125,1532,1919,0,0,0
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,45,3,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.8,0.18934689756569636,0.6998189472637334,0.31205864392399074,-0.11775429336547116,0.1,0.16666666666666666,0.39356126178768597,0.19933240662831697,0.0,0.6169880145909328,0.42795962725177517,0.42478491112880223,0.6169880145909328,0.15789473684210525,0.0,101,1.146133812522359,6125,1532,1919,0,0,0
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,46,4,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.8,0.12277361558096946,0.48489506428581236,0.36118040199745804,-0.8692770275775024,0.1,0.20526315789473684,0.3325062064499987,0.4411841105218553,0.0,0.4268421052631579,0.5060143428033715,0.46512784012779085,0.42684210526315786,0.0,0.0,100,1.1066836051543443,6140,1536,1900,0,0,0
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,42,0,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.8,0.30937943361434284,2.121269879961704,1.698233130929472,-0.24009978298399415,0.1,0.1422924901185771,-1.1074752447075098,0.5316812974183605,0.0,0.6278701504354711,3.8292845539684075,3.9573686089982907,0.6277096249395417,0.15789473684210525,0.0,133,1.7873037768850142,8040,2011,2526,0,0,0
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,43,1,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.8,0.3965418288402449,1.8321083154460285,1.4752832773076847,0.08953061931433948,0.1,0.20553359683794467,-1.1508640132332015,0.6562312180696109,0.36568245182039744,0.70399683419074,3.8384215048748582,3.7953670972656246,0.7039968341907401,0.3263157894736842,0.0,133,1.7823710124100682,8040,2010,2527,0,0,0
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,44,2,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.8,0.18348325139919797,2.3113696249358826,1.8360403035491257,-0.394384132272273,0.1,0.10358565737051793,-1.3887694994701194,0.3699876435397464,0.11706008416544293,0.5781499202551834,3.7063691858255,3.685510727145874,0.5781499202551834,0.05789473684210533,0.0,132,1.7410353605912887,8055,2014,2508,0,0,0
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,45,3,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.8,-0.002638211532445936,2.8865169532016273,2.234088784604135,-0.8521503336678118,0.1,0.10756972111553785,-4.259022438609561,-0.3623420674405473,0.1923474935269564,0.5115629984051037,3.7057231384568268,3.6562233958847656,0.5115629984051037,0.0,0.0,132,1.8080068964233256,8055,2014,2508,0,0,0
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,46,4,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.8,0.24499076167581332,2.590072830219152,2.1272068104832513,-0.2761976049971284,0.1,0.16334661354581673,-1.9409260115896414,0.41675883893032845,0.04718873139165102,0.4784688995215311,3.625461285796823,3.6201098335620117,0.47846889952153115,0.05263157894736842,0.0,132,1.76160986396735,8055,2014,2508,0,0,0
