assay_id,uniprot_id,sequence_sha256,sequence_length,model,embedding_dimension,embedding_path,embedding_bytes,embedding_sha256,device
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,0c9ce63d8defdc8dbafd62943efde4f7af9e48815678019fda84f3b1dafcc0bf,3423,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-0c9ce63d8defdc8dbafd.npz,4055456,9a6b12d2b36347c3ba8912816f9f3c72140312edfe87a153a62410be13798b87,mps
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,589a3d75f09a5e1beeec23d1ed9eb52c3071477a0bb2299faba979098821ec0f,852,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-589a3d75f09a5e1beeec.npz,1010020,7fed24c2e333cdd9c4a2e24d5f95ee9bfefacf29abb022c96d0a94c8dba55818,mps
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,1ee1a17e8cd3d6efc8c92229e6a027c48fb9e79636117d0b3c0f8db703c723af,161,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-1ee1a17e8cd3d6efc8c9.npz,191792,fdbc88d4ba2691904cf7aa16994267886a29f090956f1dc8454019ad829ba98a,mps
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,86740b51441fbb7aa34956797b166824f67ed01a306a214c4f2d6618e92a451e,87,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-86740b51441fbb7aa349.npz,103927,1504d405e21176e4af6bc432f00c249b252ebe668e42a5e7b9ae6213dba43573,mps
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,dd59e044f454224e885ae3cc5402958f0aa4956a721eb7cbf25a916b83bf2c7e,565,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-dd59e044f454224e885a.npz,670027,fb59059fbb824adf208c8e45d83cabfceafa7f9a72b1dc6938ee96e509047876,mps
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,dd59e044f454224e885ae3cc5402958f0aa4956a721eb7cbf25a916b83bf2c7e,565,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-dd59e044f454224e885a.npz,670027,fb59059fbb824adf208c8e45d83cabfceafa7f9a72b1dc6938ee96e509047876,mps
A4D664_9INFA_Soh_2019,A4D664_9INFA,40136fefba3e4d7f0518beb563d53d887d9d6f789a95f79b1aed68d23875b234,759,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-40136fefba3e4d7f0518.npz,899744,e36fe83e8ab227b0ba1241ac4ff96ece933dca2418a13a4739ddcb5e22571541,mps
A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,0b0b51df4e62cf50009b178f94925d0a9b67a07a5aab4aab4b2858a07e9e4524,266,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-0b0b51df4e62cf50009b.npz,316720,6de3c61d793c2c7aa6c0ad8dddc54b7feaa031fee2639c1644a2ff9465027032,mps
A4_HUMAN_Seuma_2022,A4_HUMAN,0f79dd8c1ea278edbe797ca3ccb235de12e8d482492499a37a977a0692d3e49b,770,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-0f79dd8c1ea278edbe79.npz,913343,ef2916f61351d72c37f51057eedce6c6cd13d500265cf3d19a618f1ef5df2d86,mps
AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,ef675d9e8b4dd73f98b0e909e98d30847c9180371e1a038a0ec3ab16c3a26200,177,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-ef675d9e8b4dd73f98b0.npz,210933,142f7f12c3e144345f2f42f80b80770af7ed9d0c809943e61df2c941bd90929e,mps
ACE2_HUMAN_Chan_2020,ACE2_HUMAN,87630d0ccd9e8de7f77cb47c03fd56d745d66fbdceb8a2149b3518b04d71e1ea,805,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-87630d0ccd9e8de7f77c.npz,954857,90a2f9b79a50ab8793b55dac2436f47d2b33c42f56c999279d29c5b00bcc56f8,mps
ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,9abd88979dbbdef02b63e021dea98ae14cb976caa27c39878da46f99f3182fe5,413,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-9abd88979dbbdef02b63.npz,491603,3b83a02173dd5c5cca944fafc8aaa0574108326d244915ed01f19d79c2329221,mps
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,ba8bd075361c9c8ffd9036a5afc650f92bfe2bc4f373e67d6c3c0927e49159d6,47,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-ba8bd075361c9c8ffd90.npz,56487,ed9ba3e91ecfce6d78504f121fd9adccedab001f9a9792451c9e86c1fed1f5cc,mps
AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE,a1d4b2277cb8338e73199e8cca2c82adcde44390a20f687d63ac9b83535d9a10,346,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-a1d4b2277cb8338e7319.npz,411618,44388c63ec10c3bac0a0ed1c5ffb48aed8b57ab9021323486f210498dc648f61,mps
ANCSZ_Hobbs_2022,ANCSZ,f5f3ced5cb23db1b5a2e54d7ee2bc87cb6e092f4df3472b987697b0c8fffdc3e,627,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-f5f3ced5cb23db1b5a2e.npz,745071,c43cb3bed9bedeb8a053bc31e6c36c438273414f265a9501d691c3d7e66794a7,mps
ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI,66e4a5113d2b1fd7f4787a993a0d585f8168b60eb03b8cc6adfb96c3246268ef,69,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-66e4a5113d2b1fd7f478.npz,82656,d3fac4c2931999668ad25024ac384ca46e54c5be8fd2b24943359a959409e034,mps
