model,calibration_method,repeat,n_proteins,mean_spearman,mean_top_recall,mean_selection_gain_sd,mean_observed_coverage,mean_position_coverage_mean,mean_mean_interval_width
cross_protein_histgb,mondrian_substitution,0,169,0.5315847484368733,0.21194486436684748,0.7147405114191502,0.7945730846610457,0.7917375989598545,0.645472338772263
cross_protein_histgb,mondrian_substitution,1,169,0.5308074550002858,0.21094699722305388,0.7143048443757127,0.7973853116772226,0.7943032684461063,0.6444888001994632
cross_protein_histgb,mondrian_substitution,2,169,0.5356352260635986,0.21374664209438168,0.7240023225622503,0.8102402682210325,0.8073797080142451,0.6630207829518148
cross_protein_histgb,mondrian_substitution,3,169,0.5347489821362339,0.21572270232177526,0.72528414589797,0.798083287641125,0.7954068932836732,0.651222470859214
cross_protein_histgb,mondrian_substitution,4,169,0.5330490350473343,0.21311410116067386,0.7126252137550005,0.80339208967474,0.8004610728258729,0.6553904224046602
cross_protein_histgb,standard_split,0,169,0.5315847484368733,0.21194486436684748,0.7147405114191502,0.7953471225999318,0.7924832822468937,0.6464660341016876
cross_protein_histgb,standard_split,1,169,0.5308074550002858,0.21094699722305388,0.7143048443757127,0.7982231162402068,0.7951767347926408,0.6451665900045866
cross_protein_histgb,standard_split,2,169,0.5356352260635986,0.21374664209438168,0.7240023225622503,0.8100504687872093,0.8070153097741514,0.6630307209555292
cross_protein_histgb,standard_split,3,169,0.5347489821362339,0.21572270232177526,0.72528414589797,0.7991201008784431,0.7962489571036363,0.6518540922418185
cross_protein_histgb,standard_split,4,169,0.5330490350473343,0.21311410116067386,0.7126252137550005,0.8042756978776436,0.801200906224316,0.6556584276698028
cross_protein_histgb_mutation_only,mondrian_substitution,0,169,0.3577829029725639,0.16046918343517375,0.5252071759749508,0.7982316131361582,0.7949280741898279,0.710123049475148
cross_protein_histgb_mutation_only,mondrian_substitution,1,169,0.36253365172735413,0.16343349939018673,0.5397408715189991,0.7973462741491711,0.7940529346404129,0.7076584777545353
cross_protein_histgb_mutation_only,mondrian_substitution,2,169,0.35920902541256805,0.1597601158385943,0.534296351899183,0.8007887235613997,0.7976602849653389,0.7123235478290767
cross_protein_histgb_mutation_only,mondrian_substitution,3,169,0.3582596824088903,0.15996923705096622,0.5371153913703154,0.8048894249532142,0.8017788597918,0.7177622350079482
cross_protein_histgb_mutation_only,mondrian_substitution,4,169,0.36015604593045536,0.15797372165398404,0.5360855155436866,0.7966454312245452,0.7933880804365425,0.7083084389166433
cross_protein_histgb_mutation_only,standard_split,0,169,0.3577829029725639,0.16046918343517375,0.5252071759749508,0.798064496989687,0.7948289106926475,0.7103525775205202
cross_protein_histgb_mutation_only,standard_split,1,169,0.36253365172735413,0.16343349939018673,0.5397408715189991,0.797657212914465,0.7942299927367816,0.7087206827237593
cross_protein_histgb_mutation_only,standard_split,2,169,0.35920902541256805,0.1597601158385943,0.534296351899183,0.8012833844445711,0.7982221116442569,0.7133421963543665
cross_protein_histgb_mutation_only,standard_split,3,169,0.3582596824088903,0.15996923705096622,0.5371153913703154,0.8044561193455632,0.8014020746816553,0.7183443688934427
cross_protein_histgb_mutation_only,standard_split,4,169,0.36015604593045536,0.15797372165398404,0.5360855155436866,0.7971672707288988,0.7938308327473991,0.7089514385651621
cross_protein_ridge,mondrian_substitution,0,169,0.5130614006225057,0.21195647612425927,0.6874687343556867,0.7951766001597544,0.7914046038979781,0.6632179120979059
cross_protein_ridge,mondrian_substitution,1,169,0.5125520491780423,0.20844196095172463,0.6746977203691854,0.7935533163045047,0.7899689470516638,0.6624477638473093
cross_protein_ridge,mondrian_substitution,2,169,0.5120549906885136,0.20727701586840433,0.6716687584219386,0.8054072589053003,0.8018559222856402,0.6751559477130028
