model,calibration_method,metric,n_proteins,n_families,full_feature_mean,mutation_only_mean,full_minus_mutation_only,delta_ci_low,delta_ci_high,bootstrap_unit,bootstrap_repeats
cross_protein_histgb,mondrian_substitution,selection_gain_sd,169,132,0.7181914076020167,0.5344890612614269,0.1837023463405898,0.14780607024054662,0.21761542761241345,curated_family_id,10000
cross_protein_histgb,mondrian_substitution,spearman,169,132,0.5331650893368651,0.35958826169036634,0.1735768276464988,0.15056195263375868,0.19486147131215387,curated_family_id,10000
cross_protein_histgb,mondrian_substitution,top_recall,169,132,0.21309506143334642,0.160321151473781,0.05277390995956541,0.04209178918444104,0.06330345301235828,curated_family_id,10000
cross_protein_histgb,standard_split,selection_gain_sd,169,132,0.7181914076020167,0.5344890612614269,0.1837023463405898,0.14731305153006913,0.21736181597212123,curated_family_id,10000
cross_protein_histgb,standard_split,spearman,169,132,0.5331650893368651,0.35958826169036634,0.1735768276464988,0.15080221487594528,0.1953488049165177,curated_family_id,10000
cross_protein_histgb,standard_split,top_recall,169,132,0.21309506143334642,0.160321151473781,0.05277390995956541,0.04183623475296153,0.06340403683260236,curated_family_id,10000
cross_protein_ridge,mondrian_substitution,selection_gain_sd,169,132,0.6777914593542707,0.43733498639070845,0.2404564729635622,0.1923357020783922,0.28568105568947033,curated_family_id,10000
cross_protein_ridge,mondrian_substitution,spearman,169,132,0.5126318100822226,0.3175832303329677,0.19504857974925488,0.16915124036210413,0.2195286358003869,curated_family_id,10000
cross_protein_ridge,mondrian_substitution,top_recall,169,132,0.2092684692927782,0.1425633416923862,0.06670512760039202,0.053524678244975636,0.07990361170606484,curated_family_id,10000
cross_protein_ridge,standard_split,selection_gain_sd,169,132,0.6777914593542707,0.43733498639070845,0.2404564729635622,0.1928277321199314,0.2845964017794047,curated_family_id,10000
cross_protein_ridge,standard_split,spearman,169,132,0.5126318100822226,0.3175832303329677,0.19504857974925488,0.16915705165828296,0.21938170429914003,curated_family_id,10000
cross_protein_ridge,standard_split,top_recall,169,132,0.2092684692927782,0.1425633416923862,0.06670512760039202,0.053334442714046436,0.08003659634388662,curated_family_id,10000
