model,calibration_method,repeat,n_proteins,mean_spearman,mean_top_recall,mean_selection_gain_sd,mean_observed_coverage,mean_position_coverage_mean,mean_mean_interval_width
cross_protein_histgb,mondrian_substitution,0,169,0.5315847484368733,0.21194486436684748,0.7147405114191502,0.7945730846610457,0.7917375989598545,0.645472338772263
cross_protein_histgb,mondrian_substitution,1,169,0.5308074550002858,0.21094699722305388,0.7143048443757127,0.7973853116772226,0.7943032684461063,0.6444888001994632
cross_protein_histgb,mondrian_substitution,2,169,0.5356352260635986,0.21374664209438168,0.7240023225622503,0.8102402682210325,0.8073797080142451,0.6630207829518148
cross_protein_histgb,mondrian_substitution,3,169,0.5347489821362339,0.21572270232177526,0.72528414589797,0.798083287641125,0.7954068932836732,0.651222470859214
cross_protein_histgb,mondrian_substitution,4,169,0.5330490350473343,0.21311410116067386,0.7126252137550005,0.80339208967474,0.8004610728258729,0.6553904224046602
cross_protein_histgb,standard_split,0,169,0.5315847484368733,0.21194486436684748,0.7147405114191502,0.7953471225999318,0.7924832822468937,0.6464660341016876
cross_protein_histgb,standard_split,1,169,0.5308074550002858,0.21094699722305388,0.7143048443757127,0.7982231162402068,0.7951767347926408,0.6451665900045866
cross_protein_histgb,standard_split,2,169,0.5356352260635986,0.21374664209438168,0.7240023225622503,0.8100504687872093,0.8070153097741514,0.6630307209555292
cross_protein_histgb,standard_split,3,169,0.5347489821362339,0.21572270232177526,0.72528414589797,0.7991201008784431,0.7962489571036363,0.6518540922418185
cross_protein_histgb,standard_split,4,169,0.5330490350473343,0.21311410116067386,0.7126252137550005,0.8042756978776436,0.801200906224316,0.6556584276698028
cross_protein_ridge,mondrian_substitution,0,169,0.5130614006225057,0.21195647612425927,0.6874687343556867,0.7951766001597544,0.7914046038979781,0.6632179120979059
cross_protein_ridge,mondrian_substitution,1,169,0.5125520491780423,0.20844196095172463,0.6746977203691854,0.7935533163045047,0.7899689470516638,0.6624477638473093
cross_protein_ridge,mondrian_substitution,2,169,0.5120549906885136,0.20727701586840433,0.6716687584219386,0.8054072589053003,0.8018559222856402,0.6751559477130028
cross_protein_ridge,mondrian_substitution,3,169,0.5122467958370551,0.21002986587500352,0.6771173967143649,0.799978643493304,0.796578189565857,0.6683059730333254
cross_protein_ridge,mondrian_substitution,4,169,0.5132438140849961,0.2086370276444993,0.6780046869101777,0.8021356602114069,0.7988711736110141,0.6725961920240962
cross_protein_ridge,standard_split,0,169,0.5130614006225057,0.21195647612425927,0.6874687343556867,0.7947908901527467,0.7908123975935454,0.6632198691904192
cross_protein_ridge,standard_split,1,169,0.5125520491780423,0.20844196095172463,0.6746977203691854,0.7942710322912303,0.7904146901858399,0.6631822097823464
cross_protein_ridge,standard_split,2,169,0.5120549906885136,0.20727701586840433,0.6716687584219386,0.8056146520897098,0.8018086602772935,0.6756634905860269
cross_protein_ridge,standard_split,3,169,0.5122467958370551,0.21002986587500352,0.6771173967143649,0.8011466118538982,0.7974504079668104,0.669396252602034
cross_protein_ridge,standard_split,4,169,0.5132438140849961,0.2086370276444993,0.6780046869101777,0.8032043496838647,0.7995019398691147,0.672836030338344
