model,calibration_method,metric,n_proteins,n_bootstrap_groups,heldout_protein_mean,heldout_protein_ci_low,heldout_protein_ci_high,heldout_curated_family_mean,heldout_curated_family_ci_low,heldout_curated_family_ci_high,heldout_curated_family_minus_heldout_protein,delta_ci_low,delta_ci_high,bootstrap_unit,bootstrap_repeats
cross_protein_histgb,mondrian_substitution,observed_coverage,169,132,0.8070056368928261,0.7929231568235867,0.8205722277346543,0.8007348083750332,0.785728718546548,0.8150029833261694,-0.006270828517792926,-0.010248904904346878,-0.0024811442741143647,heldout_curated_family:family_id,10000
cross_protein_histgb,mondrian_substitution,position_coverage_mean,169,132,0.8044187220028685,0.7894106959347247,0.8184780195697566,0.7978577083059504,0.78150695874486,0.8128300453271929,-0.006561013696918083,-0.010736252495943028,-0.002647775812065272,heldout_curated_family:family_id,10000
cross_protein_histgb,mondrian_substitution,selection_gain_sd,169,132,0.7233933001709661,0.675896075471622,0.7687177651270097,0.7181914076020167,0.6680002438332214,0.7661000123391043,-0.005201892568949429,-0.015072487991292838,0.0033062704266548634,heldout_curated_family:family_id,10000
cross_protein_histgb,mondrian_substitution,spearman,169,132,0.5389074282529117,0.5086147629940192,0.5680495972603109,0.5331650893368651,0.5011124021435571,0.5640658441243183,-0.005742338916046585,-0.011476273084014206,-0.0010865801930847437,heldout_curated_family:family_id,10000
cross_protein_histgb,mondrian_substitution,top_recall,169,132,0.21407090274206705,0.2003615906569306,0.22794684683931019,0.21309506143334642,0.1989008804364317,0.22768809704773094,-0.0009758413087206375,-0.003918385283373426,0.0018451735954430123,heldout_curated_family:family_id,10000
cross_protein_histgb,standard_split,observed_coverage,169,132,0.8073842931470855,0.7933725131652365,0.8204131072931947,0.8014033012766869,0.7861523523990778,0.8151961493693379,-0.005980991870398578,-0.010097362113623855,-0.0020835039775650827,heldout_curated_family:family_id,10000
cross_protein_histgb,standard_split,position_coverage_mean,169,132,0.80465940831167,0.7898050235111626,0.8182890908140621,0.7984250380283276,0.7819447605579283,0.812873309208584,-0.006234370283342394,-0.010651927631542057,-0.00214384847833119,heldout_curated_family:family_id,10000
cross_protein_histgb,standard_split,selection_gain_sd,169,132,0.7233933001709661,0.6754202430571781,0.7689215696034166,0.7181914076020167,0.6675852674714762,0.7661099162199208,-0.005201892568949429,-0.014913949265105622,0.0031309614285048885,heldout_curated_family:family_id,10000
cross_protein_histgb,standard_split,spearman,169,132,0.5389074282529117,0.5083855887034631,0.5675301376832459,0.5331650893368651,0.5004316337824968,0.5633545416979405,-0.005742338916046585,-0.011570781829848211,-0.0010580470652849742,heldout_curated_family:family_id,10000
cross_protein_histgb,standard_split,top_recall,169,132,0.21407090274206705,0.19990009253691568,0.2281213714190471,0.21309506143334642,0.19841272346885225,0.22771665539881414,-0.0009758413087206375,-0.00391384611718813,0.0018649511878211754,heldout_curated_family:family_id,10000
cross_protein_ridge,mondrian_substitution,observed_coverage,169,132,0.8042807704998791,0.7918855364023922,0.8159272023242418,0.7992502958148541,0.7865625348465783,0.8111647020592203,-0.005030474685025044,-0.00633697718727764,-0.0036729382889645417,heldout_curated_family:family_id,10000
cross_protein_ridge,mondrian_substitution,position_coverage_mean,169,132,0.8007844355917325,0.7872951275470925,0.8130303344294918,0.7957357672824308,0.781868822667337,0.8083965124415595,-0.005048668309301729,-0.006403274956828006,-0.003636248767178674,heldout_curated_family:family_id,10000
cross_protein_ridge,mondrian_substitution,selection_gain_sd,169,132,0.6803800753630525,0.6252429704966893,0.7326507662442516,0.6777914593542707,0.6212037531785813,0.7308013544950318,-0.0025886160087817967,-0.006531477361972282,0.0010975628194940502,heldout_curated_family:family_id,10000
cross_protein_ridge,mondrian_substitution,spearman,169,132,0.5146238173434031,0.48172498342596975,0.545075893186735,0.5126318100822226,0.4794464630417238,0.5433934491556355,-0.0019920072611805395,-0.0036971157129597394,-0.000644104061274012,heldout_curated_family:family_id,10000
cross_protein_ridge,mondrian_substitution,top_recall,169,132,0.2094257330761931,0.19484893100464704,0.22394002598247686,0.2092684692927782,0.1948387910570061,0.2237313353550527,-0.0001572637834149071,-0.0015461751777288042,0.001312178938138577,heldout_curated_family:family_id,10000
cross_protein_ridge,standard_split,observed_coverage,169,132,0.8042908603077794,0.7917274856429312,0.8157645001778188,0.79980550721429,0.7869569729940713,0.811465551588622,-0.004485353093489408,-0.0058524213877581555,-0.003101836449107848,heldout_curated_family:family_id,10000
cross_protein_ridge,standard_split,position_coverage_mean,169,132,0.8004956166875512,0.7868029839885776,0.8127457129980388,0.7959976191785209,0.7820182360452679,0.8084335074692492,-0.004497997509030349,-0.0059289956847251,-0.003070420468072005,heldout_curated_family:family_id,10000
cross_protein_ridge,standard_split,selection_gain_sd,169,132,0.6803800753630525,0.6251736729784244,0.7318131349764271,0.6777914593542707,0.6215709680353227,0.7300481277866195,-0.0025886160087817967,-0.006427844244952732,0.0010311322397369514,heldout_curated_family:family_id,10000
cross_protein_ridge,standard_split,spearman,169,132,0.5146238173434031,0.4819208378629892,0.5448130656246186,0.5126318100822226,0.479397577745934,0.5429340237765313,-0.0019920072611805395,-0.0036957866922837563,-0.0006501232771003849,heldout_curated_family:family_id,10000
cross_protein_ridge,standard_split,top_recall,169,132,0.2094257330761931,0.19462892362415132,0.22425995234522128,0.2092684692927782,0.19457113908210538,0.22402488217623226,-0.0001572637834149071,-0.00156290990340293,0.0012734365778991892,heldout_curated_family:family_id,10000
