model,calibration_method,metric,n_proteins,n_bootstrap_groups,heldout_structure_family_mean,heldout_structure_family_ci_low,heldout_structure_family_ci_high,heldout_curated_family_mean,heldout_curated_family_ci_low,heldout_curated_family_ci_high,heldout_curated_family_minus_heldout_structure_family,delta_ci_low,delta_ci_high,bootstrap_unit,bootstrap_repeats
cross_protein_histgb,mondrian_substitution,observed_coverage,169,132,0.8061649834867041,0.7911022749386898,0.8201713885892641,0.8007348083750332,0.785728718546548,0.8150029833261694,-0.005430175111670876,-0.007390397441150146,-0.003517899799853831,heldout_curated_family:family_id,10000
cross_protein_histgb,mondrian_substitution,position_coverage_mean,169,132,0.8033565959264407,0.7868770419095972,0.8180742860584524,0.7978577083059504,0.78150695874486,0.8128300453271929,-0.005498887620490334,-0.007478741891285651,-0.0035486808503949335,heldout_curated_family:family_id,10000
cross_protein_histgb,mondrian_substitution,selection_gain_sd,169,132,0.7191190502243278,0.6689739973932132,0.7669848526048253,0.7181914076020167,0.6680002438332214,0.7661000123391043,-0.0009276426223110423,-0.007339933799053169,0.004912627871580093,heldout_curated_family:family_id,10000
cross_protein_histgb,mondrian_substitution,spearman,169,132,0.5324856845689108,0.4998552950671508,0.5640425740872572,0.5331650893368651,0.5011124021435571,0.5640658441243183,0.0006794047679543613,-0.0015380321508814687,0.0028882680903799247,heldout_curated_family:family_id,10000
cross_protein_histgb,mondrian_substitution,top_recall,169,132,0.2150557867283108,0.201074835480138,0.22955798676408998,0.21309506143334642,0.1989008804364317,0.22768809704773094,-0.0019607252949643827,-0.004516559323976624,0.0003921726952489846,heldout_curated_family:family_id,10000
cross_protein_histgb,standard_split,observed_coverage,169,132,0.8059253803988303,0.7907714379188581,0.8195119765085654,0.8014033012766869,0.7861523523990778,0.8151961493693379,-0.004522079122143419,-0.006408735881349078,-0.0026313402284676964,heldout_curated_family:family_id,10000
cross_protein_histgb,standard_split,position_coverage_mean,169,132,0.8030364327841379,0.7865809132723494,0.8174279877619467,0.7984250380283276,0.7819447605579283,0.812873309208584,-0.004611394755810294,-0.006511549861100463,-0.0026790742041207655,heldout_curated_family:family_id,10000
cross_protein_histgb,standard_split,selection_gain_sd,169,132,0.7191190502243278,0.6683088518888014,0.7664492392039893,0.7181914076020167,0.6675852674714762,0.7661099162199208,-0.0009276426223110423,-0.007229257709004696,0.005008545354323294,heldout_curated_family:family_id,10000
cross_protein_histgb,standard_split,spearman,169,132,0.5324856845689108,0.49927887139934,0.5631010971982937,0.5331650893368651,0.5004316337824968,0.5633545416979405,0.0006794047679543613,-0.0014699296382844063,0.002937321663776165,heldout_curated_family:family_id,10000
cross_protein_histgb,standard_split,top_recall,169,132,0.2150557867283108,0.2006733323920633,0.22941071846837263,0.21309506143334642,0.19841272346885225,0.22771665539881414,-0.0019607252949643827,-0.0045076999843908306,0.0004374053861119498,heldout_curated_family:family_id,10000
cross_protein_ridge,mondrian_substitution,observed_coverage,169,132,0.8036484890280964,0.7909142404399037,0.8155169382627775,0.7992502958148541,0.7865625348465783,0.8111647020592203,-0.004398193213242307,-0.00573384896087725,-0.0030187694548833386,heldout_curated_family:family_id,10000
cross_protein_ridge,mondrian_substitution,position_coverage_mean,169,132,0.7999763148090066,0.7860262184518862,0.8125411888169376,0.7957357672824308,0.781868822667337,0.8083965124415595,-0.004240547526575766,-0.0056238231692792625,-0.00281080269255371,heldout_curated_family:family_id,10000
cross_protein_ridge,mondrian_substitution,selection_gain_sd,169,132,0.6782908509890985,0.6234735514606302,0.7301913078090037,0.6777914593542707,0.6212037531785813,0.7308013544950318,-0.0004993916348278171,-0.00428651962084198,0.0030946180726394044,heldout_curated_family:family_id,10000
cross_protein_ridge,mondrian_substitution,spearman,169,132,0.5123889222118564,0.4790239892165742,0.5432593185983854,0.5126318100822226,0.4794464630417238,0.5433934491556355,0.00024288787036619297,-0.0007739228467234626,0.0013861590871224875,heldout_curated_family:family_id,10000
cross_protein_ridge,mondrian_substitution,top_recall,169,132,0.20956237164163685,0.1950318703387038,0.22409362210383182,0.2092684692927782,0.1948387910570061,0.2237313353550527,-0.00029390234885864897,-0.0017057092655355863,0.0011477614298498616,heldout_curated_family:family_id,10000
cross_protein_ridge,standard_split,observed_coverage,169,132,0.8037139662073298,0.7908315237365834,0.8154342055323271,0.79980550721429,0.7869569729940713,0.811465551588622,-0.003908458993039821,-0.005265880475713566,-0.002516017483955252,heldout_curated_family:family_id,10000
cross_protein_ridge,standard_split,position_coverage_mean,169,132,0.7998589442319863,0.7858393460695184,0.812424580999247,0.7959976191785209,0.7820182360452679,0.8084335074692492,-0.003861325053465481,-0.005247006553813318,-0.0024385552477933364,heldout_curated_family:family_id,10000
cross_protein_ridge,standard_split,selection_gain_sd,169,132,0.6782908509890985,0.6231718330514476,0.7293303965549003,0.6777914593542707,0.6215709680353227,0.7300481277866195,-0.0004993916348278171,-0.00430337159156152,0.003095357808796865,heldout_curated_family:family_id,10000
cross_protein_ridge,standard_split,spearman,169,132,0.5123889222118564,0.4793052011790592,0.5428668051361026,0.5126318100822226,0.479397577745934,0.5429340237765313,0.00024288787036619297,-0.0007810271266918911,0.0013673191828656279,heldout_curated_family:family_id,10000
cross_protein_ridge,standard_split,top_recall,169,132,0.20956237164163685,0.19496812350734655,0.2244349486577814,0.2092684692927782,0.19457113908210538,0.22402488217623226,-0.00029390234885864897,-0.0016669113675879296,0.0011144096473042016,heldout_curated_family:family_id,10000
