model,calibration_method,metric,n_proteins,n_bootstrap_groups,heldout_protein_mean,heldout_protein_ci_low,heldout_protein_ci_high,heldout_family_mean,heldout_family_ci_low,heldout_family_ci_high,heldout_family_minus_heldout_protein,delta_ci_low,delta_ci_high,bootstrap_unit,bootstrap_repeats
cross_protein_histgb,mondrian_substitution,observed_coverage,169,156,0.8070056368928261,0.7955150566128822,0.818468355827329,0.8019198434925946,0.7889988435697646,0.8147941079655352,-0.00508579340023152,-0.008726781511507058,-0.0018391582529655307,heldout_family:family_id,10000
cross_protein_histgb,mondrian_substitution,position_coverage_mean,169,156,0.8044187220028685,0.7921722861956071,0.8164688591967366,0.7991805494645237,0.7851290459959276,0.8128521375130453,-0.005238172538344799,-0.009006765619775666,-0.0018636040121219372,heldout_family:family_id,10000
cross_protein_histgb,mondrian_substitution,selection_gain_sd,169,156,0.7233933001709661,0.6805310882797928,0.7666170292107859,0.716492934815244,0.6722649566027852,0.7614044144153934,-0.006900365355722138,-0.017395334655592763,0.0020202015308636604,heldout_family:family_id,10000
cross_protein_histgb,mondrian_substitution,spearman,169,156,0.5389074282529117,0.5120792147616579,0.5649794544409199,0.5329353082479609,0.504268419268187,0.5607169728260324,-0.005972120004950843,-0.012143460079674243,-0.0011643554745088991,heldout_family:family_id,10000
cross_protein_histgb,mondrian_substitution,top_recall,169,156,0.21407090274206705,0.19980659343046436,0.22854288639155332,0.2139470658043115,0.19956014384627893,0.22849092209504204,-0.00012383693775555593,-0.002520479188204151,0.0022033858713827767,heldout_family:family_id,10000
cross_protein_histgb,standard_split,observed_coverage,169,156,0.8073842931470855,0.7957456536118245,0.818975831855089,0.8021567315993575,0.788972326438882,0.8150459119850239,-0.005227561547727966,-0.009013793003544527,-0.001971230106215927,heldout_family:family_id,10000
cross_protein_histgb,standard_split,position_coverage_mean,169,156,0.80465940831167,0.792459487864918,0.8168175136135932,0.79926663018649,0.7850978549503331,0.8127068168204566,-0.00539277812518002,-0.009342693024458285,-0.0020208613455973638,heldout_family:family_id,10000
cross_protein_histgb,standard_split,selection_gain_sd,169,156,0.7233933001709661,0.6794190048611141,0.7661206338629766,0.716492934815244,0.6710318763083164,0.761761293748443,-0.006900365355722138,-0.01770455115726876,0.0020137031986940303,heldout_family:family_id,10000
cross_protein_histgb,standard_split,spearman,169,156,0.5389074282529117,0.5115660697330894,0.5657239146921008,0.5329353082479609,0.5033815166119147,0.5615351139895233,-0.005972120004950843,-0.012428157886971738,-0.0011132497295827202,heldout_family:family_id,10000
cross_protein_histgb,standard_split,top_recall,169,156,0.21407090274206705,0.19940793484444178,0.2287988349806129,0.2139470658043115,0.1993333407698371,0.22862168994928114,-0.00012383693775555593,-0.002480841333861873,0.0021650980150234958,heldout_family:family_id,10000
cross_protein_ridge,mondrian_substitution,observed_coverage,169,156,0.8042807704998791,0.7936356490264711,0.814995588004959,0.8004719068737749,0.7895412567059896,0.8116152948914115,-0.0038088636261042197,-0.0051466463458130825,-0.0025324906104327864,heldout_family:family_id,10000
cross_protein_ridge,mondrian_substitution,position_coverage_mean,169,156,0.8007844355917325,0.7893548810982509,0.8120238663280874,0.796907030812181,0.7851293135976113,0.8086010891015489,-0.003877404779551563,-0.00527924595805421,-0.0025688844849208027,heldout_family:family_id,10000
cross_protein_ridge,mondrian_substitution,selection_gain_sd,169,156,0.6803800753630525,0.63198512426183,0.7270787605226814,0.6783292954999542,0.6297148805216413,0.7250077940155736,-0.0020507798630982066,-0.005931809358086712,0.001594294251559347,heldout_family:family_id,10000
cross_protein_ridge,mondrian_substitution,spearman,169,156,0.5146238173434031,0.4868458822141036,0.5415775881542683,0.5125515658072364,0.48454444468533514,0.5396776935459704,-0.002072251536166747,-0.0038367167553416486,-0.000681555924122174,heldout_family:family_id,10000
cross_protein_ridge,mondrian_substitution,top_recall,169,156,0.2094257330761931,0.19484736005664505,0.22400916444437174,0.2105773138848151,0.19589667357008067,0.22517889890177256,0.001151580808621988,-9.291081118378283e-05,0.0023895674917397297,heldout_family:family_id,10000
cross_protein_ridge,standard_split,observed_coverage,169,156,0.8042908603077794,0.7931511075874276,0.8155082720338478,0.8005204914753716,0.7890494228486304,0.8119415849317021,-0.0037703688324077778,-0.005102781990096142,-0.002505735833190893,heldout_family:family_id,10000
cross_protein_ridge,standard_split,position_coverage_mean,169,156,0.8004956166875512,0.7884609495598115,0.8123093386550172,0.7966982829058927,0.7844283361091852,0.8088314432264021,-0.003797333781658474,-0.005151783408628474,-0.0025107333827260186,heldout_family:family_id,10000
cross_protein_ridge,standard_split,selection_gain_sd,169,156,0.6803800753630525,0.6321350412283893,0.7281211049644636,0.6783292954999542,0.6302290531137076,0.7262274834026864,-0.0020507798630982066,-0.00590372280772535,0.001672045495286159,heldout_family:family_id,10000
cross_protein_ridge,standard_split,spearman,169,156,0.5146238173434031,0.48678148130075377,0.5420428872047969,0.5125515658072364,0.48440595449461765,0.5403395905052176,-0.002072251536166747,-0.003848274329768672,-0.0006749004152114492,heldout_family:family_id,10000
cross_protein_ridge,standard_split,top_recall,169,156,0.2094257330761931,0.1953567602501402,0.22433474055948704,0.2105773138848151,0.1963521613835135,0.22550638247798588,0.001151580808621988,-9.785597364524859e-05,0.002398160148738547,heldout_family:family_id,10000
