model,calibration_method,repeat,n_proteins,mean_spearman,mean_top_recall,mean_selection_gain_sd,mean_observed_coverage,mean_position_coverage_mean,mean_mean_interval_width
cross_protein_histgb,mondrian_substitution,0,169,0.533975250863515,0.21433381684075856,0.7129567904017534,0.8027598644394512,0.8001142262423178,0.652141783639048
cross_protein_histgb,mondrian_substitution,1,169,0.5315159179091057,0.21379215743004398,0.7139137105539544,0.8013113268164733,0.7985513443534098,0.6566730480389844
cross_protein_histgb,mondrian_substitution,2,169,0.5344350111252322,0.21444839440689567,0.7213281695704249,0.7935255360009111,0.7903827496776478,0.6418691120893053
cross_protein_histgb,mondrian_substitution,3,169,0.5344633210182874,0.21434043559195276,0.7227678521759588,0.8016010572363786,0.7989219048676645,0.6520698710529506
cross_protein_histgb,mondrian_substitution,4,169,0.5302870403236645,0.2128205247519067,0.7114981513741288,0.8104014329697589,0.8079325221815783,0.6647958632614858
cross_protein_histgb,standard_split,0,169,0.533975250863515,0.21433381684075856,0.7129567904017534,0.8028087852712155,0.8000040764420315,0.6519073383352968
cross_protein_histgb,standard_split,1,169,0.5315159179091057,0.21379215743004398,0.7139137105539544,0.8024465402785463,0.7995867728718211,0.6571652170915686
cross_protein_histgb,standard_split,2,169,0.5344350111252322,0.21444839440689567,0.7213281695704249,0.7935686459201413,0.7903619123788106,0.6413365153915473
cross_protein_histgb,standard_split,3,169,0.5344633210182874,0.21434043559195276,0.7227678521759588,0.8015720986112201,0.7986680829380038,0.6514997276279685
cross_protein_histgb,standard_split,4,169,0.5302870403236645,0.2128205247519067,0.7114981513741288,0.8103875879156645,0.8077123063017836,0.6634732447346137
cross_protein_ridge,mondrian_substitution,0,169,0.5141847557059731,0.21006561232850884,0.680687469773353,0.8000678207081514,0.7962705719562444,0.6677971971707495
cross_protein_ridge,mondrian_substitution,1,169,0.5126403808834711,0.21130076310351678,0.6771668246966033,0.8016452204774661,0.7980290803831536,0.671107717108702
cross_protein_ridge,mondrian_substitution,2,169,0.5122560999623469,0.2081128615157936,0.6795424985559908,0.7935102612082495,0.7900126111131265,0.6606194276290287
cross_protein_ridge,mondrian_substitution,3,169,0.5112912232410175,0.21219829819940772,0.67753947230383,0.7987304429721422,0.7952530073142071,0.667566971718975
cross_protein_ridge,mondrian_substitution,4,169,0.5123853692433736,0.21120903427684853,0.6767102121699939,0.8084057890028655,0.8049698832941738,0.6784124256701216
cross_protein_ridge,standard_split,0,169,0.5141847557059731,0.21006561232850884,0.680687469773353,0.8000524356554265,0.7961428955782548,0.6674114396868372
cross_protein_ridge,standard_split,1,169,0.5126403808834711,0.21130076310351678,0.6771668246966033,0.8018765331926682,0.7980028932501791,0.6709490025283317
cross_protein_ridge,standard_split,2,169,0.5122560999623469,0.2081128615157936,0.6795424985559908,0.7927281978463225,0.7890506112363851,0.6598149073624302
cross_protein_ridge,standard_split,3,169,0.5112912232410175,0.21219829819940772,0.67753947230383,0.7992109930542711,0.7953058502710483,0.6670021903678354
cross_protein_ridge,standard_split,4,169,0.5123853692433736,0.21120903427684853,0.6767102121699939,0.8087342976281704,0.8049891641935962,0.6781492299638557
