model,calibration_method,retained_fraction,n_proteins,mean_normalized_mae
cross_protein_histgb,mondrian_substitution,0.25,169,0.6924167576459309
cross_protein_histgb,mondrian_substitution,0.5,169,0.7031917981050876
cross_protein_histgb,mondrian_substitution,0.75,169,0.7075352199884137
cross_protein_histgb,mondrian_substitution,1.0,169,0.7103889965826632
cross_protein_histgb,standard_split,0.25,169,0.711817060214912
cross_protein_histgb,standard_split,0.5,169,0.7087937809202315
cross_protein_histgb,standard_split,0.75,169,0.7098758347491476
cross_protein_histgb,standard_split,1.0,169,0.7103889965826632
cross_protein_ridge,mondrian_substitution,0.25,169,0.7173360165115079
cross_protein_ridge,mondrian_substitution,0.5,169,0.7288054931896989
cross_protein_ridge,mondrian_substitution,0.75,169,0.7343951202504528
cross_protein_ridge,mondrian_substitution,1.0,169,0.7378776480797717
cross_protein_ridge,standard_split,0.25,169,0.7385392297178301
cross_protein_ridge,standard_split,0.5,169,0.7368186030999815
cross_protein_ridge,standard_split,0.75,169,0.7364060692684087
cross_protein_ridge,standard_split,1.0,169,0.7378776480797717
