model,calibration_method,repeat,n_proteins,mean_spearman,mean_top_recall,mean_selection_gain_sd,mean_observed_coverage,mean_position_coverage_mean,mean_mean_interval_width
cross_protein_histgb,mondrian_substitution,0,169,0.5362676122680579,0.2116152062724576,0.7180931920011786,0.8076084071602817,0.8048057622999697,0.6565449226952815
cross_protein_histgb,mondrian_substitution,1,169,0.5392660702263259,0.2113239178266251,0.7203762816413677,0.8148557193519913,0.8126380410610818,0.6653189137337006
cross_protein_histgb,mondrian_substitution,2,169,0.5394285714739089,0.2149827424334344,0.7303448745007316,0.8026938261951874,0.7999809909461978,0.6485272577788522
cross_protein_histgb,mondrian_substitution,3,169,0.5408639003665588,0.2153155689078684,0.7239366427514966,0.810542472870635,0.808179654726457,0.6594152759691415
cross_protein_histgb,mondrian_substitution,4,169,0.5387109869297075,0.21711707826994953,0.7242155099600567,0.7993277588860354,0.796489160980636,0.6439435468313812
cross_protein_histgb,standard_split,0,169,0.5362676122680579,0.2116152062724576,0.7180931920011786,0.807433020911485,0.8045111918923312,0.6557067122817415
cross_protein_histgb,standard_split,1,169,0.5392660702263259,0.2113239178266251,0.7203762816413677,0.8151895775043884,0.8128257717430839,0.6651516717037838
cross_protein_histgb,standard_split,2,169,0.5394285714739089,0.2149827424334344,0.7303448745007316,0.8034943676634086,0.8007517013336934,0.6484416885319898
cross_protein_histgb,standard_split,3,169,0.5408639003665588,0.2153155689078684,0.7239366427514966,0.8112849644557808,0.8086137589325567,0.6595558379255886
cross_protein_histgb,standard_split,4,169,0.5387109869297075,0.21711707826994953,0.7242155099600567,0.7995195352003652,0.796594617656685,0.6438800594433961
cross_protein_ridge,mondrian_substitution,0,169,0.5153409895556419,0.2091881818846664,0.6799273590278775,0.8026792569720814,0.7990929587315471,0.6709530630301757
cross_protein_ridge,mondrian_substitution,1,169,0.514027497446115,0.21171274880895954,0.6776382262169623,0.8117204663203583,0.8084997788267193,0.6825091430892556
cross_protein_ridge,mondrian_substitution,2,169,0.5121594996376058,0.20618115307082288,0.67462361605231,0.799984957104861,0.7962786231061878,0.6681061883345947
cross_protein_ridge,mondrian_substitution,3,169,0.5163103499061081,0.20906730636610327,0.6836320060194943,0.8082431885513007,0.8049161053787,0.6792384790909789
cross_protein_ridge,mondrian_substitution,4,169,0.5152807501715448,0.21097927525041346,0.686079169498618,0.7987759835507943,0.7951347119155083,0.6660157427867942
cross_protein_ridge,standard_split,0,169,0.5153409895556419,0.2091881818846664,0.6799273590278775,0.8028553023364535,0.7989344584565705,0.670321368836747
cross_protein_ridge,standard_split,1,169,0.514027497446115,0.21171274880895954,0.6776382262169623,0.8114014179878999,0.8077653347009398,0.6814273038958547
cross_protein_ridge,standard_split,2,169,0.5121594996376058,0.20618115307082288,0.67462361605231,0.8000616514934245,0.7961157534351878,0.6677431622655347
cross_protein_ridge,standard_split,3,169,0.5163103499061081,0.20906730636610327,0.6836320060194943,0.8079260049665861,0.8043079062843017,0.6790034995888959
cross_protein_ridge,standard_split,4,169,0.5152807501715448,0.21097927525041346,0.686079169498618,0.7992099247545335,0.7953546305607561,0.6655568533225878
