fold,repeat,assay_id,uniprot_id,model,calibration_method,retained_fraction,retained_rows,mae,normalized_mae,uncertainty_threshold
0,0,BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST,cross_protein_histgb,mondrian_substitution,0.25,250,0.17919249801192041,0.6207413321544061,0.31794762747571403
0,0,BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.2153555022670924,0.7460137162391886,0.31794762747571403
0,0,CASP3_HUMAN_Roychowdhury_2020,CASP3_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.19777652635652215,0.6851183269472122,0.31771614113352836
0,0,CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,cross_protein_histgb,mondrian_substitution,0.25,250,0.18304596584444457,0.6354359339239524,0.31771614113352836
0,0,CCR5_HUMAN_Gill_2023,CCR5_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.22517826530096852,0.7800468833201241,0.31771614113352836
0,0,DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,cross_protein_histgb,mondrian_substitution,0.25,250,0.14758004378843867,0.5112325236659567,0.31771614113352836
0,0,ENV_HV1BR_Haddox_2016,ENV_HV1BR,cross_protein_histgb,mondrian_substitution,0.25,250,0.226720277444058,0.7853824719697754,0.31771614113352836
0,0,ESTA_BACSU_Nutschel_2020,ESTA_BACSU,cross_protein_histgb,mondrian_substitution,0.25,250,0.2417287658016546,0.8373756801088262,0.31794762747571403
0,0,GDIA_HUMAN_Silverstein_2021,GDIA_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.2018712421641603,0.6993042722658399,0.3195204607812566
0,0,I6TAH8_I68A0_Doud_2015,I6TAH8_I68A0,cross_protein_histgb,mondrian_substitution,0.25,250,0.2522981610118648,0.8739869040510474,0.31771614113352836
0,0,MLAC_ECOLI_MacRae_2023,MLAC_ECOLI,cross_protein_histgb,mondrian_substitution,0.25,250,0.2283767530746756,0.7911206747463362,0.31771614113352836
0,0,OBSCN_HUMAN_Tsuboyama_2023_1V1C,OBSCN_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.14202456749088604,0.4919877796283707,0.31771614113352836
0,0,ODP2_GEOSE_Tsuboyama_2023_1W4G,ODP2_GEOSE,cross_protein_histgb,mondrian_substitution,0.25,168,0.15890014927281063,0.5504468786825382,0.31794762747571403
0,0,OTU7A_HUMAN_Tsuboyama_2023_2L2D,OTU7A_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,159,0.14871418627663668,0.5151616916769653,0.31794762747571403
0,0,OXDA_RHOTO_Vanella_2023_activity,OXDA_RHOTO,cross_protein_histgb,mondrian_substitution,0.25,250,0.215983840045929,0.7481903499757422,0.31771614113352836
0,0,OXDA_RHOTO_Vanella_2023_expression,OXDA_RHOTO,cross_protein_histgb,mondrian_substitution,0.25,250,0.22515615049672577,0.7799641745760919,0.31771614113352836
0,0,PA_I34A1_Wu_2015,PA_I34A1,cross_protein_histgb,mondrian_substitution,0.25,250,0.24517634638924982,0.8493162021787811,0.3207201685881439
0,0,Q2N0S5_9HIV1_Haddox_2018,Q2N0S5_9HIV1,cross_protein_histgb,mondrian_substitution,0.25,250,0.2126904156172776,0.7367815806550141,0.31794762747571403
0,0,Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,Q53Z42_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.2352370726319607,0.8148876282130717,0.31771614113352836
0,0,Q53Z42_HUMAN_McShan_2019_expression,Q53Z42_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.20644249412055224,0.7151391582511193,0.31771614113352836
0,0,Q59976_STRSQ_Romero_2015,Q59976_STRSQ,cross_protein_histgb,mondrian_substitution,0.25,250,0.18898111219937208,0.6546507160794772,0.31771614113352836
0,0,R1AB_SARS2_Flynn_2022,R1AB_SARS2,cross_protein_histgb,mondrian_substitution,0.25,250,0.22497507393539823,0.7793369066538995,0.31771614113352836
0,0,RD23A_HUMAN_Tsuboyama_2023_1IFY,RD23A_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,200,0.1459068796746192,0.505436654394891,0.31771614113352836
0,0,REV_HV1H2_Fernandes_2016,REV_HV1H2,cross_protein_histgb,mondrian_substitution,0.25,250,0.22910384658401156,0.7936394018057469,0.31794762747571403
0,0,RFAH_ECOLI_Tsuboyama_2023_2LCL,RFAH_ECOLI,cross_protein_histgb,mondrian_substitution,0.25,243,0.17362199240346943,0.6014445445796917,0.31771614113352836
0,0,RPC1_BP434_Tsuboyama_2023_1R69,RPC1_BP434,cross_protein_histgb,mondrian_substitution,0.25,250,0.11540724028648258,0.3997826073663489,0.31771614113352836
0,0,SHOC2_HUMAN_Kwon_2022,SHOC2_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.2129657438203612,0.7377353460048918,0.31771614113352836
0,0,SPG2_STRSG_Tsuboyama_2023_5UBS,SPG2_STRSG,cross_protein_histgb,mondrian_substitution,0.25,250,0.187706998615607,0.6502364421952869,0.31771614113352836
0,0,SPIKE_SARS2_Starr_2020_binding,SPIKE_SARS2,cross_protein_histgb,mondrian_substitution,0.25,250,0.2581528748732293,0.8943607045002014,0.31771614113352836
0,0,SPIKE_SARS2_Starr_2020_expression,SPIKE_SARS2,cross_protein_histgb,mondrian_substitution,0.25,250,0.2529663675405594,0.8763139624732909,0.31771614113352836
0,0,SPTN1_CHICK_Tsuboyama_2023_1TUD,SPTN1_CHICK,cross_protein_histgb,mondrian_substitution,0.25,250,0.16585708625161152,0.574546087639365,0.31794762747571403
0,0,SR43C_ARATH_Tsuboyama_2023_2N88,SR43C_ARATH,cross_protein_histgb,mondrian_substitution,0.25,223,0.13333313973015623,0.46187983690099166,0.31771614113352836
0,0,SRBS1_HUMAN_Tsuboyama_2023_2O2W,SRBS1_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.151210671572008,0.5238093935234197,0.31794762747571403
0,0,TNKS2_HUMAN_Tsuboyama_2023_5JRT,TNKS2_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.1470790073132236,0.5094968815351,0.31771614113352836
0,0,UBE4B_MOUSE_Starita_2013,UBE4B_MOUSE,cross_protein_histgb,mondrian_substitution,0.25,225,0.22854033671465074,0.7916878413914791,0.31771614113352836
0,0,VILI_CHICK_Tsuboyama_2023_1YU5,VILI_CHICK,cross_protein_histgb,mondrian_substitution,0.25,250,0.15362052863011627,0.5321573874246617,0.31771614113352836
0,0,YNZC_BACSU_Tsuboyama_2023_2JVD,YNZC_BACSU,cross_protein_histgb,mondrian_substitution,0.25,179,0.16520432637596544,0.5722851351153753,0.31771614113352836
1,0,A4D664_9INFA_Soh_2019,A4D664_9INFA,cross_protein_histgb,mondrian_substitution,0.25,250,0.22610213892419215,0.7832411762540811,0.3285347842258016
1,0,A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,cross_protein_histgb,mondrian_substitution,0.25,250,0.17940004457876785,0.62146029491132,0.3285347842258016
1,0,ACE2_HUMAN_Chan_2020,ACE2_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.23635258840827028,0.8187497926220767,0.3285347842258016
1,0,ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.18261544569633673,0.6325987766852484,0.3285347842258016
1,0,CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,cross_protein_histgb,mondrian_substitution,0.25,250,0.23989819779821664,0.8310321499776177,0.3285347842258016
1,0,DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,cross_protein_histgb,mondrian_substitution,0.25,250,0.21301577198773866,0.7379086487469578,0.3285347842258016
1,0,DYR_ECOLI_Nguyen_2023,DYR_ECOLI,cross_protein_histgb,mondrian_substitution,0.25,250,0.20683129280415063,0.7173592163904513,0.3285347842258016
1,0,DYR_ECOLI_Thompson_2019,DYR_ECOLI,cross_protein_histgb,mondrian_substitution,0.25,250,0.19238412836615418,0.6664385030193987,0.3285347842258016
1,0,EPHB2_HUMAN_Tsuboyama_2023_1F0M,EPHB2_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.1283205061848416,0.444515494988007,0.3285347842258016
1,0,GRB2_HUMAN_Faure_2021,GRB2_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.1955712097210548,0.6774788822086762,0.3285347842258016
1,0,HCP_LAMBD_Tsuboyama_2023_2L6Q,HCP_LAMBD,cross_protein_histgb,mondrian_substitution,0.25,250,0.1434430813954254,0.4969016583931208,0.3285347842258016
1,0,HMDH_HUMAN_Jiang_2019,HMDH_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.21729335715615242,0.7527267700468011,0.3285347842258016
1,0,HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST,cross_protein_histgb,mondrian_substitution,0.25,250,0.2603665952136655,0.9019367939760864,0.3285347842258016
1,0,HSP82_YEAST_Flynn_2019,HSP82_YEAST,cross_protein_histgb,mondrian_substitution,0.25,250,0.25032700815296594,0.8671586294361914,0.3285347842258016
