model,calibration_method,repeat,n_proteins,mean_spearman,mean_top_recall,mean_selection_gain_sd,mean_observed_coverage,mean_position_coverage_mean,mean_mean_interval_width
cross_protein_histgb,mondrian_substitution,0,169,0.535113607159446,0.2149456346444854,0.7242878620882546,0.8092183274593323,0.8063002285343465,0.6613260405621105
cross_protein_histgb,mondrian_substitution,1,169,0.5317170425649936,0.21435567634526667,0.7164202482511571,0.8055399890102001,0.8027681364336303,0.6581540502327119
cross_protein_histgb,mondrian_substitution,2,169,0.5289869875784022,0.21609216949879756,0.7135735821394209,0.8033452753512333,0.8003472390338968,0.655982485505163
cross_protein_histgb,mondrian_substitution,3,169,0.5317478841055945,0.21363009746198525,0.7173935067252398,0.8053189152150875,0.8026536529707011,0.6576281058848487
cross_protein_histgb,mondrian_substitution,4,169,0.5348629014361175,0.2162553556910191,0.7239200519175666,0.8074024103976675,0.8047137226596285,0.6590594217936755
cross_protein_histgb,standard_split,0,169,0.535113607159446,0.2149456346444854,0.7242878620882546,0.8086807978229568,0.8055852950155055,0.6606473258426259
cross_protein_histgb,standard_split,1,169,0.5317170425649936,0.21435567634526667,0.7164202482511571,0.8054918294581528,0.8027394803284091,0.6582534222106022
cross_protein_histgb,standard_split,2,169,0.5289869875784022,0.21609216949879756,0.7135735821394209,0.8031680187470737,0.8001582600826604,0.655023234013834
cross_protein_histgb,standard_split,3,169,0.5317478841055945,0.21363009746198525,0.7173935067252398,0.8045827315953582,0.801820276186333,0.6567790856294066
cross_protein_histgb,standard_split,4,169,0.5348629014361175,0.2162553556910191,0.7239200519175666,0.8077035243706107,0.8048788523077817,0.6592416783558952
cross_protein_ridge,mondrian_substitution,0,169,0.5116559953260723,0.20931035854187735,0.6742137319685051,0.8075032973075257,0.8038827056862942,0.6771508458170323
cross_protein_ridge,mondrian_substitution,1,169,0.5111603556930225,0.21101379982642784,0.6742275325400049,0.8013860773045277,0.7974809798139856,0.670762445394049
cross_protein_ridge,mondrian_substitution,2,169,0.5140599837767671,0.20958328862722903,0.6808088167835906,0.8019117180458158,0.7984870729977463,0.671476295485665
cross_protein_ridge,mondrian_substitution,3,169,0.5112939417108008,0.20768399565884796,0.680093172907194,0.8013164150851165,0.797365266317662,0.6718896473544349
cross_protein_ridge,mondrian_substitution,4,169,0.5137743345526189,0.21022041555380233,0.6821110007461981,0.8061249373974962,0.8026655492293444,0.6754658294574193
cross_protein_ridge,standard_split,0,169,0.5116559953260723,0.20931035854187735,0.6742137319685051,0.8070719652694954,0.8031435531041511,0.6764123338721912
cross_protein_ridge,standard_split,1,169,0.5111603556930225,0.21101379982642784,0.6742275325400049,0.8018114302799927,0.7979299304559373,0.670545145046314
cross_protein_ridge,standard_split,2,169,0.5140599837767671,0.20958328862722903,0.6808088167835906,0.8018495873446941,0.7980252312863446,0.6707001310805876
cross_protein_ridge,standard_split,3,169,0.5112939417108008,0.20768399565884796,0.680093172907194,0.8014008744001099,0.7975658841612987,0.6715482393877453
cross_protein_ridge,standard_split,4,169,0.5137743345526189,0.21022041555380233,0.6821110007461981,0.806435973742357,0.8026301221522004,0.6752406949150491
