fold,repeat,assay_id,uniprot_id,model,calibration_method,retained_fraction,retained_rows,mae,normalized_mae,uncertainty_threshold,family_id
0,0,ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI,cross_protein_histgb,mondrian_substitution,0.25,250,0.16415547192107038,0.5686515197413112,0.3151731753150356,ssf_8af86fe1b209
0,0,BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST,cross_protein_histgb,mondrian_substitution,0.25,250,0.18216449300590523,0.6310366299609004,0.31542198036420005,ssf_09af8f8b7309
0,0,CALM1_HUMAN_Weile_2017,CALM1_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.2643629035202556,0.9157804299467239,0.31542198036420005,ssf_90261541b92a
0,0,CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,230,0.14441245906021025,0.5002597301354159,0.3175616929468278,ssf_63a1a4e89751
0,0,DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.11827817996409515,0.4097278391131468,0.31542198036420005,ssf_3bc8071abc2c
0,0,DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,cross_protein_histgb,mondrian_substitution,0.25,250,0.15987599068751118,0.5538269544759026,0.3175616929468278,ssf_09af8f8b7309
0,0,EPHB2_HUMAN_Tsuboyama_2023_1F0M,EPHB2_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.13071479908996717,0.45280957305480546,0.3151731753150356,ssf_1a40a2a2ccdc
0,0,ESTA_BACSU_Nutschel_2020,ESTA_BACSU,cross_protein_histgb,mondrian_substitution,0.25,250,0.25064914576268565,0.868276881345367,0.3151731753150356,ssf_eb7894768bb9
0,0,GRB2_HUMAN_Faure_2021,GRB2_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.17733164435148915,0.6142951427606756,0.3151731753150356,ssf_a2995dce9367
0,0,HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.1674206208471474,0.579962333065208,0.31542198036420005,ssf_45f2530c8897
0,0,I6TAH8_I68A0_Doud_2015,I6TAH8_I68A0,cross_protein_histgb,mondrian_substitution,0.25,250,0.23810592162553998,0.8248235200887598,0.31542198036420005,ssf_ac5654d2afd9
0,0,LGK_LIPST_Klesmith_2015,LGK_LIPST,cross_protein_histgb,mondrian_substitution,0.25,250,0.2111421517277908,0.7314185110096355,0.3151731753150356,ssf_bba3db8a5a23
0,0,MTH3_HAEAE_RockahShmuel_2015,MTH3_HAEAE,cross_protein_histgb,mondrian_substitution,0.25,250,0.2018721691820486,0.7047883843116607,0.3151731753150356,ssf_9a90786f7320
0,0,MYO3_YEAST_Tsuboyama_2023_2BTT,MYO3_YEAST,cross_protein_histgb,mondrian_substitution,0.25,237,0.19809689198867717,0.6862281460862211,0.3175616929468278,ssf_09af8f8b7309
0,0,NCAP_I34A1_Doud_2015,NCAP_I34A1,cross_protein_histgb,mondrian_substitution,0.25,250,0.2674290464507384,0.9264018549457957,0.31542198036420005,ssf_ac5654d2afd9
0,0,NUSG_MYCTU_Tsuboyama_2023_2MI6,NUSG_MYCTU,cross_protein_histgb,mondrian_substitution,0.25,250,0.14415367203285756,0.4993632177987314,0.3151731753150356,ssf_12ebdb52f01c
0,0,OBSCN_HUMAN_Tsuboyama_2023_1V1C,OBSCN_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.14955070676477084,0.5180591038784521,0.3151731753150356,ssf_09af8f8b7309
0,0,OXDA_RHOTO_Vanella_2023_activity,OXDA_RHOTO,cross_protein_histgb,mondrian_substitution,0.25,250,0.23508518895210298,0.8143593972529829,0.3151731753150356,ssf_08db490a0d52
0,0,OXDA_RHOTO_Vanella_2023_expression,OXDA_RHOTO,cross_protein_histgb,mondrian_substitution,0.25,250,0.23843079978116163,0.8259489315950777,0.3151731753150356,ssf_08db490a0d52
0,0,PAI1_HUMAN_Huttinger_2021,PAI1_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.2166340438684078,0.7504432770617245,0.3151731753150356,ssf_51cbf66f0934
0,0,POLG_CXB3N_Mattenberger_2021,POLG_CXB3N,cross_protein_histgb,mondrian_substitution,0.25,250,0.23831965822101506,0.8255639257445619,0.3151731753150356,ssf_6872ef7481de
0,0,POLG_HCVJF_Qi_2014,POLG_HCVJF,cross_protein_histgb,mondrian_substitution,0.25,250,0.23589094481455158,0.8818847297720734,0.3151731753150356,ssf_55f4d290e887
