model,calibration_method,retained_fraction,n_proteins,mean_normalized_mae
cross_protein_histgb,mondrian_substitution,0.25,169,0.6896154981328243
cross_protein_histgb,mondrian_substitution,0.5,169,0.7018616221933568
cross_protein_histgb,mondrian_substitution,0.75,169,0.7067271659040784
cross_protein_histgb,mondrian_substitution,1.0,169,0.7109234675464864
cross_protein_histgb,standard_split,0.25,169,0.7127885804052522
cross_protein_histgb,standard_split,0.5,169,0.7096727085116737
cross_protein_histgb,standard_split,0.75,169,0.7106218231998789
cross_protein_histgb,standard_split,1.0,169,0.7109234675464864
cross_protein_ridge,mondrian_substitution,0.25,169,0.7165520180669649
cross_protein_ridge,mondrian_substitution,0.5,169,0.7303505515429146
cross_protein_ridge,mondrian_substitution,0.75,169,0.7348955985419044
cross_protein_ridge,mondrian_substitution,1.0,169,0.7381387943362944
cross_protein_ridge,standard_split,0.25,169,0.7392090382259981
cross_protein_ridge,standard_split,0.5,169,0.7372825938228158
cross_protein_ridge,standard_split,0.75,169,0.736832756484342
cross_protein_ridge,standard_split,1.0,169,0.7381387943362944
