model,calibration_method,metric,n_proteins,n_bootstrap_groups,heldout_protein_mean,heldout_protein_ci_low,heldout_protein_ci_high,heldout_structure_family_mean,heldout_structure_family_ci_low,heldout_structure_family_ci_high,heldout_structure_family_minus_heldout_protein,delta_ci_low,delta_ci_high,bootstrap_unit,bootstrap_repeats
cross_protein_histgb,mondrian_substitution,observed_coverage,169,148,0.8070056368928261,0.7938470037513257,0.8199592689844574,0.8061649834867041,0.7911260655639442,0.8203281737642988,-0.0008406534061220494,-0.004316930801726557,0.002248091215383221,heldout_structure_family:family_id,10000
cross_protein_histgb,mondrian_substitution,position_coverage_mean,169,148,0.8044187220028685,0.7902588739035548,0.8179147344909501,0.8033565959264406,0.787077354032439,0.8184203824572218,-0.0010621260764278606,-0.004841665197486323,0.0022185024512231862,heldout_structure_family:family_id,10000
cross_protein_histgb,mondrian_substitution,selection_gain_sd,169,148,0.7233933001709661,0.6761148168282254,0.7700220268649418,0.7191190502243279,0.6693225016537271,0.7680819750105417,-0.0042742499466382755,-0.013181070339941762,0.003865985639821748,heldout_structure_family:family_id,10000
cross_protein_histgb,mondrian_substitution,spearman,169,148,0.5389074282529117,0.5091250191831722,0.5682669376385431,0.5324856845689108,0.5007768962361774,0.5637881366765972,-0.006421743684000947,-0.011903078038892127,-0.001719146658058619,heldout_structure_family:family_id,10000
cross_protein_histgb,mondrian_substitution,top_recall,169,148,0.21407090274206705,0.1992321264172988,0.2292244243064497,0.2150557867283108,0.19990942671006254,0.2305877949022021,0.0009848839862437453,-0.0017265412091896977,0.0037281265863205416,heldout_structure_family:family_id,10000
cross_protein_histgb,standard_split,observed_coverage,169,148,0.8073842931470855,0.7939995476658296,0.8204812419300209,0.8059253803988303,0.7905477743865117,0.8202601641682811,-0.001458912748255159,-0.005134291256728998,0.0017464733416432214,heldout_structure_family:family_id,10000
cross_protein_histgb,standard_split,position_coverage_mean,169,148,0.80465940831167,0.7902481946537998,0.818352859310166,0.8030364327841379,0.7862759534950745,0.8181632130829963,-0.0016229755275321,-0.005637750224701338,0.0017884300174246016,heldout_structure_family:family_id,10000
cross_protein_histgb,standard_split,selection_gain_sd,169,148,0.7233933001709661,0.675201185852342,0.7691623039694179,0.7191190502243279,0.6683418979036827,0.7664765576260238,-0.0042742499466382755,-0.01357828135297702,0.0037793201995995826,heldout_structure_family:family_id,10000
cross_protein_histgb,standard_split,spearman,169,148,0.5389074282529117,0.5086774167783985,0.5678113219332567,0.5324856845689108,0.49977992752440126,0.5635010669735547,-0.006421743684000947,-0.012121859915143782,-0.0016906824052846353,heldout_structure_family:family_id,10000
cross_protein_histgb,standard_split,top_recall,169,148,0.21407090274206705,0.19909957913058765,0.22922794241945593,0.2150557867283108,0.1998581730278741,0.23019236602458418,0.0009848839862437453,-0.0017231668823235956,0.0037391030781093433,heldout_structure_family:family_id,10000
cross_protein_ridge,mondrian_substitution,observed_coverage,169,148,0.8042807704998791,0.7918992580020346,0.816305633157806,0.8036484890280964,0.7908081311782595,0.8159294518694946,-0.0006322814717827363,-0.0018010162232075853,0.0005005134495518176,heldout_structure_family:family_id,10000
cross_protein_ridge,mondrian_substitution,position_coverage_mean,169,148,0.8007844355917325,0.7874469156557384,0.8136158056755335,0.7999763148090066,0.7860812647771687,0.8131068798808639,-0.0008081207827259629,-0.002050609901900857,0.0003893343317467985,heldout_structure_family:family_id,10000
cross_protein_ridge,mondrian_substitution,selection_gain_sd,169,148,0.6803800753630525,0.6278417357937467,0.7317052237713094,0.6782908509890985,0.6259110997235035,0.7296925663707367,-0.0020892243739539795,-0.0058169413763265315,0.0014597411644014732,heldout_structure_family:family_id,10000
cross_protein_ridge,mondrian_substitution,spearman,169,148,0.5146238173434031,0.4837389316307264,0.5446711147382131,0.5123889222118564,0.48114606806377885,0.5426998033891808,-0.0022348951315467325,-0.004033535569984334,-0.0007874631967678292,heldout_structure_family:family_id,10000
cross_protein_ridge,mondrian_substitution,top_recall,169,148,0.2094257330761931,0.19384849219079198,0.2248209884313165,0.20956237164163685,0.1941265685976736,0.224741432185476,0.00013663856544374187,-0.0011871361985273151,0.0014472860601957107,heldout_structure_family:family_id,10000
cross_protein_ridge,standard_split,observed_coverage,169,148,0.8042908603077794,0.7916963267399464,0.8160735372587195,0.8037139662073298,0.7906789649848828,0.8157814006011521,-0.0005768941004495876,-0.0018111152347372983,0.0006020079548192364,heldout_structure_family:family_id,10000
cross_protein_ridge,standard_split,position_coverage_mean,169,148,0.8004956166875512,0.7869688817575891,0.813092325457506,0.7998589442319863,0.7858343290227897,0.8127197191699865,-0.0006366724555648684,-0.00191410110692182,0.0005790954782540957,heldout_structure_family:family_id,10000
cross_protein_ridge,standard_split,selection_gain_sd,169,148,0.6803800753630525,0.6265747414529818,0.7315274122925217,0.6782908509890985,0.623950644554886,0.72917972631164,-0.0020892243739539795,-0.005891444014349231,0.0015347604046197243,heldout_structure_family:family_id,10000
cross_protein_ridge,standard_split,spearman,169,148,0.5146238173434031,0.4830200695602345,0.5440118965017693,0.5123889222118564,0.480231471691605,0.5422357672625198,-0.0022348951315467325,-0.0040565959830513405,-0.000794688604825528,heldout_structure_family:family_id,10000
cross_protein_ridge,standard_split,top_recall,169,148,0.2094257330761931,0.1941442705173459,0.2247028577941478,0.20956237164163685,0.1943502338082504,0.22478302701283104,0.00013663856544374187,-0.0011605444672095038,0.0014631431450054075,heldout_structure_family:family_id,10000
