model,calibration_method,metric,n_proteins,n_bootstrap_groups,heldout_sequence_family_mean,heldout_sequence_family_ci_low,heldout_sequence_family_ci_high,heldout_structure_family_mean,heldout_structure_family_ci_low,heldout_structure_family_ci_high,heldout_structure_family_minus_heldout_sequence_family,delta_ci_low,delta_ci_high,bootstrap_unit,bootstrap_repeats
cross_protein_histgb,mondrian_substitution,observed_coverage,169,148,0.8019198434925946,0.7866336420079909,0.8163525944964871,0.8061649834867041,0.7911260655639442,0.8203281737642988,0.00424513999410947,0.0023240113428097927,0.006343940459957994,heldout_structure_family:family_id,10000
cross_protein_histgb,mondrian_substitution,position_coverage_mean,169,148,0.7991805494645237,0.7827540011303102,0.8144339717105396,0.8033565959264407,0.787077354032439,0.8184203824572218,0.004176046461917049,0.00223259287348139,0.006296868059552937,heldout_structure_family:family_id,10000
cross_protein_histgb,mondrian_substitution,selection_gain_sd,169,148,0.716492934815244,0.6671765592768824,0.7656765540978245,0.7191190502243278,0.6693225016537271,0.7680819750105417,0.0026261154090837513,-0.004123396053535974,0.010653895724221664,heldout_structure_family:family_id,10000
cross_protein_histgb,mondrian_substitution,spearman,169,148,0.5329353082479609,0.5012338473651728,0.5644815819410415,0.5324856845689108,0.5007768962361774,0.5637881366765972,-0.00044962367905010403,-0.0031242130797856037,0.002462294154630916,heldout_structure_family:family_id,10000
cross_protein_histgb,mondrian_substitution,top_recall,169,148,0.2139470658043115,0.19887294411112003,0.22941042284687785,0.2150557867283108,0.19990942671006254,0.2305877949022021,0.0011087209239993012,-0.0012941364235791104,0.0035654214895795102,heldout_structure_family:family_id,10000
cross_protein_histgb,standard_split,observed_coverage,169,148,0.8021567315993575,0.7866703765241728,0.8167107215530458,0.8059253803988303,0.7905477743865117,0.8202601641682811,0.003768648799472807,0.0018859392116110292,0.005861709990834643,heldout_structure_family:family_id,10000
cross_protein_histgb,standard_split,position_coverage_mean,169,148,0.79926663018649,0.7825155291961793,0.8146355748695409,0.8030364327841379,0.7862759534950745,0.8181632130829963,0.00376980259764792,0.001879520587102984,0.005872920469552521,heldout_structure_family:family_id,10000
cross_protein_histgb,standard_split,selection_gain_sd,169,148,0.716492934815244,0.6661270237172492,0.7639916842280116,0.7191190502243278,0.6683418979036827,0.7664765576260238,0.0026261154090837513,-0.004073723795663206,0.010451832120630191,heldout_structure_family:family_id,10000
cross_protein_histgb,standard_split,spearman,169,148,0.5329353082479609,0.5002538722618807,0.5639833177866478,0.5324856845689108,0.49977992752440126,0.5635010669735547,-0.00044962367905010403,-0.0031500997762756917,0.0023481165974787756,heldout_structure_family:family_id,10000
cross_protein_histgb,standard_split,top_recall,169,148,0.2139470658043115,0.1989215989816386,0.2290127414015566,0.2150557867283108,0.19985817302787404,0.23019236602458415,0.0011087209239993012,-0.00128492178970957,0.003589912977545957,heldout_structure_family:family_id,10000
cross_protein_ridge,mondrian_substitution,observed_coverage,169,148,0.8004719068737749,0.7876654646723316,0.812855499462969,0.8036484890280964,0.7908081311782595,0.8159294518694946,0.0031765821543214834,0.0019444130595010435,0.004399736856943206,heldout_structure_family:family_id,10000
cross_protein_ridge,mondrian_substitution,position_coverage_mean,169,148,0.796907030812181,0.7831147563462503,0.8100950527619359,0.7999763148090066,0.7860812647771687,0.8131068798808639,0.0030692839968256003,0.00182895528429681,0.0043364332299555,heldout_structure_family:family_id,10000
cross_protein_ridge,mondrian_substitution,selection_gain_sd,169,148,0.6783292954999542,0.6255545950857154,0.7296201454332378,0.6782908509890985,0.6259110997235033,0.7296925663707367,-3.844451085577294e-05,-0.0032834328170513903,0.0031147934038841555,heldout_structure_family:family_id,10000
cross_protein_ridge,mondrian_substitution,spearman,169,148,0.5125515658072364,0.48132987183969733,0.542750330602325,0.5123889222118564,0.48114606806377874,0.5426998033891807,-0.0001626435953799854,-0.0011886331789515176,0.0008094492143440518,heldout_structure_family:family_id,10000
cross_protein_ridge,mondrian_substitution,top_recall,169,148,0.2105773138848151,0.19483918142508708,0.22609180359773207,0.20956237164163685,0.1941265685976736,0.224741432185476,-0.0010149422431782462,-0.0023418764301887792,0.0003204145786393108,heldout_structure_family:family_id,10000
cross_protein_ridge,standard_split,observed_coverage,169,148,0.8005204914753716,0.7874191319368057,0.8127263784334501,0.8037139662073298,0.7906789649848828,0.8157814006011521,0.00319347473195819,0.0020270942968848905,0.0043969356627853555,heldout_structure_family:family_id,10000
cross_protein_ridge,standard_split,position_coverage_mean,169,148,0.7966982829058927,0.7826057966740004,0.8096962013651039,0.7998589442319863,0.7858343290227897,0.8127197191699865,0.0031606613260936056,0.0019595485401963015,0.004393181731920703,heldout_structure_family:family_id,10000
cross_protein_ridge,standard_split,selection_gain_sd,169,148,0.6783292954999542,0.6242731287717475,0.7293507933135345,0.6782908509890985,0.623950644554886,0.72917972631164,-3.844451085577294e-05,-0.003295021341199067,0.0031469846900069923,heldout_structure_family:family_id,10000
cross_protein_ridge,standard_split,spearman,169,148,0.5125515658072364,0.4805347765333256,0.5423182911120087,0.5123889222118564,0.480231471691605,0.5422357672625198,-0.0001626435953799854,-0.0012048890612103597,0.0008187184998136406,heldout_structure_family:family_id,10000
cross_protein_ridge,standard_split,top_recall,169,148,0.2105773138848151,0.19521733932693264,0.2258701364553138,0.20956237164163685,0.1943502338082504,0.22478302701283104,-0.0010149422431782462,-0.0023515209569432783,0.0003046771220454331,heldout_structure_family:family_id,10000
