model,score_column,modality,n_assays,n_proteins,mean_spearman,spearman_ci_low,spearman_ci_high,mean_top_recall,top_recall_ci_low,top_recall_ci_high,mean_selection_gain_sd,selection_gain_sd_ci_low,selection_gain_sd_ci_high,mean_best_variant_regret_sd,best_variant_regret_sd_ci_low,best_variant_regret_sd_ci_high
venusrem,VenusREM,structure_msa,195,169,0.5417042211088937,0.5204329848874928,0.5624701408563993,0.22447878389891515,0.210649618192063,0.2389737333363656,0.605436634135864,0.5672890110568821,0.6438942832924455,0.7140691986328694,0.4516675101881471,1.0590378205622633
prosst_2048,ProSST-2048,sequence_structure,195,169,0.5283344618815626,0.5056310335745665,0.5505134058656961,0.21859325640038713,0.2041382275912526,0.23356606123845836,0.5546747602421915,0.5090332187659798,0.5990350502793907,0.7281559935002488,0.4629578072327597,1.0707725582748882
s3f_msa,S3F_MSA,structure_msa,195,169,0.5076987367137987,0.48656317188172743,0.5277791981515667,0.22262718053668565,0.20899780390518996,0.23666958467813828,0.675418016940058,0.6398627937726491,0.7106154593197449,0.6318348928402904,0.4757639621725016,0.807939884545202
esm3_open,ESM3,sequence_structure_function,195,169,0.5046475149664535,0.4778987169763603,0.5309632349962053,0.22540108163830802,0.21131086399182633,0.23993747603819704,0.6154359297467722,0.5735036558347537,0.6573808809252748,0.5569588450225155,0.42362565208576813,0.7068255242286013
saprot_650m,SaProt_650M_AF2,sequence_structure,195,169,0.4701310569162206,0.4426873262745366,0.4973948154174257,0.21113608431034392,0.19736857617603085,0.2249141774657792,0.5846030836840901,0.5414205265474528,0.6274630448860931,0.6218309049349439,0.46245286375149053,0.7987971082331509
gemme,GEMME,msa,195,169,0.45608050564100766,0.43564207377653985,0.47627872120213155,0.18107718546359958,0.1681076225811466,0.1946722762951596,0.6122524171143713,0.577849282328356,0.6474024609758846,0.8843124855942068,0.6459867767113889,1.2132819724708324
esm2_650m,ESM2_650M,single_sequence,195,169,0.4279323541519444,0.3979752363360695,0.4570272324112289,0.19828081303014133,0.18546367046960288,0.211450920984258,0.518510885776051,0.47354081805809806,0.5630227703447372,0.7945029208309767,0.536747069125548,1.1452122323584673
esmc_600m,ESMC-600M,single_sequence,195,169,0.42314840407364873,0.3929114655819254,0.45256998224269535,0.19283826168019066,0.17962786754712248,0.20653176536663995,0.5329405432070758,0.48609742046229343,0.5803286992940101,0.6364450153981376,0.4709847580171938,0.8235664318481728
tranception_l,Tranception_L,msa_retrieval,195,169,0.4222073453616373,0.4008623197176697,0.4431954909284651,0.20076231275267162,0.18875286606316913,0.21355328889832212,0.6122047239772228,0.5777159872504894,0.6466695647384456,0.7967504785948784,0.5449390455599493,1.1360257947813441
siterm,SiteRM,structure_msa,195,169,0.40363815737525355,0.38217161861345655,0.4249421969541244,0.18415686806183104,0.1716048207730867,0.19726407518912092,0.6031731323092628,0.5697941235526017,0.6370065306276929,0.8617146673334718,0.6228877781149045,1.1916574240613664
progen3_3b,Progen3_3b,single_sequence,195,169,0.38850659707117724,0.3680358745720934,0.4092854954744732,0.18276352422002481,0.17073639206521596,0.19538277946231744,0.5597936650678077,0.5227977205302213,0.597287891746444,0.8850567290222445,0.633206923646045,1.222217194663674
xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,195,169,0.3571069698215145,0.3340388307412639,0.3808667399340855,0.17612784129889775,0.16374808781290282,0.18917543199536496,0.5633077432428021,0.5275257174274308,0.5998186202867315,0.917613461459746,0.646763614598115,1.2799186645196776
