model,baseline,n_proteins,model_mean_spearman,baseline_mean_spearman,mean_paired_delta,delta_ci_low,delta_ci_high,simultaneous_delta_ci_low,simultaneous_delta_ci_high,probability_delta_above_zero,bootstrap_probability_best,mean_bootstrap_rank,multiplicity_control,bootstrap_unit,bootstrap_repeats
venusrem,esm2_650m,169,0.5417042211088937,0.4279323541519444,0.11377186695694928,0.09060235661980262,0.13856546016702606,0.08116949961774678,0.1463742342961518,1.0,1.0,1.0,95% paired-bootstrap max absolute centered delta,UniProt_ID,10000
prosst_2048,esm2_650m,169,0.5283344618815626,0.4279323541519444,0.10040210772961829,0.07685162663557378,0.12502928825436038,0.06779974039041578,0.1330044750688208,1.0,0.0,2.0145,95% paired-bootstrap max absolute centered delta,UniProt_ID,10000
s3f_msa,esm2_650m,169,0.5076987367137987,0.4279323541519444,0.07976638256185438,0.05952819736601273,0.10122092920284184,0.047164015222651866,0.11236874990105689,1.0,0.0,3.3434,95% paired-bootstrap max absolute centered delta,UniProt_ID,10000
esm3_open,esm2_650m,169,0.5046475149664535,0.4279323541519444,0.07671516081450912,0.05433137415542405,0.1002073634370063,0.044112793475306604,0.10931752815371162,1.0,0.0,3.6422,95% paired-bootstrap max absolute centered delta,UniProt_ID,10000
saprot_650m,esm2_650m,169,0.4701310569162206,0.4279323541519444,0.04219870276427621,0.023212903491782004,0.0614390069582087,0.009596335425073696,0.07480107010347872,0.9999,0.0,5.1438,95% paired-bootstrap max absolute centered delta,UniProt_ID,10000
gemme,esm2_650m,169,0.45608050564100766,0.4279323541519444,0.0281481514890633,0.004017534859473955,0.05366520850754686,-0.0044542158501392135,0.06075051882826581,0.9897,0.0,5.873,95% paired-bootstrap max absolute centered delta,UniProt_ID,10000
esm2_650m,esm2_650m,169,0.4279323541519444,0.4279323541519444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6531,95% paired-bootstrap max absolute centered delta,UniProt_ID,10000
esmc_600m,esm2_650m,169,0.42314840407364873,0.4279323541519444,-0.004783950078295599,-0.02154328601071266,0.01168693305033237,-0.037386317417498115,0.027818417260906916,0.2809,0.0,8.31,95% paired-bootstrap max absolute centered delta,UniProt_ID,10000
tranception_l,esm2_650m,169,0.4222073453616373,0.4279323541519444,-0.00572500879030717,-0.029650259126441827,0.019081056187406287,-0.038327376129509684,0.026877358548895343,0.3272,0.0,8.1963,95% paired-bootstrap max absolute centered delta,UniProt_ID,10000
siterm,esm2_650m,169,0.40363815737525355,0.4279323541519444,-0.024294196776690875,-0.05265424898398364,0.0052223643813176825,-0.05689656411589339,0.008308170562511638,0.0548,0.0,9.897,95% paired-bootstrap max absolute centered delta,UniProt_ID,10000
progen3_3b,esm2_650m,169,0.38850659707117724,0.4279323541519444,-0.03942575708076717,-0.06143399160209063,-0.016330782219897963,-0.07202812441996968,-0.006823389741564656,0.0006,0.0,10.9271,95% paired-bootstrap max absolute centered delta,UniProt_ID,10000
xtrimopglm_100b,esm2_650m,169,0.3571069698215145,0.4279323541519444,-0.07082538433042984,-0.0945026914333489,-0.046581720689791335,-0.10342775166963236,-0.03822301699122733,0.0,0.0,11.9996,95% paired-bootstrap max absolute centered delta,UniProt_ID,10000
