assay_id,uniprot_id,split,source_variants,score_variants,matched_variants,duplicate_score_variants,dms_score_max_abs_difference,Embeddings - Augmented - ESM1v_predictions_finite,ProteinNPT_predictions_finite,Kermut_predictions_finite,eligible,exclusion_reasons
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,contiguous_position,9576,9576,9576,0,0.0,9576,9576,9576,True,
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,modulo_position,9576,9576,9576,0,0.0,9576,9576,9576,True,
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,random_variant,9576,9576,9576,0,0.0,9576,9576,9576,True,
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,contiguous_position,12577,12577,12577,0,0.0,12577,12577,12577,True,
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,modulo_position,12577,12577,12577,0,0.0,12577,12577,12577,True,
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,random_variant,12577,12577,12577,0,0.0,12577,12577,12577,True,
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,contiguous_position,922,922,922,0,0.0,922,922,922,True,
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,modulo_position,922,922,922,0,0.0,922,922,922,True,
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,random_variant,922,922,922,0,0.0,922,922,922,True,
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,contiguous_position,1653,1653,1653,0,0.0,1653,1653,1653,True,
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,modulo_position,1653,1653,1653,0,0.0,1653,1653,1653,True,
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,random_variant,1653,1653,1653,0,0.0,1653,1653,1653,True,
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,contiguous_position,10715,10715,10715,0,0.0,10715,10715,10715,True,
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,modulo_position,10715,10715,10715,0,0.0,10715,10715,10715,True,
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,random_variant,10715,10715,10715,0,0.0,10715,10715,10715,True,
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,contiguous_position,2350,2350,2350,0,0.0,2350,2350,2350,True,
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,modulo_position,2350,2350,2350,0,0.0,2350,2350,2350,True,
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,random_variant,2350,2350,2350,0,0.0,2350,2350,2350,True,
A4D664_9INFA_Soh_2019,A4D664_9INFA,contiguous_position,14421,14421,14421,0,0.0,14421,14421,14421,True,
A4D664_9INFA_Soh_2019,A4D664_9INFA,modulo_position,14421,14421,14421,0,0.0,14421,14421,14421,True,
A4D664_9INFA_Soh_2019,A4D664_9INFA,random_variant,14421,14421,14421,0,0.0,14421,14421,14421,True,
A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,contiguous_position,5004,5004,5004,0,0.0,5004,5004,5004,True,
A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,modulo_position,5004,5004,5004,0,0.0,5004,5004,5004,True,
A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,random_variant,5004,5004,5004,0,0.0,5004,5004,5004,True,
A4_HUMAN_Seuma_2022,A4_HUMAN,contiguous_position,796,14811,796,0,4.440892098500626e-16,796,796,796,True,
A4_HUMAN_Seuma_2022,A4_HUMAN,modulo_position,796,14811,796,0,4.440892098500626e-16,796,796,796,True,
A4_HUMAN_Seuma_2022,A4_HUMAN,random_variant,796,14811,796,0,4.440892098500626e-16,796,796,796,True,
AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,contiguous_position,1801,1801,1801,0,0.0,1801,1801,1801,True,
AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,modulo_position,1801,1801,1801,0,0.0,1801,1801,1801,True,
AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,random_variant,1801,1801,1801,0,0.0,1801,1801,1801,True,
ACE2_HUMAN_Chan_2020,ACE2_HUMAN,contiguous_position,2223,2223,2223,0,0.0,2223,2223,2223,True,
ACE2_HUMAN_Chan_2020,ACE2_HUMAN,modulo_position,2223,2223,2223,0,0.0,2223,2223,2223,True,
ACE2_HUMAN_Chan_2020,ACE2_HUMAN,random_variant,2223,2223,2223,0,0.0,2223,2223,2223,True,
ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,contiguous_position,7800,7800,7800,0,0.0,7800,7800,7800,True,
ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,modulo_position,7800,7800,7800,0,0.0,7800,7800,7800,True,
ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,random_variant,7800,7800,7800,0,0.0,7800,7800,7800,True,
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,contiguous_position,820,2972,820,0,8.881784197001252e-16,820,820,820,True,
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,modulo_position,820,2972,820,0,8.881784197001252e-16,820,820,820,True,
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,random_variant,820,2972,820,0,8.881784197001252e-16,820,820,820,True,
AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE,contiguous_position,6227,6227,6227,0,0.0,6227,6227,6227,True,
AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE,modulo_position,6227,6227,6227,0,0.0,6227,6227,6227,True,
