uniprot_id,family_id,family_size,family_members,assay_count,assayed_sequence_count
MBD11_ARATH,sf_029b997580c1,1,MBD11_ARATH,1,1
AMIE_PSEAE,sf_0406336ba271,1,AMIE_PSEAE,1,1
PRKN_HUMAN,sf_044a6e3db01c,1,PRKN_HUMAN,1,1
DN7A_SACS2,sf_0500559dbf7c,1,DN7A_SACS2,1,1
UBR5_HUMAN,sf_059a8d032aa4,1,UBR5_HUMAN,1,1
VILI_CHICK,sf_0815efaffc38,1,VILI_CHICK,1,1
OXDA_RHOTO,sf_08db490a0d52,1,OXDA_RHOTO,2,1
DYR_ECOLI,sf_0932cd92de6e,1,DYR_ECOLI,2,1
MTHR_HUMAN,sf_095a60e097b5,1,MTHR_HUMAN,1,1
RL40A_YEAST,sf_09950e3c22ee,1,RL40A_YEAST,3,1
TAT_HV1BR,sf_0d06a357cd85,1,TAT_HV1BR,1,1
SAV1_MOUSE,sf_0d40c1bb820d,1,SAV1_MOUSE,1,1
RAD_ANTMA,sf_0eef6f01f081,1,RAD_ANTMA,1,1
CAR11_HUMAN,sf_0fc8efec29c6,1,CAR11_HUMAN,2,1
OBSCN_HUMAN,sf_1512f7c11353,1,OBSCN_HUMAN,1,1
FKBP3_HUMAN,sf_178ecc1910b6,1,FKBP3_HUMAN,1,1
SUMO1_HUMAN,sf_19622d9f3f73,1,SUMO1_HUMAN,1,1
A0A192B1T2_9HIV1,sf_1bf288bd319a,3,A0A192B1T2_9HIV1;ENV_HV1BR;Q2N0S5_9HIV1,1,1
ENV_HV1BR,sf_1bf288bd319a,3,A0A192B1T2_9HIV1;ENV_HV1BR;Q2N0S5_9HIV1,1,1
Q2N0S5_9HIV1,sf_1bf288bd319a,3,A0A192B1T2_9HIV1;ENV_HV1BR;Q2N0S5_9HIV1,1,1
CD19_HUMAN,sf_1ca77773c7d8,1,CD19_HUMAN,1,1
BLAT_ECOLX,sf_1ca89f8f1279,1,BLAT_ECOLX,4,1
CP2C9_HUMAN,sf_1d3a8e32222c,1,CP2C9_HUMAN,2,1
POLG_DEN26,sf_1d81bb997017,1,POLG_DEN26,1,1
TNKS2_HUMAN,sf_1ecb2ce4d2e3,1,TNKS2_HUMAN,1,1
MLAC_ECOLI,sf_2185c9b20e14,1,MLAC_ECOLI,1,1
BRCA1_HUMAN,sf_234425dd63e3,1,BRCA1_HUMAN,1,1
OTU7A_HUMAN,sf_24059a2f71bf,1,OTU7A_HUMAN,1,1
PIN1_HUMAN,sf_27b2fd965bcd,1,PIN1_HUMAN,1,1
MK01_HUMAN,sf_29a8f9564eb0,1,MK01_HUMAN,1,1
GAL4_YEAST,sf_2be67f569203,1,GAL4_YEAST,1,1
UBE4B_MOUSE,sf_2d1d2debf9a5,1,UBE4B_MOUSE,1,1
CBX4_HUMAN,sf_2ed9fd8d158e,1,CBX4_HUMAN,1,1
ENVZ_ECOLI,sf_2ee5fd080c0f,1,ENVZ_ECOLI,1,1
CAS9_STRP1,sf_2fb7a12de8e4,1,CAS9_STRP1,1,1
CCR5_HUMAN,sf_2fd7d813c6f4,1,CCR5_HUMAN,1,1
RL20_AQUAE,sf_310c599ef29a,1,RL20_AQUAE,1,1
PHOT_CHLRE,sf_3193156583c0,1,PHOT_CHLRE,1,1
CSN4_MOUSE,sf_322a3fa1e236,1,CSN4_MOUSE,1,1
RCD1_ARATH,sf_329d15de34fe,1,RCD1_ARATH,1,1
PKN1_HUMAN,sf_32b373a919b9,1,PKN1_HUMAN,1,1
RD23A_HUMAN,sf_3998cbaed1a7,1,RD23A_HUMAN,1,1
BCHB_CHLTE,sf_39e5faa59a41,1,BCHB_CHLTE,1,1
SDA_BACSU,sf_3a5047c87583,1,SDA_BACSU,1,1
SR43C_ARATH,sf_3b0bdc6eb756,1,SR43C_ARATH,1,1
DNJA1_HUMAN,sf_3bc8071abc2c,1,DNJA1_HUMAN,1,1
TPK1_HUMAN,sf_3c2e5ceba3be,1,TPK1_HUMAN,1,1
NKX31_HUMAN,sf_3de478b56341,2,NKX31_HUMAN;PITX2_HUMAN,1,1
PITX2_HUMAN,sf_3de478b56341,2,NKX31_HUMAN;PITX2_HUMAN,1,1
P84126_THETH,sf_415fc4c4433b,3,P84126_THETH;TRPC_SACS2;TRPC_THEMA,1,1
TRPC_SACS2,sf_415fc4c4433b,3,P84126_THETH;TRPC_SACS2;TRPC_THEMA,1,1
TRPC_THEMA,sf_415fc4c4433b,3,P84126_THETH;TRPC_SACS2;TRPC_THEMA,1,1
HECD1_HUMAN,sf_45f2530c8897,1,HECD1_HUMAN,1,1
MSH2_HUMAN,sf_48cbc265b524,1,MSH2_HUMAN,1,1
HSP82_YEAST,sf_4ba74830b6b6,1,HSP82_YEAST,3,1
REV_HV1H2,sf_4ddd0adc0328,1,REV_HV1H2,1,1
PAI1_HUMAN,sf_51cbf66f0934,1,PAI1_HUMAN,1,1
TPOR_HUMAN,sf_540579521118,1,TPOR_HUMAN,1,1
RASH_HUMAN,sf_550503ae0437,2,RASH_HUMAN;RASK_HUMAN,1,1
RASK_HUMAN,sf_550503ae0437,2,RASH_HUMAN;RASK_HUMAN,2,1
POLG_HCVJF,sf_55f4d290e887,1,POLG_HCVJF,1,1
SC6A4_HUMAN,sf_5602ca7080fe,1,SC6A4_HUMAN,1,1
A4GRB6_PSEAI,sf_579275b2407d,1,A4GRB6_PSEAI,1,1
SPA_STAAU,sf_5e471b6b3e5d,1,SPA_STAAU,1,1
SBI_STAAM,sf_60dadcbd5371,1,SBI_STAAM,1,1
CATR_CHLRE,sf_61777c3573dc,1,CATR_CHLRE,1,1
ACE2_HUMAN,sf_67d793b1df10,1,ACE2_HUMAN,1,1
SPG2_STRSG,sf_67e127763d3d,1,SPG2_STRSG,1,1
POLG_CXB3N,sf_6872ef7481de,1,POLG_CXB3N,1,1
RNC_ECOLI,sf_692c79c706c4,1,RNC_ECOLI,1,1
A4_HUMAN,sf_6a1f189f4e62,1,A4_HUMAN,1,1
SOX30_HUMAN,sf_6cc095ce3976,1,SOX30_HUMAN,1,1
PPARG_HUMAN,sf_6d98a5313455,1,PPARG_HUMAN,1,1
SHOC2_HUMAN,sf_6f5083a5504d,1,SHOC2_HUMAN,1,1
KKA2_KLEPN,sf_72f0344ad526,1,KKA2_KLEPN,1,1
SPIKE_SARS2,sf_761ae81d509c,1,SPIKE_SARS2,2,1
Q53Z42_HUMAN,sf_77b576379330,1,Q53Z42_HUMAN,2,1
EPHB2_HUMAN,sf_77c475a042b9,1,EPHB2_HUMAN,1,1
NUD15_HUMAN,sf_7dd15a2e7599,1,NUD15_HUMAN,1,1
CUE1_YEAST,sf_7dd9b66382a6,1,CUE1_YEAST,1,1
ILF3_HUMAN,sf_8239bef973ac,1,ILF3_HUMAN,1,1
OTC_HUMAN,sf_85ec1183d131,1,OTC_HUMAN,1,1
KCNE1_HUMAN,sf_8626537a0620,1,KCNE1_HUMAN,2,1
SYUA_HUMAN,sf_87dffde05f09,1,SYUA_HUMAN,1,1
ANCSZ,sf_88339869d8cb,1,ANCSZ,1,1
GDIA_HUMAN,sf_8931019bd293,1,GDIA_HUMAN,1,1
VKOR1_HUMAN,sf_893ea5ec829f,1,VKOR1_HUMAN,2,1
NUSG_MYCTU,sf_8972dd1535ff,1,NUSG_MYCTU,1,1
ARGR_ECOLI,sf_8af86fe1b209,1,ARGR_ECOLI,1,1
CALM1_HUMAN,sf_90261541b92a,1,CALM1_HUMAN,1,1
ISDH_STAAW,sf_952abe758b6a,1,ISDH_STAAW,1,1
