uniprot_id,family_id,family_size,family_members,sequence_family_id,structure_added_relationship,assay_count,assayed_sequence_count
MBD11_ARATH,ssf_029b997580c1,1,MBD11_ARATH,sf_029b997580c1,False,1,1
AMIE_PSEAE,ssf_0406336ba271,1,AMIE_PSEAE,sf_0406336ba271,False,1,1
PRKN_HUMAN,ssf_044a6e3db01c,1,PRKN_HUMAN,sf_044a6e3db01c,False,1,1
DN7A_SACS2,ssf_0500559dbf7c,1,DN7A_SACS2,sf_0500559dbf7c,False,1,1
UBR5_HUMAN,ssf_059a8d032aa4,1,UBR5_HUMAN,sf_059a8d032aa4,False,1,1
VILI_CHICK,ssf_0815efaffc38,1,VILI_CHICK,sf_0815efaffc38,False,1,1
OXDA_RHOTO,ssf_08db490a0d52,1,OXDA_RHOTO,sf_08db490a0d52,False,2,1
DYR_ECOLI,ssf_0932cd92de6e,1,DYR_ECOLI,sf_0932cd92de6e,False,2,1
MTHR_HUMAN,ssf_095a60e097b5,1,MTHR_HUMAN,sf_095a60e097b5,False,1,1
RL40A_YEAST,ssf_09950e3c22ee,1,RL40A_YEAST,sf_09950e3c22ee,False,3,1
BBC1_YEAST,ssf_09af8f8b7309,5,BBC1_YEAST;DOCK1_MOUSE;MYO3_YEAST;OBSCN_HUMAN;SRBS1_HUMAN,sf_c5f7073ffbdb,True,1,1
DOCK1_MOUSE,ssf_09af8f8b7309,5,BBC1_YEAST;DOCK1_MOUSE;MYO3_YEAST;OBSCN_HUMAN;SRBS1_HUMAN,sf_b63fd9507fc4,True,1,1
MYO3_YEAST,ssf_09af8f8b7309,5,BBC1_YEAST;DOCK1_MOUSE;MYO3_YEAST;OBSCN_HUMAN;SRBS1_HUMAN,sf_ce83c8e2ec6e,True,1,1
OBSCN_HUMAN,ssf_09af8f8b7309,5,BBC1_YEAST;DOCK1_MOUSE;MYO3_YEAST;OBSCN_HUMAN;SRBS1_HUMAN,sf_1512f7c11353,True,1,1
SRBS1_HUMAN,ssf_09af8f8b7309,5,BBC1_YEAST;DOCK1_MOUSE;MYO3_YEAST;OBSCN_HUMAN;SRBS1_HUMAN,sf_fd69b9c71495,True,1,1
TAT_HV1BR,ssf_0d06a357cd85,1,TAT_HV1BR,sf_0d06a357cd85,False,1,1
SAV1_MOUSE,ssf_0d40c1bb820d,1,SAV1_MOUSE,sf_0d40c1bb820d,False,1,1
RAD_ANTMA,ssf_0eef6f01f081,1,RAD_ANTMA,sf_0eef6f01f081,False,1,1
CAR11_HUMAN,ssf_0fc8efec29c6,1,CAR11_HUMAN,sf_0fc8efec29c6,False,2,1
NUSG_MYCTU,ssf_12ebdb52f01c,2,NUSG_MYCTU;RFAH_ECOLI,sf_8972dd1535ff,True,1,1
RFAH_ECOLI,ssf_12ebdb52f01c,2,NUSG_MYCTU;RFAH_ECOLI,sf_cc6a74504a45,True,1,1
FKBP3_HUMAN,ssf_178ecc1910b6,1,FKBP3_HUMAN,sf_178ecc1910b6,False,1,1
SUMO1_HUMAN,ssf_19622d9f3f73,1,SUMO1_HUMAN,sf_19622d9f3f73,False,1,1
EPHB2_HUMAN,ssf_1a40a2a2ccdc,2,EPHB2_HUMAN;TNKS2_HUMAN,sf_77c475a042b9,True,1,1
TNKS2_HUMAN,ssf_1a40a2a2ccdc,2,EPHB2_HUMAN;TNKS2_HUMAN,sf_1ecb2ce4d2e3,True,1,1
A0A192B1T2_9HIV1,ssf_1bf288bd319a,3,A0A192B1T2_9HIV1;ENV_HV1BR;Q2N0S5_9HIV1,sf_1bf288bd319a,False,1,1
ENV_HV1BR,ssf_1bf288bd319a,3,A0A192B1T2_9HIV1;ENV_HV1BR;Q2N0S5_9HIV1,sf_1bf288bd319a,False,1,1
Q2N0S5_9HIV1,ssf_1bf288bd319a,3,A0A192B1T2_9HIV1;ENV_HV1BR;Q2N0S5_9HIV1,sf_1bf288bd319a,False,1,1
CD19_HUMAN,ssf_1ca77773c7d8,1,CD19_HUMAN,sf_1ca77773c7d8,False,1,1
BLAT_ECOLX,ssf_1ca89f8f1279,1,BLAT_ECOLX,sf_1ca89f8f1279,False,4,1
CP2C9_HUMAN,ssf_1d3a8e32222c,1,CP2C9_HUMAN,sf_1d3a8e32222c,False,2,1
POLG_DEN26,ssf_1d81bb997017,1,POLG_DEN26,sf_1d81bb997017,False,1,1
MLAC_ECOLI,ssf_2185c9b20e14,1,MLAC_ECOLI,sf_2185c9b20e14,False,1,1
BRCA1_HUMAN,ssf_234425dd63e3,1,BRCA1_HUMAN,sf_234425dd63e3,False,1,1
OTU7A_HUMAN,ssf_24059a2f71bf,1,OTU7A_HUMAN,sf_24059a2f71bf,False,1,1
PIN1_HUMAN,ssf_27b2fd965bcd,1,PIN1_HUMAN,sf_27b2fd965bcd,False,1,1
MK01_HUMAN,ssf_29a8f9564eb0,1,MK01_HUMAN,sf_29a8f9564eb0,False,1,1
GAL4_YEAST,ssf_2be67f569203,1,GAL4_YEAST,sf_2be67f569203,False,1,1
UBE4B_MOUSE,ssf_2d1d2debf9a5,1,UBE4B_MOUSE,sf_2d1d2debf9a5,False,1,1
ENVZ_ECOLI,ssf_2ee5fd080c0f,1,ENVZ_ECOLI,sf_2ee5fd080c0f,False,1,1
CAS9_STRP1,ssf_2fb7a12de8e4,1,CAS9_STRP1,sf_2fb7a12de8e4,False,1,1
CCR5_HUMAN,ssf_2fd7d813c6f4,1,CCR5_HUMAN,sf_2fd7d813c6f4,False,1,1
RL20_AQUAE,ssf_310c599ef29a,1,RL20_AQUAE,sf_310c599ef29a,False,1,1
PHOT_CHLRE,ssf_3193156583c0,1,PHOT_CHLRE,sf_3193156583c0,False,1,1
CSN4_MOUSE,ssf_322a3fa1e236,1,CSN4_MOUSE,sf_322a3fa1e236,False,1,1
RCD1_ARATH,ssf_329d15de34fe,1,RCD1_ARATH,sf_329d15de34fe,False,1,1
PKN1_HUMAN,ssf_32b373a919b9,1,PKN1_HUMAN,sf_32b373a919b9,False,1,1
RD23A_HUMAN,ssf_3998cbaed1a7,1,RD23A_HUMAN,sf_3998cbaed1a7,False,1,1
BCHB_CHLTE,ssf_39e5faa59a41,1,BCHB_CHLTE,sf_39e5faa59a41,False,1,1
SDA_BACSU,ssf_3a5047c87583,1,SDA_BACSU,sf_3a5047c87583,False,1,1
DNJA1_HUMAN,ssf_3bc8071abc2c,1,DNJA1_HUMAN,sf_3bc8071abc2c,False,1,1
TPK1_HUMAN,ssf_3c2e5ceba3be,1,TPK1_HUMAN,sf_3c2e5ceba3be,False,1,1
NKX31_HUMAN,ssf_3de478b56341,2,NKX31_HUMAN;PITX2_HUMAN,sf_3de478b56341,False,1,1
PITX2_HUMAN,ssf_3de478b56341,2,NKX31_HUMAN;PITX2_HUMAN,sf_3de478b56341,False,1,1
P84126_THETH,ssf_415fc4c4433b,3,P84126_THETH;TRPC_SACS2;TRPC_THEMA,sf_415fc4c4433b,False,1,1
