protein_a,protein_b,direction_count,reciprocal_minimum_tm_score,reciprocal_minimum_coverage,reciprocal_minimum_lddt,reciprocal_minimum_homology_probability,maximum_sequence_identity,maximum_alignment_length,minimum_e_value,minimum_bit_score,qualifies_structure_edge,protein_a_family_id,protein_b_family_id
A0A140D2T1_ZIKV,A0A192B1T2_9HIV1,2,0.16,0.607,0.2036,0.011,0.009,759,0.1984,15,False,ssf_a5d49b9502ef,ssf_1bf288bd319a
A0A140D2T1_ZIKV,A0A1I9GEU1_NEIME,2,0.1363,0.536,0.2866,0.009,0.006,332,0.2365,13,False,ssf_a5d49b9502ef,ssf_977f4be4ca9f
A0A140D2T1_ZIKV,A0A247D711_LISMN,2,0.08959,0.171,0.2453,0.0,0.035,348,0.2087,8,False,ssf_a5d49b9502ef,ssf_c9df9de4e934
A0A140D2T1_ZIKV,A0A2Z5U3Z0_9INFA,2,0.2445,0.714,0.2343,0.051,0.024,657,0.2549,24,False,ssf_a5d49b9502ef,ssf_97ae43962602
A0A140D2T1_ZIKV,A4D664_9INFA,2,0.1656,0.59,0.1915,0.014,0.014,668,0.1932,16,False,ssf_a5d49b9502ef,ssf_c55b9af61b07
A0A140D2T1_ZIKV,A4GRB6_PSEAI,2,0.1657,0.77,0.2391,0.014,0.019,509,0.22,16,False,ssf_a5d49b9502ef,ssf_579275b2407d
A0A140D2T1_ZIKV,A4_HUMAN,2,0.1404,0.875,0.1851,0.009,0.006,1006,0.1656,13,False,ssf_a5d49b9502ef,ssf_6a1f189f4e62
A0A140D2T1_ZIKV,AACC1_PSEAI,2,0.1204,0.792,0.1533,0.008,0.012,480,0.1857,12,False,ssf_a5d49b9502ef,ssf_c8ac09285ada
A0A140D2T1_ZIKV,ACE2_HUMAN,2,0.1445,0.66,0.186,0.01,0.012,809,0.1746,14,False,ssf_a5d49b9502ef,ssf_67d793b1df10
A0A140D2T1_ZIKV,ADRB2_HUMAN,2,0.198,0.814,0.1857,0.024,0.012,655,0.2121,19,False,ssf_a5d49b9502ef,ssf_e2a3e4f1f860
A0A140D2T1_ZIKV,AMFR_HUMAN,2,0.05746,0.123,0.3632,0.0,0.025,78,0.2363,5,False,ssf_a5d49b9502ef,ssf_cf49a18e12cd
A0A140D2T1_ZIKV,AMIE_PSEAE,2,0.1768,0.861,0.227,0.016,0.012,632,0.2049,17,False,ssf_a5d49b9502ef,ssf_0406336ba271
A0A140D2T1_ZIKV,ANCSZ,2,0.2103,0.989,0.2071,0.034,0.009,924,0.2289,21,False,ssf_a5d49b9502ef,ssf_88339869d8cb
A0A140D2T1_ZIKV,ARGR_ECOLI,2,0.07105,0.111,0.3746,0.0,0.051,78,0.1887,7,False,ssf_a5d49b9502ef,ssf_8af86fe1b209
A0A140D2T1_ZIKV,BBC1_YEAST,2,0.07332,0.407,0.2661,0.0,0.013,225,0.2147,7,False,ssf_a5d49b9502ef,ssf_09af8f8b7309
A0A140D2T1_ZIKV,BCHB_CHLTE,2,0.06147,0.087,0.3301,0.0,0.04,311,0.2359,6,False,ssf_a5d49b9502ef,ssf_39e5faa59a41
A0A140D2T1_ZIKV,BLAT_ECOLX,2,0.1532,0.661,0.2137,0.011,0.012,579,0.192,15,False,ssf_a5d49b9502ef,ssf_1ca89f8f1279
A0A140D2T1_ZIKV,BRCA1_HUMAN,2,0.06469,0.746,0.1645,0.0,0.008,1724,0.1222,6,False,ssf_a5d49b9502ef,ssf_234425dd63e3
A0A140D2T1_ZIKV,C6KNH7_9INFA,2,0.2361,0.714,0.2447,0.051,0.026,710,0.2469,24,False,ssf_a5d49b9502ef,ssf_97ae43962602
A0A140D2T1_ZIKV,CALM1_HUMAN,2,0.1101,0.835,0.1807,0.007,0.012,475,0.1799,11,False,ssf_a5d49b9502ef,ssf_90261541b92a
A0A140D2T1_ZIKV,CAPSD_AAV2S,2,0.17,0.659,0.177,0.014,0.015,755,0.1961,16,False,ssf_a5d49b9502ef,ssf_c257cf3223e7
A0A140D2T1_ZIKV,CAR11_HUMAN,2,0.108,0.768,0.1786,0.0,0.007,1134,0.1546,10,False,ssf_a5d49b9502ef,ssf_0fc8efec29c6
A0A140D2T1_ZIKV,CAS9_STRP1,2,0.1151,0.944,0.171,0.007,0.009,1592,0.1833,11,False,ssf_a5d49b9502ef,ssf_2fb7a12de8e4
