uniprot_id,structure_file,structure_range,assay_count,structure_bytes,structure_sha256
A0A140D2T1_ZIKV,A0A140D2T1_ZIKV.pdb,291-794,1,614636,43d9cb42b1a57ca29dc1931dcfcb70d8726c1f03d0abe9141f8797fb5aaabe92
A0A192B1T2_9HIV1,A0A192B1T2_9HIV1.pdb,1-852,1,1097477,a5de1e27d9fa288c5cff3b470a254b0b47a6545af82939754d93a6cbaebce2c5
A0A1I9GEU1_NEIME,A0A1I9GEU1_NEIME.pdb,1-161,1,194327,f49375f0e6c2f83c84229d48b17435d10502301258c5fbfe7bf7f1dc8f788206
A0A247D711_LISMN,A0A247D711_LISMN.pdb,1-87,1,113003,3366eac7fe070a9b0a76b5bc4164d0003a2bbb9d7da6d79796122771047f79d2
A0A2Z5U3Z0_9INFA,A0A2Z5U3Z0_9INFA.pdb,1-565,2,712727,7ad4e20a26bbf74408d46268e7cb3c9529c7d60ac7c2d2e9a7c6c9edb47ed3ee
A4D664_9INFA,A4D664_9INFA.pdb,1-759,1,985940,5af14859ee4c5466ea555928b14487d6832ee1682128c34cc470f2c17366a780
A4GRB6_PSEAI,A4GRB6_PSEAI.pdb,1-266,1,322145,0aa7f8875b42228b50655cd404acda57525ef13d378f330e70e058fed351fe02
A4_HUMAN,A4_HUMAN.pdb,1-770,1,965528,a9ed9520c97d0abea10d1513ae29e4378b2ffdb9f2d83e53d5127df5c0319fe6
AACC1_PSEAI,AACC1_PSEAI.pdb,1-177,1,220733,d572e1ddd3d1b0bdb30a7ee21761e3ad9e73223b29d7e257c0c65745d9f044ef
ACE2_HUMAN,ACE2_HUMAN.pdb,1-805,1,1040939,4fa8680b5c5beb2f9c2061c4586f52caa81638a9c71cda0eb1f8b07089e7be83
ADRB2_HUMAN,ADRB2_HUMAN.pdb,1-413,1,527723,b2ba51c148be0bd4a48107b44a545ab26af12217b8974d5444d9abe58db07e29
AMFR_HUMAN,AMFR_HUMAN.pdb,1-47,1,62459,6403b88f47df332dcc4a54d37bedfca47439853c78616baa8402f91b72e3bcc2
AMIE_PSEAE,AMIE_PSEAE.pdb,1-346,1,430361,eaac66ad0242ac068ee6624c8dbe6ab7390b8bd2fb4e92768ebcf1fd76bf1b9b
ANCSZ,ANCSZ.pdb,1-627,1,808307,b9f543f3722a278ae6500700f8320ddef90889ce83ffd1141f27c7bd64c03bd0
ARGR_ECOLI,ARGR_ECOLI.pdb,1-69,1,89351,4decd9ac6934db8f75d4f9470d6071e65688df96ee53d24dc0fade80a62d7a69
BBC1_YEAST,BBC1_YEAST.pdb,1-64,1,81089,f037880e5b134ac7c62fd5c13300f54b90addf5d313bbaab130ed5d954bc9d84
BCHB_CHLTE,BCHB_CHLTE.pdb,1-52,1,69587,03b7ddaaa7286aedc66b7e689fe664b6641d9668de6177b83e7b17e0976c5943
BLAT_ECOLX,BLAT_ECOLX.pdb,1-286,4,359486,4513552152f3d1f40ef9890b82f325256830ca9d166587c3952d78807b064213
BRCA1_HUMAN,BRCA1_HUMAN.pdb,1-1863,1,2326733,bb4fbcd6e48d171e2da1136c841b8bdb2a1c1e65a3bc761c0d1b7b440ffc113c
C6KNH7_9INFA,C6KNH7_9INFA.pdb,1-566,1,720017,7760f5378ededc351c84042cbad15115f8b116b873aa4c665d63b1cde68081c8
CALM1_HUMAN,CALM1_HUMAN.pdb,1-149,1,184688,ab364048a14bf8edfc7570c3d0ecc2fe3ac7c9691d0eadeaa5774f7c185b8875
CAPSD_AAV2S,CAPSD_AAV2S.pdb,1-735,1,913202,3b479b7781f77e3a422e4a2df9b29571375f9d5ceeba2a4ebb5522e17aa070c6
CAR11_HUMAN,CAR11_HUMAN.pdb,1-1154,2,1509443,8fab449945a12f73d4b1a902cce3e6e31dbd2471d48206f138ac303883fc17d1
CAS9_STRP1,CAS9_STRP1.pdb,1-1390,1,1854746,0d461a1ca3dd199aabc698c85dd9c941674ba55da3532bc1fce4a1f388b08c53
CASP3_HUMAN,CASP3_HUMAN.pdb,1-258,1,332999,9109d4d4b280ce1717d190decd4e00ff993f08229a83847f5b538257eb37d1c9
CASP7_HUMAN,CASP7_HUMAN.pdb,1-281,1,361430,81c32731289b017b38296bb7cd50154328defb1e422fca71434a9927741fbd61
CATR_CHLRE,CATR_CHLRE.pdb,1-72,1,91295,af6b2db8ac59b60a3012a7036f2e7a8a9e19cc5652ca9c66adfd89729308dcb8
CBPA2_HUMAN,CBPA2_HUMAN.pdb,1-72,1,92510,ae30b6a3cd970285b174207d7b82de13ed87d1f4a37bdb90dcdc04b25130bd2a
CBS_HUMAN,CBS_HUMAN.pdb,1-551,1,692234,21e5661dc5b828364148ee2c9acf5e21e36096a00eda8a9f2ace28379910c2e6
CBX4_HUMAN,CBX4_HUMAN.pdb,1-50,1,71288,bd3d346fab261e5c85c39ee48091cb81d95224b5c8921bf160c713cdefa68f44
CCDB_ECOLI,CCDB_ECOLI.pdb,1-101,1,133496,b6707dc4340e272b25843afb35476699fb3955dfaf6ff4dfefe798c971ec2337
CCR5_HUMAN,CCR5_HUMAN.pdb,1-352,1,237896,2053518a782c1b6936cf9cfd62b53d63dc831ebbbcea5aa03441addf0c6c07ae
CD19_HUMAN,CD19_HUMAN.pdb,1-556,1,682271,a12b2ac49ba206edd7256fdac0a90622a8f392830ee20c0074139753d51e552e
CP2C9_HUMAN,CP2C9_HUMAN.pdb,1-490,2,638855,7f2646f8a660e78450fd8e24e305f63d55937d90eef05e6d32826ee374af16e0
CSN4_MOUSE,CSN4_MOUSE.pdb,1-72,1,89351,b34d6cff1714aeb282e388b4f9c78f3a936e29effd4f4c85f853a092171cb039
CUE1_YEAST,CUE1_YEAST.pdb,1-52,1,65213,9ca15f6efd2efda5e3bf675ab2c1d8afcba696be6d7d371bb24be41b19b756ce
D7PM05_CLYGR,D7PM05_CLYGR.pdb,1-235,1,296873,575e20a17b3b0c171e512d0834dcd43026b90c03a2daa8ce22da8ffd8eb75e72
DLG4_HUMAN,DLG4_HUMAN.pdb,1-724,1,910448,4299a4aa2f024835cd320f8262e1cc62c38e1b591f9592abd9803e3b5df00f9d
DLG4_RAT,DLG4_RAT.pdb,1-724,1,910124,4455e12727b4ca662e994cb384d548b92eae426634c67854ae1d27e14ae39c25
DN7A_SACS2,DN7A_SACS2.pdb,1-55,1,72503,be5e250d27ce5f046d7aeed1d8d0bf93a70463e498c6521f59ca3e2525d80c66
DNJA1_HUMAN,DNJA1_HUMAN.pdb,1-65,1,86516,1afc6a0469d9a005ec85b9be958b79bb20b1c91564504028c3d55cc68b00b08c
DOCK1_MOUSE,DOCK1_MOUSE.pdb,1-66,1,88946,1e026ba65fe72b5b620b117fcf2befcba7804b1c852bdb172b90eba62d187197
DYR_ECOLI,DYR_ECOLI.pdb,1-159,2,201860,4a92457170ad6fc62e723da26f3cbe1ce2ce27b1c37e7c68d471037e4f738b8f
ENVZ_ECOLI,ENVZ_ECOLI.pdb,1-60,1,77768,31c6d4bc27a7c380fbd4108438a235afbf13b0e337279caaa020aac2349c6f41
ENV_HV1BR,ENV_HV1BR.pdb,1-861,1,1108088,599cc0429b56235eb765bf4a530deb7af0b3cada23a60c76d5a059a30838052b
EPHB2_HUMAN,EPHB2_HUMAN.pdb,1-66,1,84572,cb5607f33b62fb74e245245a7f41a54375159fdc8a28ace19c3eb40fb08051cd
ESTA_BACSU,ESTA_BACSU.pdb,1-212,1,262610,79812d3ede5e4a3b3a13034863f982939fb34924272634d489327b80886da6b7
FECA_ECOLI,FECA_ECOLI.pdb,1-72,1,85301,34a33fc509650a56db73736285bbb9f4d2450f3fc3694846128171ba099f73ae
FKBP3_HUMAN,FKBP3_HUMAN.pdb,1-69,1,93644,cf4f4dd8ed51a39fea4c5acfd571ae0d1b95c822fd6205bf05f1aaf376a6e3eb
GAL4_YEAST,GAL4_YEAST.pdb,1-881,1,1126637,4adc4954f5f262ce5b18564fcce3e3fa41ff3d0aa9202f890e5e8dca689347a4
GDIA_HUMAN,GDIA_HUMAN.pdb,1-447,1,571382,87fdcbe329f4996ccfc169f1880f804f87ac67fd8e2e055402269e1143418a02
GFP_AEQVI,GFP_AEQVI.pdb,1-238,1,302624,70bf9c39c1cc353d330fb37aba49d448caf03693b35196f3adc7375ef434fcc5
GRB2_HUMAN,GRB2_HUMAN.pdb,1-217,1,282374,478e808342e9a06257dc29b2eb70775bdd1c5f6dadbc3753417f9c16dd0e9db6
HCP_LAMBD,HCP_LAMBD.pdb,1-55,1,70397,a84c90281b1af9403c50257aa7087aa3bab0230927f0a03467beb9bc0fca929a
HECD1_HUMAN,HECD1_HUMAN.pdb,1-72,1,89108,d2268cc89c6912b3ffcb57d6a9d021c45f057fb575388eecbf47d46e58313441
HEM3_HUMAN,HEM3_HUMAN.pdb,1-361,1,230039,821b6de21f98a6992502f372963a8c23e0fda6d3721a1e1db300b626fb5e38b1
HMDH_HUMAN,HMDH_HUMAN.pdb,1-888,1,1112867,00aee90491d11cc50ae59f569479980d797c4709b844d21ddbb8b150ee6e48b0
HSP82_YEAST,HSP82_YEAST.pdb,1-709,3,931022,ffc6f7d2cbd95187391307fbc7d971c73085fc37f7293514a3d81cf164f0fc32
HXK4_HUMAN,HXK4_HUMAN.pdb,1-465,2,585719,a39f64d82f7132652df9320bf4f87995bb01a4ea8002f6ebc68eadb5614c7b69
I6TAH8_I68A0,I6TAH8_I68A0.pdb,1-498,1,632699,d2e6f09df66c310b3d96ec515c13d42f4442fbdc4d6cfcea5fee3fa2c86615d1
IF1_ECOLI,IF1_ECOLI.pdb,1-72,1,95264,c921aadaa0ebb02d31d4cf77dc1aafe0c3cfa33d75dead6b573f360601821b58
ILF3_HUMAN,ILF3_HUMAN.pdb,1-71,1,91376,d19797aff7257ffecbe2682724031d08436ab38db0b6f58fbcba33f8ebea1a94
ISDH_STAAW,ISDH_STAAW.pdb,1-55,1,78578,7fa5259cc1a37955c8ed5ed0d373d3315338267d0460f5dbb07167f335b16946
KCNE1_HUMAN,KCNE1_HUMAN.pdb,1-129,2,166625,3b1e72788462295b24b35908d8a6518a7755488e68ba5f09e270f5cd0e4e2d2a
KCNJ2_MOUSE,KCNJ2_MOUSE.pdb,1-428,2,547244,b2b39b02a4698c76f5388c4ace03247ad08ef645b2c3e0f699ce34c183281719
KKA2_KLEPN,KKA2_KLEPN.pdb,1-264,1,326114,4a0d9ff9ef1bfdb37c7f261fb00a60392aad40a48472181d61773b11b3a88eb8
LGK_LIPST,LGK_LIPST.pdb,1-439,1,546353,22b254549a90bf06049202cae218847e6cfaa5676388a27c659029ec221d2d50
MAFG_MOUSE,MAFG_MOUSE.pdb,1-41,1,58004,d7b3113f011b7f03a760ff6f67c29df5c3c7e08b8ab8bb29285e0c392d0ca2bc
MBD11_ARATH,MBD11_ARATH.pdb,1-66,1,84086,ff8ac306daa1980603573265dc9ac0ebc2290bb76ec1c46b274808a2098a8c58
MET_HUMAN,MET_HUMAN.pdb,1-287,1,373256,ee921a58956f2b3e7d23a9dae03e8f2b01d0b51123eb7dda7177a136c57264e9
MK01_HUMAN,MK01_HUMAN.pdb,1-360,1,472319,f4e73d38322754b881b56a9471e551809aa6769fd2ec7a533390f2c825ed97cc
MLAC_ECOLI,MLAC_ECOLI.pdb,1-211,1,142154,d77e306e842f7b015a4e69a6b37400ca0e9654f58539992dd7287d7d88e206de
MSH2_HUMAN,MSH2_HUMAN.pdb,1-934,1,1196459,dbbee449c8717c8a06fba5cc8fc9c5c66432f3040444bef1e302f014b76fb7d2
MTH3_HAEAE,MTH3_HAEAE.pdb,1-330,1,431495,492a10786aa26e230376b6813b566498bb1b03753d32e81f1bfaa32a7eed4884
MTHR_HUMAN,MTHR_HUMAN.pdb,1-656,1,434321,17f085e9450f4392923ba7216d29116ef4a669ae1ff02d81eeb1a7142f848df0
MYO3_YEAST,MYO3_YEAST.pdb,1-61,1,75905,8c6067da01f218256135ffb33427ff1cec29216c771f26a9a9e19ed00c7df787
NCAP_I34A1,NCAP_I34A1.pdb,1-498,1,633509,4277e0b2eae0f0af994f8ee97144914090f1c0ecf81c421705165689de2913b5
NKX31_HUMAN,NKX31_HUMAN.pdb,1-61,1,86273,092b35ded11e72a7d16b2ed063f623c79598d617fef8cfc7ec3dfa60d31d3e87
NPC1_HUMAN,NPC1_HUMAN.pdb,1-1278,1,1603646,7b67e92e61c03bcd0e11d707f56198191e0b0845122612f8ab0c0e6e7d01a75a
NUD15_HUMAN,NUD15_HUMAN.pdb,1-164,1,208745,6a9cfb3c510c5018e45a6f7b897b9cb129e4b00d3c6178cc93e0f72528001816
NUSA_ECOLI,NUSA_ECOLI.pdb,1-69,1,86921,3d199b0e42afc891ffc133ee86018678c38963072ba89148c3198bfcc2bd8641
NUSG_MYCTU,NUSG_MYCTU.pdb,1-55,1,68534,631e614bc8c2ce5a4eb30ea69df57fb7028fe42dd3c2b5aaf82c99c49217a679
OBSCN_HUMAN,OBSCN_HUMAN.pdb,1-65,1,85382,bdd0ef6ab781d10d58fe21af01840b638fce7d0194aed0873c5d8561d6eb0f21
ODP2_GEOSE,ODP2_GEOSE.pdb,1-44,1,58004,276d44f56d6303b97bb9c6389fb83163b8ee0371dd5d4d0a3f78769b3d5d7623
OTC_HUMAN,OTC_HUMAN.pdb,1-354,1,233765,5df8b48faed6159956c34d289273cfae7f201678a51fa7f236b2bb841e14b2de
OTU7A_HUMAN,OTU7A_HUMAN.pdb,1-42,1,50957,474ee21ee73e525015ef2cd9e96dff064a67006a812f94aec1b9f868aab9c6a5
OXDA_RHOTO,OXDA_RHOTO.pdb,1-364,2,450692,5a86cb9618c54ea4fb69780469c593c36e63474807b042162b09c1b3402b35bb
P53_HUMAN,P53_HUMAN.pdb,1-393,4,489005,023c761b2f96b8a85e7d7d74f15b4a5f74687367d6e7442701292173108dec8b
P84126_THETH,P84126_THETH.pdb,1-254,1,319553,7755f9ddd63851ae30c9c2ae832418f4f532549007ed6da02cfbda8dacf125d5
PABP_YEAST,PABP_YEAST.pdb,1-577,1,374462,1768fe74df0da7b93789c0fec61d84f646497cd705b2301c0872ef244e8b7edf
PAI1_HUMAN,PAI1_HUMAN.pdb,1-402,1,514034,c66129c53fba7c9b06078cafc8f515d6e5fbd8dbf50057463ef6cc40840234ca
PA_I34A1,PA_I34A1.pdb,1-716,1,933857,1202d29a6dad15921b823217ca198fb332222f372b3e580ffefa62f1b271219e
PHOT_CHLRE,PHOT_CHLRE.pdb,1-118,1,146699,9533c2b325cff85e71b9e96786169cc98d9f218367623c5bf145b0887bdfc22a
PIN1_HUMAN,PIN1_HUMAN.pdb,1-39,1,49661,dc3b545ead483a17f19ea2d01d3ff235fcd3c50b5709763322ebef65e543b487
PITX2_HUMAN,PITX2_HUMAN.pdb,1-52,1,72989,7853a7373b9b0845c01de3c504fb086d165434711a84abe57e469ce0a43c6cc5
PKN1_HUMAN,PKN1_HUMAN.pdb,1-71,1,94049,3fa533b6603e9af7458e7ef3fa2656952241c45a25ed981d29a173f17878d23e
POLG_CXB3N,POLG_CXB3N.pdb,1-2185,1,2751821,1fef642bb13334717bb2f9319113072f8f41e39669698624f4fdf4b540760fbb
POLG_DEN26,POLG_DEN26.pdb,1-900,1,1167380,9cd289f38dd986757d390bbfd0ee467b2660b6ac142f4e20b4144aa60774f0bb
POLG_HCVJF,POLG_HCVJF.pdb,1982-2225,1,300356,235125599c678db750b6668aea2d20412f9f89ffa87685b119b5d0bfe9277cb8
POLG_PESV,POLG_PESV.pdb,1-53,1,71450,9bbf382e4d7f8d3c3a95fc3d0819847f8d23253325f38ef8943f1d436fdb63fd
PPARG_HUMAN,PPARG_HUMAN.pdb,1-505,1,654731,47f4981ba01912080d1900cba079dd1ca60e611f3d4d1338c538473084a04874
PPM1D_HUMAN,PPM1D_HUMAN.pdb,1-605,1,757925,e9cd00ee5def40872b639d382f1917ec5bd5f9df704fc3ba882de136dbc27198
PR40A_HUMAN,PR40A_HUMAN.pdb,1-63,1,85220,6cb1f962065bd9dd161f79a1c3204059a290abb080f13ea1d0c27944c2b740df
PRKN_HUMAN,PRKN_HUMAN.pdb,1-465,1,298808,63f4f9526e701da62bda57609aaeb82e281aa951a29e1b8f00a83d0a95de06db
PSAE_PICP2,PSAE_PICP2.pdb,1-68,1,85625,2913f9f44c235af039f9da16bc3db13be892292f518ad3e1d217dd90746bd6af
PTEN_HUMAN,PTEN_HUMAN.pdb,1-403,2,529019,9e3e9345079866531f588bbac861171d63fc20a52b0ab5d1599010c1ea16d7a8
Q2N0S5_9HIV1,Q2N0S5_9HIV1.pdb,1-860,1,1107926,66ab207a13189437b635f74e89519bbdd2830aee39358a13ede96d3181a461f6
Q53Z42_HUMAN,Q53Z42_HUMAN.pdb,1-365,2,458063,e521db5ea9d6f8ae0de09884853cc1be766e96eece1352129f3823c724290afa
Q59976_STRSQ,Q59976_STRSQ.pdb,1-501,1,611315,64bf56cd17deda8a7fffc8f1b47aaeddf2339eb93ecb6d6ba24648ca5ba4a406
Q6WV12_9MAXI,Q6WV12_9MAXI.pdb,1-222,1,276461,c4eedf86a926b67a8ed1d4ce2089418f69de6f09075dfb97fa5aa3e5e4ea0131
Q837P4_ENTFA,Q837P4_ENTFA.pdb,1-589,1,385316,92dc0b8ee4c95ff0af0ab7c5f9fdf77c16bc4b3494805d1da0e73b60ea05beab
Q837P5_ENTFA,Q837P5_ENTFA.pdb,1-571,1,364904,718a4df0eac90552e0dc8552859bf0bd3e8780c6cd248ac362248a4cc9114491
Q8WTC7_9CNID,Q8WTC7_9CNID.pdb,1-238,1,303515,366b7dbd435486e3b06d29058ca43787ecd679f3887f1e70595e8cf718f63faa
R1AB_SARS2,R1AB_SARS2.pdb,1-306,1,379331,f0c28885744c5fa6278590dca83018ac5160a545ce355fda44ff20e939bd3fd1
RAD_ANTMA,RAD_ANTMA.pdb,1-54,1,72422,45450d861b08c83ca299097c2dc9edadb60dac3b21bb31bba925c0d88226c6f3
RASH_HUMAN,RASH_HUMAN.pdb,1-189,1,240011,4fcb156783699f2e42f0cb2b53d8b152f97aaf213b144554e97cc5910aa6df24
RASK_HUMAN,RASK_HUMAN.pdb,1-188,2,244547,129b61778ab9d4d2c9bf752bf9996406bdc223138e980fa7d19180955e991a8c
