policy,coverage,retained_tasks,failure_rate,mean_selection_gain_sd,median_selection_gain_sd,mean_selection_regret_sd,median_selection_regret_sd,worst_quintile_mean_gain_sd,confidence_threshold
variantshift,0.1,20,0.0,0.612056862135724,0.5519259409470855,0.11265128569652846,0.04000863851707617,0.33095472021921607,1.3823984029804788
variantshift,0.2,39,0.0,0.6662901454479583,0.6532089690526299,0.08617289330154156,0.03534590732082199,0.37728287310584835,0.9040567221707133
variantshift,0.30000000000000004,59,0.0,0.6857053181424235,0.6641159370826958,0.08427548211192369,0.041713449831372595,0.3884964520125076,0.6058065746771059
variantshift,0.4,78,0.0,0.6840611153234486,0.6726590903838702,0.07855844165459906,0.03453950854863769,0.3725970352263178,0.33370332776743644
variantshift,0.5,98,0.0,0.6782614052303815,0.6726590903838702,0.07860056661551476,0.03453950854863769,0.3637506847713878,0.049299452733932186
variantshift,0.6,117,0.0,0.660413365159179,0.6346781431518891,0.08571366038228241,0.038888963402940124,0.3497674147479805,-0.1301576023841531
variantshift,0.7000000000000001,137,0.0,0.6455434712351061,0.6199756830413491,0.08595765982922282,0.041713449831372595,0.344762059916227,-0.46032086309002357
variantshift,0.8,156,0.0,0.6471802730956282,0.6265983841715995,0.09248472766337112,0.045215169033932384,0.34269810925250793,-0.8582806844618567
variantshift,0.9,176,0.0,0.639253498448016,0.6196789761789615,0.09776111243332251,0.04579525127033229,0.33705643574475935,-1.5104642458869186
variantshift,1.0,195,0.0,0.62670669612605,0.608990718555994,0.09813511948447555,0.04926956427535756,0.3235184912794244,-3.583485930691233
decision_only,0.1,20,0.0,0.7575496380025701,0.8215617468073244,0.06389408857010903,0.013493745284744646,0.47023455695411265,0.7749378032818086
decision_only,0.2,39,0.0,0.717610180819314,0.7400148679935535,0.07798414626704475,0.028332143536607735,0.4624105565742347,0.7444570456087871
decision_only,0.30000000000000004,59,0.0,0.7183443373459754,0.7293540784145961,0.08971558660014228,0.044671369713330356,0.43338158200308663,0.7097055975582919
decision_only,0.4,78,0.0,0.7125643447923411,0.7240181450160956,0.09056043504959045,0.0394941868940733,0.4274177167099249,0.6857949900477948
decision_only,0.5,98,0.0,0.6814150411775448,0.68608865641712,0.09997527969880567,0.045215169033932384,0.37418832642328365,0.6501696410951323
decision_only,0.6,117,0.0,0.6811951668252225,0.6782463259372395,0.08994313125612825,0.03739207459630467,0.3750323274371807,0.6132814670760498
decision_only,0.7000000000000001,137,0.0,0.6482358839892712,0.6355583985787546,0.10215444448000745,0.045831534186130174,0.3326581626038574,0.5724851877478101
decision_only,0.8,156,0.0,0.6337451689068629,0.6211373354256217,0.09546952135569502,0.043192409772351475,0.3236955632375153,0.5347561280830522
decision_only,0.9,176,0.0,0.625072012958935,0.6081444380249144,0.09627380812489267,0.04579525127033229,0.3239079207473878,0.49848536834679213
decision_only,1.0,195,0.0,0.62670669612605,0.608990718555994,0.09813511948447558,0.04926956427535756,0.3235184912794244,0.3947142385099458
uncalibrated,0.1,20,0.0,0.7317746138961212,0.7668471499656919,0.0765879696795754,0.029446249861340396,0.47725030610322494,0.8328887856071551
uncalibrated,0.2,39,0.0,0.7204204862864901,0.761156357370611,0.0617074087209718,0.022392469565754414,0.46028243211746467,0.7852193151926321
uncalibrated,0.30000000000000004,59,0.01694915254237288,0.702147597377733,0.7565456543877545,0.06874607716374669,0.02339010135775277,0.39571944628924216,0.7407520395912701
uncalibrated,0.4,78,0.01282051282051282,0.7110822473641082,0.7588510058791827,0.07388666655503089,0.028009487879836925,0.3967832351095333,0.7084389250424943
uncalibrated,0.5,98,0.01020408163265306,0.7050832021808349,0.7476451475305224,0.0751322221789797,0.035922968738874184,0.3739468423419163,0.6757931695207775
