policy,risk_coverage_auc,regret_coverage_auc,utility_coverage_auc,failure_rate_at_50pct,mean_selection_gain_at_50pct,mean_selection_regret_at_50pct,worst_quintile_gain_at_50pct,tasks
always_best,0.0,0.10903179003783459,0.533002087973327,0.0,0.5927228463005577,0.12032334863330418,0.29207036959078264,195
decision_only,0.0,0.08230909568595988,0.6110310303879778,0.0,0.6814150411775448,0.09997527969880567,0.37418832642328365,195
elastic_net,0.015204167429141359,0.11618162804784532,0.5565997653205801,0.01020408163265306,0.6255120977970274,0.12149146967908611,0.3186861049609326,195
ensemble_agreement,0.0,0.08903605180736146,0.5790287771104067,0.0,0.6464968387229202,0.09463216224574102,0.37352233270920526,195
msa_depth,0.0,0.11096826580283889,0.5664137084505912,0.0,0.6464737881281319,0.12143679035586936,0.37256515250993366,195
oracle,0.0,0.0,0.8051867960222947,0.0,0.9094420171432154,0.0,0.7684094568460856,195
random,0.11608265432353908,0.2708041826934119,0.39817793943654883,0.12244897959183673,0.4353576106039476,0.31193219355846413,-0.003145579603621107,195
score_dispersion,0.0,0.08217456197296007,0.5267953229189094,0.0,0.5991360799785759,0.08522037103616381,0.29398311485369294,195
uncalibrated,0.007047620277171717,0.06848574537916478,0.6168468312831126,0.01020408163265306,0.7050832021808349,0.0751322221789797,0.3739468423419163,195
variantshift,0.0,0.07949177465822799,0.5926090371213028,0.0,0.6782614052303815,0.07860056661551476,0.3637506847713878,195
