policy,coverage,retained_tasks,failure_rate,mean_selection_gain_sd,median_selection_gain_sd,mean_selection_regret_sd,median_selection_regret_sd,worst_quintile_mean_gain_sd,confidence_threshold
variantshift,0.1,20,0.0,0.6870028600871091,0.7244235602944624,0.04666312893295034,0.03294041531405867,0.3761036941271506,1.3593647105150273
variantshift,0.2,39,0.0,0.726806063556199,0.7384778976294535,0.05926187245440684,0.03146418837472087,0.3919676105128954,0.9756405772386295
variantshift,0.30000000000000004,59,0.0,0.7386057495072152,0.7328594707402531,0.05921163540117128,0.03441664225339647,0.40346580779662805,0.6942124625780456
variantshift,0.4,78,0.0,0.7127682654317379,0.6965305204926033,0.06238134791172607,0.03503284506509213,0.36660743705116516,0.302592055278414
variantshift,0.5,98,0.0,0.7086004176275764,0.7109089972335044,0.06852442402838504,0.04721503720527387,0.3781743397504839,0.0014657295516188606
variantshift,0.6,117,0.0,0.7043375630713006,0.7134721254006806,0.07178302373165096,0.04744186825801067,0.3746184655822798,-0.15856753573759524
variantshift,0.7000000000000001,137,0.0,0.6952240161769652,0.7083458690663282,0.07419419224148512,0.04744186825801067,0.35873282392712996,-0.5774120278642392
variantshift,0.8,156,0.0,0.6920096731585633,0.6926988576769736,0.08489304971174527,0.05563176975588696,0.36466329586199364,-0.8444787445393745
variantshift,0.9,176,0.0,0.6848728529454389,0.6816078305155701,0.0916265805336602,0.060723072094642935,0.3708105944614834,-1.4026782192818368
variantshift,1.0,195,0.005128205128205128,0.6671110451581335,0.6721751199002578,0.10002268320834498,0.06250713832781485,0.3314431603194366,-3.6337077521211913
decision_only,0.1,20,0.0,0.6426389696963207,0.6744610224347654,0.10056321623061482,0.06127748086107003,0.2758123483407476,0.7849707740830629
decision_only,0.2,39,0.0,0.6953143287085135,0.7159876498486717,0.08912624232218118,0.05882598758287427,0.35908922419517814,0.7500960173350484
decision_only,0.30000000000000004,59,0.0,0.6984973519292164,0.7210517322627914,0.07560248179478553,0.053009407493016414,0.3540667108682765,0.7293930198464862
decision_only,0.4,78,0.0,0.709957816579269,0.7121667594575,0.07448006463876745,0.05022563787551354,0.3797203137066125,0.7074425742452621
decision_only,0.5,98,0.0,0.7027356362877702,0.7059326721718464,0.07821176675296475,0.05306967567285009,0.4039660031385609,0.6872753531043747
decision_only,0.6,117,0.0,0.6901905823869092,0.7026598492318943,0.09199384662151996,0.06248276693634358,0.3878538777626958,0.655387930809709
decision_only,0.7000000000000001,137,0.0072992700729927005,0.677200997475033,0.6877046067988193,0.10278839563100746,0.06654097490757621,0.33824862047176846,0.62977370190565
decision_only,0.8,156,0.00641025641025641,0.6686664378240865,0.6740862977216072,0.10399339007633192,0.06929608639464474,0.34049355854754637,0.5874467309858968
decision_only,0.9,176,0.005681818181818182,0.6722480007105447,0.6778567025989932,0.10077045774690423,0.06341719275860744,0.33369779161065255,0.5318611789404457
