panel_id,target_id,protein_id,sequence_sha256,sequence_length,family_id,exact_sequence_unseen,mmseqs_family_unseen,foldseek_structure_family_status,foldseek_structure_family_unseen,foldseek_structure_family_overlap_ids,pfam_clan_status,pfam_clan_unseen,pfam_clan_overlap_ids
mavedb-complement-v1,mavedb-287332153da38b59,KCNH2 Wildtype Sequence (ENST00000262186.10),287332153da38b59cc1be9554cc3a29f14d3b9e2a33150b4d54137773b22d1f7,1159,confirmation-family-bba7b8c63581,True,True,undocumented,,,undocumented,,
mavedb-complement-v1,mavedb-32f5d032de97ea22,F9,32f5d032de97ea22d5e46e0ad5aeeaf19f1b5f3636dc0424cee6bf92e6035a2a,461,confirmation-family-5a2c62589937,True,True,undocumented,,,undocumented,,
mavedb-complement-v1,mavedb-93100c3b9be6e587,SGCB,93100c3b9be6e587269b290ea9d30dffb5a55a20786d393f46bc586b76f05cfc,318,confirmation-family-e2cacb14daec,True,True,undocumented,,,undocumented,,
mavedb-complement-v1,mavedb-a5ca23fa1e625d66,KCNH2,a5ca23fa1e625d664becc095a35cbee13d76f3d13157d87cb6be9bcf1ab522d6,1158,confirmation-family-bba7b8c63581,True,True,undocumented,,,undocumented,,
mavedb-complement-v1,mavedb-a5cec053cd1989b7,TP53,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,confirmation-family-a338d5377fcc,False,False,undocumented,,,undocumented,,
mavedb-complement-v1,mavedb-aebeb991234cd8a3,PAX6,aebeb991234cd8a3f1f9119514f08bdc27db6cf14e01c7773710111bf11162b7,422,confirmation-family-03c4b6ad1a70,True,True,undocumented,,,undocumented,,
mavedb-complement-v1,mavedb-c6dd0092b775896c,KCNQ4,c6dd0092b775896c1534636ea95779a84e074f590068fcc7fec370765e4e3a99,695,confirmation-family-38ef447f793b,True,True,undocumented,,,undocumented,,
mavedb-complement-v1,mavedb-e3ca60f18e3b6e98,TP53,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,393,confirmation-family-a338d5377fcc,False,False,undocumented,,,undocumented,,
venusmuthub-v1,venus-00073064a60d4804,O52063,00073064a60d4804f552f42f63eb3fecfa405b8e656960dc44978ca077afc00b,403,confirmation-family-773cd1c598ba,True,True,undocumented,,,undocumented,,
venusmuthub-v1,venus-06f736fe976e45ee,Q4KAC6,06f736fe976e45ee60eb4b252edca9d9ae61bdbaa3fd82f063a37bbad1335a02,295,confirmation-family-22c4d1c5c2a1,True,True,undocumented,,,undocumented,,
venusmuthub-v1,venus-07739b7c44051d98,Q8KLM3,07739b7c44051d986104474f7bee6b6966beccd30f798b8b1d2aa8190e44de52,270,confirmation-family-5deabf66b792,True,True,undocumented,,,undocumented,,
venusmuthub-v1,venus-0ed16c1325aea2c9,Q65EX3,0ed16c1325aea2c9b0a3dcce63561f70707430181524385d8fa0e672dbf46a53,249,confirmation-family-f6ba2d84c70c,True,True,undocumented,,,undocumented,,
venusmuthub-v1,venus-12c59fe9dab495ee,A0A0K8P6T7,12c59fe9dab495ee536f1c2a5fc28c66e212192096c2351044d4dc139042f5af,290,confirmation-family-15fcc23a42cc,True,True,undocumented,,,undocumented,,
venusmuthub-v1,venus-1972eefa4a6ef629,A0A0I9QGZ2,1972eefa4a6ef629e129580c3dd83a640ac095821bc0d4d5359978bc457fb894,668,confirmation-family-9de88500d1a4,True,True,undocumented,,,undocumented,,
venusmuthub-v1,venus-1a8ae9058bbabf14,P05150,1a8ae9058bbabf14cd6eae451affcf9f6526fbe2f89d8a712c0d8b260074b075,338,confirmation-family-fb6405183362,True,False,undocumented,,,undocumented,,
venusmuthub-v1,venus-1b3d6bf42e0e7f84,Q88LS1,1b3d6bf42e0e7f84175a702def01f93a21ba8aa594f5f9a611b50f461a26a8c6,377,confirmation-family-166432f40c96,True,True,undocumented,,,undocumented,,
