fold,repeat,assay_id,uniprot_id,model,calibration_method,retained_fraction,retained_rows,mae,normalized_mae,uncertainty_threshold,family_id
0,0,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,cross_protein_histgb,mondrian_substitution,0.25,250,0.21915679870435695,0.7591817999511775,0.34034511698229075,cssc_a5d49b9502ef
0,0,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,cross_protein_histgb,mondrian_substitution,0.25,250,0.21923571585762183,0.7594551771259531,0.34034511698229075,cssc_1bf288bd319a
0,0,A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,cross_protein_histgb,mondrian_substitution,0.25,250,0.19971613574217945,0.6918373343123085,0.34034511698229075,cssc_97ae43962602
0,0,A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,cross_protein_histgb,mondrian_substitution,0.25,250,0.23127357154326894,0.80120561263777,0.3326222666918771,cssc_97ae43962602
0,0,BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST,cross_protein_histgb,mondrian_substitution,0.25,250,0.1725740747140455,0.5978144298551182,0.34034511698229075,cssc_563b32cd16bb
0,0,BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,cross_protein_histgb,mondrian_substitution,0.25,223,0.19063974456136665,0.6603958639085572,0.3326222666918771,cssc_39e5faa59a41
0,0,C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,cross_protein_histgb,mondrian_substitution,0.25,250,0.20823128897217605,0.7213347051181743,0.34034511698229075,cssc_97ae43962602
0,0,CALM1_HUMAN_Weile_2017,CALM1_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.23354004203963397,0.8090068510404488,0.3326222666918771,cssc_16d6e5408850
0,0,CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,cross_protein_histgb,mondrian_substitution,0.25,250,0.23558902424622613,0.8161047274525454,0.3236278034665128,cssc_563b32cd16bb
0,0,CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE,cross_protein_histgb,mondrian_substitution,0.25,250,0.1981277898151199,0.6863351398698861,0.34034511698229075,cssc_16d6e5408850
0,0,CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,230,0.16309216658915016,0.5649681736329389,0.34034511698229075,cssc_563b32cd16bb
0,0,CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,cross_protein_histgb,mondrian_substitution,0.25,250,0.2095233313496682,0.7273509313402597,0.34034511698229075,cssc_563b32cd16bb
0,0,CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.17279835660851434,0.5985913655164617,0.34034511698229075,cssc_1d3a8e32222c
0,0,CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.17490524344868488,0.6058898392716469,0.34034511698229075,cssc_1d3a8e32222c
0,0,DLG4_HUMAN_Faure_2021,DLG4_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.2094340425017337,0.7255012198819014,0.34509510539417604,cssc_563b32cd16bb
0,0,DLG4_RAT_McLaughlin_2012,DLG4_RAT,cross_protein_histgb,mondrian_substitution,0.25,250,0.21294376302716056,0.737659281932878,0.34034511698229075,cssc_563b32cd16bb
0,0,DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,cross_protein_histgb,mondrian_substitution,0.25,250,0.1514450086689343,0.5246211614452528,0.34034511698229075,cssc_563b32cd16bb
0,0,DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.1676047254282339,0.5806000903607828,0.3326222666918771,cssc_3bc8071abc2c
0,0,DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,cross_protein_histgb,mondrian_substitution,0.25,250,0.14572933142179376,0.5048214647619764,0.34034511698229075,cssc_563b32cd16bb
0,0,ENV_HV1BR_Haddox_2016,ENV_HV1BR,cross_protein_histgb,mondrian_substitution,0.25,250,0.26164233984851715,0.9063561052358354,0.34034511698229075,cssc_1bf288bd319a
0,0,GRB2_HUMAN_Faure_2021,GRB2_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.16488742197158346,0.5711870703612694,0.34034511698229075,cssc_563b32cd16bb
0,0,HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.19506674061542062,0.6757313490912951,0.34034511698229075,cssc_563b32cd16bb
0,0,HXK4_HUMAN_Gersing_2022_activity,HXK4_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.1909052525530021,0.6613155243649804,0.34034511698229075,cssc_f7eef26f497d
0,0,HXK4_HUMAN_Gersing_2023_abundance,HXK4_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.217684230543397,0.7540806716558309,0.34034511698229075,cssc_f7eef26f497d
0,0,KKA2_KLEPN_Melnikov_2014,KKA2_KLEPN,cross_protein_histgb,mondrian_substitution,0.25,250,0.17764445978164986,0.6153788083543914,0.34034511698229075,cssc_563b32cd16bb
0,0,LGK_LIPST_Klesmith_2015,LGK_LIPST,cross_protein_histgb,mondrian_substitution,0.25,250,0.20739318283288924,0.7184316904032724,0.34034511698229075,cssc_f7eef26f497d
0,0,MET_HUMAN_Estevam_2023,MET_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.1762207013045209,0.6104467212331356,0.34034511698229075,cssc_563b32cd16bb
0,0,MK01_HUMAN_Brenan_2016,MK01_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.24968550394840758,0.864936389972466,0.34034511698229075,cssc_563b32cd16bb
0,0,MSH2_HUMAN_Jia_2020,MSH2_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.22065230585312748,0.7643654388051072,0.34034511698229075,cssc_563b32cd16bb
0,0,MTHR_HUMAN_Weile_2021,MTHR_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.22049011597087972,0.7638006954068994,0.34034511698229075,cssc_09853598f5f0
0,0,MYO3_YEAST_Tsuboyama_2023_2BTT,MYO3_YEAST,cross_protein_histgb,mondrian_substitution,0.25,237,0.17942230462046516,0.6215374417547984,0.34034511698229075,cssc_563b32cd16bb
0,0,OBSCN_HUMAN_Tsuboyama_2023_1V1C,OBSCN_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.1556178482369568,0.5390763089601258,0.34034511698229075,cssc_563b32cd16bb
0,0,ODP2_GEOSE_Tsuboyama_2023_1W4G,ODP2_GEOSE,cross_protein_histgb,mondrian_substitution,0.25,168,0.1667529629626408,0.5776498536591147,0.34034511698229075,cssc_a7d25cc6753c
0,0,P84126_THETH_Chan_2017,P84126_THETH,cross_protein_histgb,mondrian_substitution,0.25,250,0.21377443929423878,0.7405367529244209,0.34509510539417604,cssc_09853598f5f0
0,0,PHOT_CHLRE_Chen_2023,PHOT_CHLRE,cross_protein_histgb,mondrian_substitution,0.25,250,0.1719433452453944,0.5956295177915927,0.34034511698229075,cssc_3193156583c0
0,0,POLG_PESV_Tsuboyama_2023_2MXD,POLG_PESV,cross_protein_histgb,mondrian_substitution,0.25,249,0.210580121698446,0.729471308102134,0.3326222666918771,cssc_dc63c2b3ba7c
0,0,PPARG_HUMAN_Majithia_2016,PPARG_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.16349126474703102,0.5663507716717769,0.34034511698229075,cssc_6d98a5313455
0,0,PR40A_HUMAN_Tsuboyama_2023_1UZC,PR40A_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.17985871449273247,0.6230491748955401,0.34034511698229075,cssc_f662b12b6174
0,0,PSAE_PICP2_Tsuboyama_2023_1PSE,PSAE_PICP2,cross_protein_histgb,mondrian_substitution,0.25,250,0.17098815682868856,0.592320646400085,0.34034511698229075,cssc_563b32cd16bb
0,0,Q2N0S5_9HIV1_Haddox_2018,Q2N0S5_9HIV1,cross_protein_histgb,mondrian_substitution,0.25,250,0.23010763492914682,0.7971166283720001,0.34034511698229075,cssc_1bf288bd319a
