panel_id,target_id,protein_id,pfam_accession,pfam_name,clan_accession,clan_name,pfam_clan_family_id,domain_start,domain_end,annotation_source
human-domainome-v1,A1X283_PF00018_155,A1X283,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,A1X283_PF00018_222,A1X283,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,O00308_PF00397_440,O00308,PF00397,,CL0680,WW,clan:CL0680,,,panel
human-domainome-v1,O00330_PF02817_181,O00330,PF02817,,,,pfam:PF02817,,,panel
human-domainome-v1,O14529_PF02376_1036,O14529,PF02376,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,O14529_PF02376_895,O14529,PF02376,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,O14640_PF00778_4,O14640,PF00778,,CL0072,Ubiquitin,clan:CL0072,,,panel
human-domainome-v1,O14776_PF01846_645,O14776,PF01846,,CL0584,FF,clan:CL0584,,,panel
human-domainome-v1,O14776_PF01846_727,O14776,PF01846,,CL0584,FF,clan:CL0584,,,panel
human-domainome-v1,O14776_PF01846_793,O14776,PF01846,,CL0584,FF,clan:CL0584,,,panel
human-domainome-v1,O14776_PF01846_897,O14776,PF01846,,CL0584,FF,clan:CL0584,,,panel
human-domainome-v1,O14776_PF01846_955,O14776,PF01846,,CL0584,FF,clan:CL0584,,,panel
human-domainome-v1,O14813_PF00046_92,O14813,PF00046,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,O14901_PF00096_395,O14901,PF00096,,CL0361,C2H2-zf,clan:CL0361,,,panel
human-domainome-v1,O14936_PF00595_488,O14936,PF00595,,CL0466,PDZ-like,clan:CL0466,,,panel
human-domainome-v1,O15151_PF00641_299,O15151,PF00641,,CL0167,Zn_Beta_Ribbon,clan:CL0167,,,panel
human-domainome-v1,O15265_PF08313_334,O15265,PF08313,,,,pfam:PF08313,,,panel
human-domainome-v1,O15266_PF00046_119,O15266,PF00046,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,O15405_PF00505_256,O15405,PF00505,,CL0114,HMG-box,clan:CL0114,,,panel
human-domainome-v1,O15541_PF00642_198,O15541,PF00642,,CL0537,CCCH_zf,clan:CL0537,,,panel
human-domainome-v1,O43167_PF00096_351,O43167,PF00096,,CL0361,C2H2-zf,clan:CL0361,,,panel
human-domainome-v1,O43167_PF00096_435,O43167,PF00096,,CL0361,C2H2-zf,clan:CL0361,,,panel
human-domainome-v1,O43186_PF00046_41,O43186,PF00046,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,O43295_PF00018_745,O43295,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,O43353_PF00619_438,O43353,PF00619,,CL0041,Death,clan:CL0041,,,panel
human-domainome-v1,O43395_PF01480_10,O43395,PF01480,,CL0805,PWI-like,clan:CL0805,,,panel
human-domainome-v1,O43586_PF00018_361,O43586,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,O60341_PF04433_186,O60341,PF04433,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,O60481_PF00096_389,O60481,PF00096,,CL0361,C2H2-zf,clan:CL0361,,,panel
human-domainome-v1,O60885_PF17035_607,O60885,PF17035,,CL0665,BET,clan:CL0665,,,panel
human-domainome-v1,O75112_PF00595_1,O75112,PF00595,,CL0466,PDZ-like,clan:CL0466,,,panel
human-domainome-v1,O75360_PF00046_71,O75360,PF00046,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,O75366_PF02209_785,O75366,PF02209,,,,pfam:PF02209,,,panel
human-domainome-v1,O75369_PF00630_1423,O75369,PF00630,,CL0159,E-set,clan:CL0159,,,panel
human-domainome-v1,O75369_PF00630_2109,O75369,PF00630,,CL0159,E-set,clan:CL0159,,,panel
human-domainome-v1,O75382_PF00643_111,O75382,PF00643,,CL0782,BBOX,clan:CL0782,,,panel
human-domainome-v1,O75400_PF00397_176,O75400,PF00397,,CL0680,WW,clan:CL0680,,,panel
human-domainome-v1,O75400_PF01846_395,O75400,PF01846,,CL0584,FF,clan:CL0584,,,panel
human-domainome-v1,O75400_PF01846_459,O75400,PF01846,,CL0584,FF,clan:CL0584,,,panel
human-domainome-v1,O75400_PF01846_670,O75400,PF01846,,CL0584,FF,clan:CL0584,,,panel
human-domainome-v1,O75400_PF01846_745,O75400,PF01846,,CL0584,FF,clan:CL0584,,,panel
human-domainome-v1,O75478_PF04433_375,O75478,PF04433,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,O75534_PF00313_184,O75534,PF00313,,CL0021,OB,clan:CL0021,,,panel
human-domainome-v1,O75534_PF00313_23,O75534,PF00313,,CL0021,OB,clan:CL0021,,,panel
human-domainome-v1,O75534_PF00313_347,O75534,PF00313,,CL0021,OB,clan:CL0021,,,panel
human-domainome-v1,O75554_PF06220_8,O75554,PF06220,,CL0361,C2H2-zf,clan:CL0361,,,panel
human-domainome-v1,O75970_PF00595_1003,O75970,PF00595,,CL0466,PDZ-like,clan:CL0466,,,panel
human-domainome-v1,O75970_PF00595_1860,O75970,PF00595,,CL0466,PDZ-like,clan:CL0466,,,panel
human-domainome-v1,O75970_PF00595_372,O75970,PF00595,,CL0466,PDZ-like,clan:CL0466,,,panel
human-domainome-v1,O75970_PF00595_693,O75970,PF00595,,CL0466,PDZ-like,clan:CL0466,,,panel
human-domainome-v1,O94830_PF00536_389,O94830,PF00536,,CL0003,SAM,clan:CL0003,,,panel
human-domainome-v1,O94885_PF00536_630,O94885,PF00536,,CL0003,SAM,clan:CL0003,,,panel
human-domainome-v1,O94929_PF00412_149,O94929,PF00412,,CL0839,Tbcl_zf,clan:CL0839,,,panel
human-domainome-v1,O94929_PF00412_210,O94929,PF00412,,CL0839,Tbcl_zf,clan:CL0839,,,panel
human-domainome-v1,O94993_PF00505_338,O94993,PF00505,,CL0114,HMG-box,clan:CL0114,,,panel
human-domainome-v1,O95076_PF00046_155,O95076,PF00046,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,O95155_PF04564_1229,O95155,PF04564,,CL0229,RING,clan:CL0229,,,panel
human-domainome-v1,O95218_PF00641_11,O95218,PF00641,,CL0167,Zn_Beta_Ribbon,clan:CL0167,,,panel
