panel_id,target_id,status,structure_family_id,exclusion_reason,outcomes_accessed
human-domainome-v1,A1X283_PF00018_155,audited,foldseek-family-8842538ce269,,False
human-domainome-v1,A1X283_PF00018_222,audited,foldseek-family-8842538ce269,,False
human-domainome-v1,O00308_PF00397_440,audited,foldseek-family-7f65936f9f83,,False
human-domainome-v1,O00330_PF02817_181,audited,foldseek-family-8f2f4bcd5b50,,False
human-domainome-v1,O14529_PF02376_1036,audited,foldseek-family-05163d54f556,,False
human-domainome-v1,O14529_PF02376_895,audited,foldseek-family-05163d54f556,,False
human-domainome-v1,O14640_PF00778_4,audited,foldseek-family-134047f4bde2,,False
human-domainome-v1,O14776_PF01846_645,audited,foldseek-family-6c7cc5cc429c,,False
human-domainome-v1,O14776_PF01846_727,audited,foldseek-family-6c7cc5cc429c,,False
human-domainome-v1,O14776_PF01846_793,audited,foldseek-family-6c7cc5cc429c,,False
human-domainome-v1,O14776_PF01846_897,audited,foldseek-family-6c7cc5cc429c,,False
human-domainome-v1,O14776_PF01846_955,audited,foldseek-family-6c7cc5cc429c,,False
human-domainome-v1,O14813_PF00046_92,audited,foldseek-family-8fdcdcc01614,,False
human-domainome-v1,O14901_PF00096_395,audited,foldseek-family-4a10d7d27713,,False
human-domainome-v1,O14936_PF00595_488,audited,foldseek-family-2d3185287d98,,False
human-domainome-v1,O15151_PF00641_299,audited,foldseek-family-c0c5fe279857,,False
human-domainome-v1,O15265_PF08313_334,audited,foldseek-family-9ac9ee63b91c,,False
human-domainome-v1,O15266_PF00046_119,audited,foldseek-family-8fdcdcc01614,,False
human-domainome-v1,O15405_PF00505_256,audited,foldseek-family-a7e0e568ea58,,False
human-domainome-v1,O15541_PF00642_198,audited,foldseek-family-9cc45a3ec4a0,,False
human-domainome-v1,O43167_PF00096_351,audited,foldseek-family-4a10d7d27713,,False
human-domainome-v1,O43167_PF00096_435,audited,foldseek-family-4a10d7d27713,,False
human-domainome-v1,O43186_PF00046_41,audited,foldseek-family-8fdcdcc01614,,False
human-domainome-v1,O43295_PF00018_745,audited,foldseek-family-8842538ce269,,False
human-domainome-v1,O43353_PF00619_438,audited,foldseek-family-f7c985c4645a,,False
human-domainome-v1,O43395_PF01480_10,audited,foldseek-family-aee5819796fb,,False
human-domainome-v1,O43586_PF00018_361,audited,foldseek-family-8842538ce269,,False
human-domainome-v1,O60341_PF04433_186,audited,foldseek-family-b0d21f582eff,,False
human-domainome-v1,O60481_PF00096_389,audited,foldseek-family-4a10d7d27713,,False
human-domainome-v1,O60885_PF17035_607,audited,foldseek-family-f6b1f402d57f,,False
human-domainome-v1,O75112_PF00595_1,audited,foldseek-family-2d3185287d98,,False
human-domainome-v1,O75360_PF00046_71,audited,foldseek-family-8fdcdcc01614,,False
human-domainome-v1,O75366_PF02209_785,audited,foldseek-family-a76cc157cc10,,False
human-domainome-v1,O75369_PF00630_1423,audited,foldseek-family-e36266d8f946,,False
human-domainome-v1,O75369_PF00630_2109,audited,foldseek-family-c96e61a2f576,,False
human-domainome-v1,O75382_PF00643_111,audited,foldseek-family-ac5efd723589,,False
human-domainome-v1,O75400_PF00397_176,audited,foldseek-family-c755ac285d79,,False
human-domainome-v1,O75400_PF01846_395,audited,foldseek-family-6c7cc5cc429c,,False
human-domainome-v1,O75400_PF01846_459,audited,foldseek-family-6c7cc5cc429c,,False
human-domainome-v1,O75400_PF01846_670,audited,foldseek-family-0b7a3395b2b6,,False
human-domainome-v1,O75400_PF01846_745,audited,foldseek-family-6c7cc5cc429c,,False
human-domainome-v1,O75478_PF04433_375,audited,foldseek-family-92795dada19d,,False
human-domainome-v1,O75534_PF00313_184,audited,foldseek-family-a3439dbc18b9,,False
human-domainome-v1,O75534_PF00313_23,audited,foldseek-family-a3439dbc18b9,,False
human-domainome-v1,O75534_PF00313_347,audited,foldseek-family-a3439dbc18b9,,False
human-domainome-v1,O75554_PF06220_8,audited,foldseek-family-dceb007ba288,,False
human-domainome-v1,O75970_PF00595_1003,audited,foldseek-family-2d3185287d98,,False
human-domainome-v1,O75970_PF00595_1860,audited,foldseek-family-2d3185287d98,,False
human-domainome-v1,O75970_PF00595_372,audited,foldseek-family-2d3185287d98,,False
human-domainome-v1,O75970_PF00595_693,audited,foldseek-family-2d3185287d98,,False
human-domainome-v1,O94830_PF00536_389,audited,foldseek-family-4c49d3340b9a,,False
human-domainome-v1,O94885_PF00536_630,audited,foldseek-family-4c49d3340b9a,,False
human-domainome-v1,O94929_PF00412_149,audited,foldseek-family-fc04d2f8ea8a,,False
human-domainome-v1,O94929_PF00412_210,audited,foldseek-family-fc04d2f8ea8a,,False
human-domainome-v1,O94993_PF00505_338,audited,foldseek-family-a7e0e568ea58,,False
human-domainome-v1,O95076_PF00046_155,audited,foldseek-family-8fdcdcc01614,,False
human-domainome-v1,O95155_PF04564_1229,audited,foldseek-family-fa89bd0319e7,,False
human-domainome-v1,O95218_PF00641_11,audited,foldseek-family-7b5949dffa50,,False
human-domainome-v1,O95218_PF00641_9,audited,foldseek-family-7b5949dffa50,,False
human-domainome-v1,O95267_PF00130_539,audited,foldseek-family-659fe476592c,,False
human-domainome-v1,O95343_PF00046_212,audited,foldseek-family-8fdcdcc01614,,False
human-domainome-v1,O95475_PF00046_134,audited,foldseek-family-8fdcdcc01614,,False
human-domainome-v1,O95718_PF00105_100,audited,foldseek-family-b6f033cc1c5b,,False
human-domainome-v1,O95789_PF06467_427,audited,foldseek-family-aed4658f5dde,,False
human-domainome-v1,O95793_PF00035_183,audited,foldseek-family-e9ecc65ecf3b,,False
human-domainome-v1,O95817_PF00397_11,audited,foldseek-family-48d9af238b10,,False
human-domainome-v1,O95835_PF00627_98,audited,foldseek-family-b17f3da2e271,,False
human-domainome-v1,P00519_PF00018_64,audited,foldseek-family-8842538ce269,,False
human-domainome-v1,P02549_PF00018_979,audited,foldseek-family-8842538ce269,,False
human-domainome-v1,P02585_PF13499_1,audited,foldseek-family-c7a672322d4c,,False
human-domainome-v1,P04049_PF02196_58,audited,foldseek-family-473f603e3d91,,False
human-domainome-v1,P04150_PF00105_419,audited,foldseek-family-b6f033cc1c5b,,False
human-domainome-v1,P05813_PF00030_31,audited,foldseek-family-a6a5f535b121,,False
human-domainome-v1,P06239_PF00018_63,audited,foldseek-family-8842538ce269,,False
human-domainome-v1,P06241_PF00018_83,audited,foldseek-family-8842538ce269,,False
human-domainome-v1,P07315_PF00030_4,audited,foldseek-family-a6a5f535b121,,False
human-domainome-v1,P07315_PF00030_91,audited,foldseek-family-a6a5f535b121,,False
human-domainome-v1,P07316_PF00030_1,audited,foldseek-family-a6a5f535b121,,False
human-domainome-v1,P07814_PF00458_827,audited,foldseek-family-0feafb0c9795,,False
human-domainome-v1,P08151_PF00096_363,audited,foldseek-family-4a10d7d27713,,False
human-domainome-v1,P08235_PF00105_600,audited,foldseek-family-b6f033cc1c5b,,False
human-domainome-v1,P08631_PF00018_80,audited,foldseek-family-8842538ce269,,False
human-domainome-v1,P09086_PF00157_200,audited,foldseek-family-668cb0514ee7,,False
human-domainome-v1,P09327_PF02209_793,audited,foldseek-family-a76cc157cc10,,False
human-domainome-v1,P0CI26_PF00643_87,audited,foldseek-family-ac5efd723589,,False
human-domainome-v1,P10070_PF00096_565,audited,foldseek-family-4a10d7d27713,,False
human-domainome-v1,P10071_PF00096_608,audited,foldseek-family-4a10d7d27713,,False
human-domainome-v1,P10242_PF00249_143,audited,foldseek-family-7856a192fa5a,,False
human-domainome-v1,P10242_PF00249_40,audited,foldseek-family-b9d7186d8578,,False
human-domainome-v1,P10275_PF00105_557,audited,foldseek-family-b6f033cc1c5b,,False
human-domainome-v1,P10398_PF02196_21,audited,foldseek-family-473f603e3d91,,False
human-domainome-v1,P10589_PF00105_83,audited,foldseek-family-b6f033cc1c5b,,False
human-domainome-v1,P10826_PF00105_85,audited,foldseek-family-b6f033cc1c5b,,False
human-domainome-v1,P11182_PF02817_171,audited,foldseek-family-3899668f7e4d,,False
human-domainome-v1,P11308_PF02198_117,audited,foldseek-family-c20c80a98266,,False
human-domainome-v1,P11844_PF00030_85,audited,foldseek-family-a6a5f535b121,,False
human-domainome-v1,P12931_PF00018_87,audited,foldseek-family-8842538ce269,,False
human-domainome-v1,P12956_PF02037_558,audited,foldseek-family-fbc917bdf874,,False
human-domainome-v1,P13796_PF13499_13,audited,foldseek-family-23ef80bfabae,,False
human-domainome-v1,P13984_PF02270_177,audited,foldseek-family-9a458b240458,,False
human-domainome-v1,P14598_PF00018_157,audited,foldseek-family-8842538ce269,,False
human-domainome-v1,P14653_PF00046_208,audited,foldseek-family-8fdcdcc01614,,False
human-domainome-v1,P14859_PF00157_285,audited,foldseek-family-668cb0514ee7,,False
human-domainome-v1,P14921_PF02198_55,audited,foldseek-family-c20c80a98266,,False
human-domainome-v1,P15498_PF00018_592,audited,foldseek-family-8842538ce269,,False
