model_id,dms_id,target_id,shared_variants,reference_variants,parity_spearman,minimum_variants_pass,correlation_pass,parity_pass
esm1v_ensemble,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,922,922,1.0,True,True,True
esm1v_ensemble,DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,1008,1008,0.9999999999999998,True,True,True
esm1v_ensemble,MET_HUMAN_Estevam_2023,MET_HUMAN,5393,5393,1.0,True,True,True
esm1v_ensemble,MLAC_ECOLI_MacRae_2023,MLAC_ECOLI,4007,4007,0.999999999813481,True,True,True
esm1v_ensemble,SCIN_STAAR_Tsuboyama_2023_2QFF,SCIN_STAAR,1212,1212,1.0,True,True,True
esm1v_ensemble,SOX30_HUMAN_Tsuboyama_2023_7JJK,SOX30_HUMAN,1010,1010,0.999999988352907,True,True,True
esm1v_ensemble,TPMT_HUMAN_Matreyek_2018,TPMT_HUMAN,3648,3648,0.9999999997528182,True,True,True
esm1v_ensemble,VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7,1047,1047,1.0,True,True,True
esm2_8m,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,922,922,1.0,True,True,True
esm2_8m,DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,1008,1008,0.9999999999999998,True,True,True
esm2_8m,MET_HUMAN_Estevam_2023,MET_HUMAN,5393,5393,0.9999999994453387,True,True,True
esm2_8m,MLAC_ECOLI_MacRae_2023,MLAC_ECOLI,4007,4007,0.999999999580332,True,True,True
esm2_8m,SCIN_STAAR_Tsuboyama_2023_2QFF,SCIN_STAAR,1212,1212,1.0,True,True,True
esm2_8m,SOX30_HUMAN_Tsuboyama_2023_7JJK,SOX30_HUMAN,1010,1010,1.0,True,True,True
esm2_8m,TPMT_HUMAN_Matreyek_2018,TPMT_HUMAN,3648,3648,0.9999999988876811,True,True,True
esm2_8m,VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7,1047,1047,1.0,True,True,True
esm2_35m,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,922,922,1.0,True,True,True
esm2_35m,DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,1008,1008,0.9999999999999998,True,True,True
esm2_35m,MET_HUMAN_Estevam_2023,MET_HUMAN,5393,5393,0.99999999969398,True,True,True
esm2_35m,MLAC_ECOLI_MacRae_2023,MLAC_ECOLI,4007,4007,0.9999999994404428,True,True,True
esm2_35m,SCIN_STAAR_Tsuboyama_2023_2QFF,SCIN_STAAR,1212,1212,0.9999999983149465,True,True,True
esm2_35m,SOX30_HUMAN_Tsuboyama_2023_7JJK,SOX30_HUMAN,1010,1010,1.0,True,True,True
esm2_35m,TPMT_HUMAN_Matreyek_2018,TPMT_HUMAN,3648,3648,0.9999999987640902,True,True,True
esm2_35m,VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7,1047,1047,1.0,True,True,True
esm2_150m,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,922,922,1.0,True,True,True
esm2_150m,DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,1008,1008,0.9999999999999998,True,True,True
esm2_150m,MET_HUMAN_Estevam_2023,MET_HUMAN,5393,5393,0.9999999994835911,True,True,True
esm2_150m,MLAC_ECOLI_MacRae_2023,MLAC_ECOLI,4007,4007,0.9999999997668513,True,True,True
esm2_150m,SCIN_STAAR_Tsuboyama_2023_2QFF,SCIN_STAAR,1212,1212,1.0,True,True,True
esm2_150m,SOX30_HUMAN_Tsuboyama_2023_7JJK,SOX30_HUMAN,1010,1010,1.0,True,True,True
esm2_150m,TPMT_HUMAN_Matreyek_2018,TPMT_HUMAN,3648,3648,0.9999999992584544,True,True,True
esm2_150m,VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7,1047,1047,1.0,True,True,True
esm2_650m,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,922,922,0.9999999846895137,True,True,True
esm2_650m,DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,1008,1008,0.9999999882834412,True,True,True
esm2_650m,MET_HUMAN_Estevam_2023,MET_HUMAN,5393,5393,0.9999999996174749,True,True,True
esm2_650m,MLAC_ECOLI_MacRae_2023,MLAC_ECOLI,4007,4007,0.9999999994870726,True,True,True
esm2_650m,SCIN_STAAR_Tsuboyama_2023_2QFF,SCIN_STAAR,1212,1212,1.0,True,True,True
esm2_650m,SOX30_HUMAN_Tsuboyama_2023_7JJK,SOX30_HUMAN,1010,1010,1.0,True,True,True
esm2_650m,TPMT_HUMAN_Matreyek_2018,TPMT_HUMAN,3648,3648,0.9999999991966586,True,True,True
esm2_650m,VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7,1047,1047,0.9999999895445771,True,True,True
esm_if1,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,922,922,0.999999923447567,True,True,True
esm_if1,DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,1008,1008,0.9999999882834412,True,True,True
esm_if1,MET_HUMAN_Estevam_2023,MET_HUMAN,5393,5393,0.9999999985272782,True,True,True
esm_if1,MLAC_ECOLI_MacRae_2023,MLAC_ECOLI,4007,4007,0.9999999987876261,True,True,True
esm_if1,SCIN_STAAR_Tsuboyama_2023_2QFF,SCIN_STAAR,1212,1212,0.9999999882046255,True,True,True
esm_if1,SOX30_HUMAN_Tsuboyama_2023_7JJK,SOX30_HUMAN,1010,1010,1.0,True,True,True
esm_if1,TPMT_HUMAN_Matreyek_2018,TPMT_HUMAN,3648,3648,0.999999996106884,True,True,True
esm_if1,VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7,1047,1047,1.0,True,True,True
saprot_35m,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,922,922,1.0,True,True,True
