fold,repeat,assay_id,uniprot_id,model,calibration_method,retained_fraction,retained_rows,mae,normalized_mae,uncertainty_threshold,family_id
0,0,A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,cross_protein_histgb,mondrian_substitution,0.25,250,0.18832608838314527,0.6523810331312272,0.30874906580420647,cssf_579275b2407d
0,0,A4_HUMAN_Seuma_2022,A4_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,199,0.2275419979620358,0.788229224660823,0.31417881914438567,cssf_6a1f189f4e62
0,0,ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.1928956365884649,0.6682104203644204,0.30874906580420647,cssf_516e14d168fd
0,0,ANCSZ_Hobbs_2022,ANCSZ,cross_protein_histgb,mondrian_substitution,0.25,250,0.2009069436335122,0.6959624159145343,0.3147132984984503,cssf_88339869d8cb
0,0,CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,230,0.13950530991503277,0.483260856748202,0.3147132984984503,cssf_63a1a4e89751
0,0,CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,cross_protein_histgb,mondrian_substitution,0.25,250,0.19568394003210016,0.6793080995507234,0.30874906580420647,cssf_e2b2659337b1
0,0,CCR5_HUMAN_Gill_2023,CCR5_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.22877085413613227,0.7924920796634503,0.30874906580420647,cssf_516e14d168fd
0,0,CD19_HUMAN_Klesmith_2019_FMC_singles,CD19_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.2656756585621056,0.9203353679967075,0.31417881914438567,cssf_1ca77773c7d8
0,0,CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.17800898678832539,0.6166415269633138,0.30874906580420647,cssf_1d3a8e32222c
0,0,CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.18799605632114416,0.6512377679605692,0.31417881914438567,cssf_1d3a8e32222c
0,0,HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.19043846453367866,0.659698522424814,0.31417881914438567,cssf_45f2530c8897
0,0,HEM3_HUMAN_Loggerenberg_2023,HEM3_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.2076639527787221,0.7222207193480568,0.30874906580420647,cssf_afe0fb52df15
0,0,ILF3_HUMAN_Tsuboyama_2023_2L33,ILF3_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.18112157405640142,0.6274238509370765,0.31417881914438567,cssf_a0ac9f2c6c49
0,0,MTHR_HUMAN_Weile_2021,MTHR_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.2137141737920864,0.7403281269182385,0.31417881914438567,cssf_095a60e097b5
0,0,NUSA_ECOLI_Tsuboyama_2023_1WCL,NUSA_ECOLI,cross_protein_histgb,mondrian_substitution,0.25,250,0.15177166666965924,0.5257527385189504,0.31417881914438567,cssf_a92a5d40f0e3
0,0,NUSG_MYCTU_Tsuboyama_2023_2MI6,NUSG_MYCTU,cross_protein_histgb,mondrian_substitution,0.25,250,0.1326094186967538,0.4593727311763266,0.31417881914438567,cssf_12ebdb52f01c
0,0,OXDA_RHOTO_Vanella_2023_activity,OXDA_RHOTO,cross_protein_histgb,mondrian_substitution,0.25,250,0.21849972074093024,0.7569056207908639,0.31417881914438567,cssf_08db490a0d52
0,0,OXDA_RHOTO_Vanella_2023_expression,OXDA_RHOTO,cross_protein_histgb,mondrian_substitution,0.25,250,0.22255816742823936,0.7709644927326055,0.31417881914438567,cssf_08db490a0d52
0,0,P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.22641285554750437,0.7843175307489244,0.31417881914438567,cssf_a3526b63cbae
0,0,P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.22028119716891126,0.7630768324358153,0.31417881914438567,cssf_a3526b63cbae
0,0,P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.23133312748640503,0.8013618612415545,0.31417881914438567,cssf_a3526b63cbae
0,0,P53_HUMAN_Kotler_2018,P53_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.19482586056055717,0.6748969156869713,0.30874906580420647,cssf_a3526b63cbae
0,0,PAI1_HUMAN_Huttinger_2021,PAI1_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.23238497500597025,0.8050061710952495,0.31417881914438567,cssf_51cbf66f0934
0,0,PIN1_HUMAN_Tsuboyama_2023_1I6C,PIN1_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,172,0.13767571545911764,0.47692317500995707,0.31417881914438567,cssf_6f0217bf6d08
0,0,Q837P4_ENTFA_Meier_2023,Q837P4_ENTFA,cross_protein_histgb,mondrian_substitution,0.25,175,0.19627216996448688,0.6799074467730372,0.30874906580420647,cssf_cdfaa4cd70ca
0,0,Q837P5_ENTFA_Meier_2023,Q837P5_ENTFA,cross_protein_histgb,mondrian_substitution,0.25,187,0.20906405884303705,0.7242197928377101,0.30874906580420647,cssf_cdfaa4cd70ca
0,0,RDRP_I33A0_Li_2023,RDRP_I33A0,cross_protein_histgb,mondrian_substitution,0.25,250,0.23746910708583455,0.8226175385816475,0.30874906580420647,cssf_bcc2d8a187a4
