urn,target_name,protein_id,sequence_sha256,sequence_length,score_sha256,input_rows,parsed_rows,invalid_or_non_single_protein_codes,reference_mismatches,single_missense_variants,mutated_positions,unique_scores,duplicate_protein_consequence_rows,synonymous_controls,termination_controls,orientation,directed_analysis_eligible,eligible,exclusion_reasons
urn:mavedb:00001200-0-1,F9,F9,32f5d032de97ea22d5e46e0ad5aeeaf19f1b5f3636dc0424cee6bf92e6035a2a,461,d07381c621b6a74d3da45b6ccad2cead753b07176a92cd7e5301467bc6914572,9007,9007,0,0,8528,451,2,0,436,43,-1.0,True,False,too_few_unique_scores
urn:mavedb:00001217-a-3,SOD1,SOD1,c56903dca972575883387736442f68a5206604d08604ddeb8dbc2e3f25a9f76d,154,64a806aaf15a6c6605dc99e184a6c356c8f72bbd316bb11a6c90cf7ed63ae9f5,2906,2906,0,0,2632,152,2632,0,135,139,1.0,True,True,
urn:mavedb:00001217-a-4,SOD1,SOD1,c56903dca972575883387736442f68a5206604d08604ddeb8dbc2e3f25a9f76d,154,4f6c2784d7b79477f70a020d98de0c9c3918738d65cff30d0dace4295527d62d,2910,2910,0,0,2655,152,2655,0,134,121,1.0,True,True,
urn:mavedb:00001222-a-2,BRCA1,BRCA1,46f47e2a4e958f92f35d38442fe4eca1d49f15d7878736efece0c185964c813b,191,7b65093fb1f9f19aaa708cece68c7ee6f4e9df2a3c5413ade420f9e1f9ebff8a,1427,1427,0,0,1359,191,1359,0,0,68,1.0,True,True,
urn:mavedb:00001222-b-2,BRCA1,BRCA1,45e732e55a1549ce8ef2697cd0a8cbc14173192bac722f916ca7e7f3bd06d2e6,287,a5893b5f98b6f271c6f35097c3dcf8f6e5e6099c8fc0c73bfbee39076cb5fbec,2271,2271,0,0,2150,286,2150,0,0,121,1.0,True,True,
urn:mavedb:00001227-a-2,CRX,CRX,e4f3ee088fb57f78bb68bea8c1132c6a1bb805d7697e8d04fbd5ef1e3744b43b,299,86229873bb9a091a12897e971cfaa91dd48111c51a6373eccf0cdf54a440ae73,5284,5284,0,0,5284,298,5284,0,0,0,,False,False,score_direction_not_predeclared_or_control_identifiable
urn:mavedb:00001239-a-1,INSR,INSR,0e665f54d93e810c78eea449e57f7f5a7c73d455c8faf5b75c4e111ed4cecac6,955,212cfa3c5df57ff4d0f6dd705bb3cb475c4e0be137feec4c3d51eded2cf40d7f,19100,14186,0,0,14186,928,14185,0,0,0,,False,False,score_direction_not_predeclared_or_control_identifiable
urn:mavedb:00001239-a-2,INSR,INSR,0e665f54d93e810c78eea449e57f7f5a7c73d455c8faf5b75c4e111ed4cecac6,955,eb873299ba5a775aa13a3e4029340d6912504d4a58a4367c18d5f0520b668764,19100,13912,0,0,13912,928,13906,0,0,0,,False,False,score_direction_not_predeclared_or_control_identifiable
urn:mavedb:00001239-a-3,INSR,INSR,0e665f54d93e810c78eea449e57f7f5a7c73d455c8faf5b75c4e111ed4cecac6,955,f8aa47b62d1900bd86af8ee9d91ffb8c02319e91a8556f4fb516895bef40bd9b,19100,14063,0,0,14063,928,14044,0,0,0,,False,False,score_direction_not_predeclared_or_control_identifiable
urn:mavedb:00001239-a-4,INSR,INSR,0e665f54d93e810c78eea449e57f7f5a7c73d455c8faf5b75c4e111ed4cecac6,955,f569a75b66315474a5e2d970a643d98720a36a27c7a0156b12cd45d55937a80a,19100,14071,0,0,14071,928,14055,0,0,0,,False,False,score_direction_not_predeclared_or_control_identifiable
