panel_id,assay_id,target_id,assay_modality,direction,direction_source,included,exclusion_reason,publication_ids,outcomes_accessed
human-domainome-v1,A1X283_PF00018_155,A1X283_PF00018_155,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,A1X283_PF00018_222,A1X283_PF00018_222,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O00308_PF00397_440,O00308_PF00397_440,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O00330_PF02817_181,O00330_PF02817_181,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O14529_PF02376_1036,O14529_PF02376_1036,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O14529_PF02376_895,O14529_PF02376_895,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O14640_PF00778_4,O14640_PF00778_4,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O14776_PF01846_645,O14776_PF01846_645,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O14776_PF01846_727,O14776_PF01846_727,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O14776_PF01846_793,O14776_PF01846_793,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O14776_PF01846_897,O14776_PF01846_897,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O14776_PF01846_955,O14776_PF01846_955,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O14813_PF00046_92,O14813_PF00046_92,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O14901_PF00096_395,O14901_PF00096_395,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O14936_PF00595_488,O14936_PF00595_488,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O15151_PF00641_299,O15151_PF00641_299,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O15265_PF08313_334,O15265_PF08313_334,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O15266_PF00046_119,O15266_PF00046_119,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O15405_PF00505_256,O15405_PF00505_256,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O15541_PF00642_198,O15541_PF00642_198,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O43167_PF00096_351,O43167_PF00096_351,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O43167_PF00096_435,O43167_PF00096_435,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O43186_PF00046_41,O43186_PF00046_41,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O43295_PF00018_745,O43295_PF00018_745,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O43353_PF00619_438,O43353_PF00619_438,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O43395_PF01480_10,O43395_PF01480_10,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O43586_PF00018_361,O43586_PF00018_361,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O60341_PF04433_186,O60341_PF04433_186,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O60481_PF00096_389,O60481_PF00096_389,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O60885_PF17035_607,O60885_PF17035_607,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O75112_PF00595_1,O75112_PF00595_1,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O75360_PF00046_71,O75360_PF00046_71,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O75366_PF02209_785,O75366_PF02209_785,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O75369_PF00630_1423,O75369_PF00630_1423,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O75369_PF00630_2109,O75369_PF00630_2109,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O75382_PF00643_111,O75382_PF00643_111,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O75400_PF00397_176,O75400_PF00397_176,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O75400_PF01846_395,O75400_PF01846_395,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O75400_PF01846_459,O75400_PF01846_459,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O75400_PF01846_670,O75400_PF01846_670,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O75400_PF01846_745,O75400_PF01846_745,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O75478_PF04433_375,O75478_PF04433_375,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O75534_PF00313_184,O75534_PF00313_184,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O75534_PF00313_23,O75534_PF00313_23,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O75534_PF00313_347,O75534_PF00313_347,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O75554_PF06220_8,O75554_PF06220_8,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O75970_PF00595_1003,O75970_PF00595_1003,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O75970_PF00595_1860,O75970_PF00595_1860,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O75970_PF00595_372,O75970_PF00595_372,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O75970_PF00595_693,O75970_PF00595_693,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O94830_PF00536_389,O94830_PF00536_389,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O94885_PF00536_630,O94885_PF00536_630,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O94929_PF00412_149,O94929_PF00412_149,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O94929_PF00412_210,O94929_PF00412_210,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O94993_PF00505_338,O94993_PF00505_338,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O95076_PF00046_155,O95076_PF00046_155,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O95155_PF04564_1229,O95155_PF04564_1229,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O95218_PF00641_11,O95218_PF00641_11,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O95218_PF00641_9,O95218_PF00641_9,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O95267_PF00130_539,O95267_PF00130_539,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O95343_PF00046_212,O95343_PF00046_212,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O95475_PF00046_134,O95475_PF00046_134,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O95718_PF00105_100,O95718_PF00105_100,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
human-domainome-v1,O95789_PF06467_427,O95789_PF06467_427,abundance/stability,1.0,Domainome abundance-score definition,True,,,False
