panel_id,target_id,model_id,training_cutoff,confirmation_publication_date,exposure_category,exposure_reason
human-domainome-v1,A1X283_PF00018_155,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,A1X283_PF00018_222,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O00308_PF00397_440,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O00330_PF02817_181,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O14529_PF02376_1036,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O14529_PF02376_895,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O14640_PF00778_4,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O14776_PF01846_645,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O14776_PF01846_727,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O14776_PF01846_793,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O14776_PF01846_897,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O14776_PF01846_955,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O14813_PF00046_92,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O14901_PF00096_395,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O14936_PF00595_488,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O15151_PF00641_299,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O15265_PF08313_334,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O15266_PF00046_119,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O15405_PF00505_256,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O15541_PF00642_198,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O43167_PF00096_351,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O43167_PF00096_435,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O43186_PF00046_41,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O43295_PF00018_745,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
